response time (ms), current time, seed 
332.409880 , 3599995.902988, 1749305180.000000
341.474554 , 3599991.375365, 1282124387.000000
378.764396 , 3599970.103822, 2038618773.000000
345.191194 , 3599996.194041, 811920025.000000
350.068105 , 3599934.503889, 2138894066.000000
354.416282 , 3599983.185708, 1825668806.000000
343.826947 , 3599937.047486, 2125569053.000000
350.076493 , 3599996.971557, 1153725450.000000
346.008656 , 3599975.667880, 2095624914.000000
325.556796 , 3599978.387044, 2023346902.000000
352.644257 , 3599993.251166, 1288563518.000000
355.862582 , 3599974.026546, 1882941750.000000
346.493148 , 3599984.315452, 1494149619.000000
360.263585 , 3599984.009460, 1602093411.000000
354.056522 , 3599997.249479, 781075991.000000
333.360121 , 3599969.328784, 1916946056.000000
341.208041 , 3599995.862254, 929165377.000000
341.821615 , 3599988.510265, 2024880618.000000
363.089256 , 3599972.846252, 2095533223.000000
329.652764 , 3599962.692371, 2119055743.000000
353.447154 , 3599991.630163, 1294563540.000000
328.746948 , 3599994.289881, 1643826594.000000
382.046367 , 3599991.337746, 2013454641.000000
346.723325 , 3599995.371563, 2029398007.000000
367.560270 , 3599991.078482, 1716348569.000000
340.939381 , 3599989.813735, 1262263215.000000
369.305186 , 3599997.797358, 1351192336.000000
329.966327 , 3599984.880393, 1507224287.000000
333.933073 , 3599973.121350, 2075685606.000000
334.801936 , 3599953.492800, 2083703777.000000
360.559587 , 3599968.417029, 1986487101.000000
347.677188 , 3599993.678374, 1002858415.000000
376.902917 , 3599974.173375, 2124659322.000000
325.389400 , 3599987.641556, 1951648837.000000
345.983990 , 3599995.399280, 2129770466.000000
361.872737 , 3599999.629518, 1843951143.000000
367.440265 , 3599999.666315, 409563998.000000
335.757362 , 3599988.457804, 1351297724.000000
337.396799 , 3599999.327317, 232937919.000000
357.239156 , 3599989.414206, 1948980780.000000
347.775792 , 3599971.485111, 1879265275.000000
349.105857 , 3599993.391957, 1656002316.000000
370.621181 , 3599989.039389, 1618018203.000000
335.665386 , 3599998.583125, 1498089516.000000
352.885321 , 3599991.603580, 1543173434.000000
358.414383 , 3599996.957749, 673872405.000000
380.339150 , 3599986.561591, 2060006912.000000
349.178738 , 3599984.995719, 1450634190.000000
333.818838 , 3599998.330042, 1153010263.000000
336.209463 , 3599964.207440, 2120656865.000000
325.912551 , 3599981.701533, 2081649585.000000
352.153538 , 3599999.042170, 1457873077.000000
347.571138 , 3599965.294012, 2014390948.000000
352.993298 , 3599970.234621, 1939416176.000000
343.140366 , 3599996.680109, 426241281.000000
371.700800 , 3599980.417627, 1661271375.000000
350.102885 , 3599976.268420, 2116518664.000000
344.138534 , 3599999.755820, 699123170.000000
345.266381 , 3599996.527911, 1977064131.000000
342.956939 , 3599979.244734, 2145389228.000000
350.232866 , 3599997.808530, 2105537891.000000
382.580171 , 3599967.103615, 1931738341.000000
345.633621 , 3599996.898571, 1495488872.000000
345.584226 , 3599995.457065, 1134553593.000000
370.180083 , 3599996.832932, 845654652.000000
363.585722 , 3599992.428359, 1561167564.000000
363.499278 , 3599999.597576, 78102234.000000
342.344395 , 3599973.049717, 1968534550.000000
330.080383 , 3599953.856702, 2106261943.000000
374.013602 , 3599982.911299, 1631726659.000000
356.349341 , 3599978.905267, 2038914554.000000
342.304773 , 3599985.135278, 1465813863.000000
334.051801 , 3599986.213517, 1639965674.000000
366.884494 , 3599992.873582, 811152254.000000
357.917168 , 3599995.446111, 1299551977.000000
370.049432 , 3599980.492603, 2108918557.000000
372.713834 , 3599983.091028, 1693190625.000000
380.895326 , 3599999.516330, 730046128.000000
341.548016 , 3599975.604357, 1810924870.000000
359.134541 , 3599969.658261, 1903389478.000000
346.985238 , 3599996.191670, 2029917910.000000
372.926781 , 3599998.217610, 503512149.000000
369.850435 , 3599998.861946, 317289136.000000
357.058599 , 3599994.729835, 1928105042.000000
355.488244 , 3599988.429032, 2086919183.000000
363.054639 , 3599996.432918, 1534016527.000000
339.453481 , 3599983.546104, 1693651373.000000
344.157273 , 3599967.670202, 2082156997.000000
331.452131 , 3599997.332420, 1526547989.000000
339.163346 , 3599957.262063, 2043955231.000000
327.011297 , 3599997.836724, 825950901.000000
355.709745 , 3599989.402288, 1175590868.000000
342.588941 , 3599997.680534, 578146486.000000
329.924162 , 3599985.972316, 1520267953.000000
343.795327 , 3599999.042715, 291863538.000000
370.276858 , 3599967.200081, 2073293029.000000
339.855011 , 3599995.345263, 1518204842.000000
365.967585 , 3599987.827791, 1875305467.000000
344.480659 , 3599986.367692, 1979009199.000000
349.048366 , 3599998.565994, 1833993791.000000
369.332033 , 3599988.486240, 1344959318.000000
362.609618 , 3599974.901759, 1718813536.000000
344.787136 , 3599999.042784, 1111064089.000000
379.195116 , 3599995.511392, 735170893.000000
336.583843 , 3599988.332528, 1166316244.000000
333.568665 , 3599999.473865, 672434007.000000
334.862022 , 3599989.559507, 1465995628.000000
371.408361 , 3599972.800788, 1947885446.000000
343.846695 , 3599947.711410, 2100268272.000000
332.869447 , 3599985.370297, 1573144655.000000
326.259266 , 3599994.739811, 1871675312.000000
330.288685 , 3599990.369540, 1165937653.000000
358.195989 , 3599986.498286, 1834325868.000000
347.672101 , 3599983.564330, 2016105877.000000
357.011411 , 3599997.490179, 2143409587.000000
329.606371 , 3599973.459961, 1969971121.000000
368.188442 , 3599997.837289, 1542377344.000000
361.699170 , 3599996.446020, 1995835459.000000
342.243304 , 3599991.609793, 1455298446.000000
358.454386 , 3599995.700636, 1655763220.000000
362.148104 , 3599985.417009, 1545152737.000000
340.746292 , 3599981.441954, 1591865174.000000
362.827230 , 3599997.093102, 869997791.000000
390.187408 , 3599982.556608, 1926783488.000000
363.340355 , 3599979.768250, 1827560508.000000
337.520051 , 3599998.536418, 1455480793.000000
346.029592 , 3599966.742840, 2005788246.000000
342.462221 , 3599993.186258, 980539693.000000
