arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 44174.000000 , 44174.000000 , 1.000000 , 81.495810 , 75.768709 , 36.004425 , 39.764621 , 0.012271 , 0.025148 , 0.012271 , 0.196300 , 0.487935 , 0.000000 
 43546.000000 , 43546.000000 , 0.000000 , 82.671000 , 74.773193 , 35.136958 , 39.637045 , 0.012096 , 0.025229 , 0.012096 , 0.193399 , 0.479455 , 0.000000 
 44049.000000 , 44049.000000 , 0.000000 , 81.726489 , 78.664042 , 38.520585 , 40.144181 , 0.012236 , 0.024910 , 0.012236 , 0.195618 , 0.491202 , 0.000000 
 44253.000000 , 44253.000000 , 0.000000 , 81.350331 , 77.132156 , 37.054845 , 40.077311 , 0.012293 , 0.024952 , 0.012293 , 0.197201 , 0.492651 , 0.000000 
 44101.000000 , 44101.000000 , 0.000000 , 81.629317 , 77.021316 , 37.160463 , 39.860853 , 0.012251 , 0.025087 , 0.012251 , 0.196362 , 0.488315 , 0.000000 
 44326.000000 , 44326.000000 , 0.000000 , 81.216062 , 77.688405 , 37.642729 , 40.045676 , 0.012313 , 0.024971 , 0.012313 , 0.196226 , 0.493076 , 0.000000 
 44092.000000 , 44092.000000 , 1.000000 , 81.646037 , 76.663366 , 36.838074 , 39.825418 , 0.012248 , 0.025110 , 0.012248 , 0.195887 , 0.487781 , 0.000000 
 43776.000000 , 43776.000000 , 0.000000 , 82.236773 , 76.018783 , 36.033723 , 39.985060 , 0.012160 , 0.025009 , 0.012160 , 0.195132 , 0.486219 , 0.000000 
 43890.000000 , 43890.000000 , 0.000000 , 82.022686 , 78.394251 , 38.343322 , 40.050929 , 0.012192 , 0.024968 , 0.012192 , 0.194923 , 0.488291 , 0.000000 
 44303.000000 , 44303.000000 , 0.000000 , 81.258118 , 77.965999 , 37.775559 , 40.191869 , 0.012306 , 0.024881 , 0.012306 , 0.197317 , 0.494620 , 0.000000 
 44106.000000 , 44106.000000 , 0.000000 , 81.621395 , 77.887449 , 37.893363 , 39.994086 , 0.012252 , 0.025004 , 0.012252 , 0.195813 , 0.489995 , 0.000000 
 44591.000000 , 44591.000000 , 0.000000 , 80.733198 , 78.045786 , 38.227464 , 39.818322 , 0.012386 , 0.025114 , 0.012386 , 0.198104 , 0.493209 , 0.000000 
 44037.000000 , 44037.000000 , 4.000000 , 81.749082 , 76.850775 , 36.788071 , 40.063920 , 0.012233 , 0.024960 , 0.012233 , 0.195529 , 0.490084 , 0.000000 
 44337.000000 , 44337.000000 , 0.000000 , 81.195931 , 78.281260 , 38.306561 , 39.974700 , 0.012316 , 0.025016 , 0.012316 , 0.197126 , 0.492324 , 0.000000 
 43890.000000 , 43890.000000 , 1.000000 , 82.023177 , 76.595225 , 36.589368 , 40.007504 , 0.012192 , 0.024995 , 0.012192 , 0.194980 , 0.487759 , 0.000000 
 44273.000000 , 44273.000000 , 0.000000 , 81.312975 , 79.102657 , 39.155839 , 39.947845 , 0.012298 , 0.025033 , 0.012298 , 0.196798 , 0.491285 , 0.000000 
 44144.000000 , 44144.000000 , 0.000000 , 81.551193 , 76.832094 , 36.927801 , 39.904292 , 0.012262 , 0.025060 , 0.012262 , 0.196001 , 0.489316 , 0.000000 
 44256.000000 , 44256.000000 , 0.000000 , 81.344643 , 77.567414 , 37.290838 , 40.276576 , 0.012293 , 0.024828 , 0.012293 , 0.196336 , 0.495135 , 0.000000 
 44084.000000 , 44084.000000 , 0.000000 , 81.661665 , 77.199499 , 37.315244 , 39.884255 , 0.012246 , 0.025073 , 0.012246 , 0.195772 , 0.488409 , 0.000000 
 43732.000000 , 43732.000000 , 0.000000 , 82.318730 , 76.497413 , 36.618426 , 39.878987 , 0.012148 , 0.025076 , 0.012148 , 0.194928 , 0.484446 , 0.000000 
 43995.000000 , 43995.000000 , 2.000000 , 81.827290 , 77.732802 , 37.550199 , 40.183087 , 0.012221 , 0.024886 , 0.012221 , 0.195112 , 0.491072 , 0.000000 
 43778.000000 , 43778.000000 , 0.000000 , 82.232955 , 79.224562 , 38.857515 , 40.367719 , 0.012161 , 0.024772 , 0.012161 , 0.194961 , 0.490895 , 0.000000 
 44080.000000 , 44080.000000 , 0.000000 , 81.669495 , 76.213275 , 36.213251 , 40.000024 , 0.012244 , 0.025000 , 0.012244 , 0.195551 , 0.489779 , 0.000000 
 44158.000000 , 44158.000000 , 2.000000 , 81.525327 , 77.570346 , 37.847617 , 39.723215 , 0.012266 , 0.025174 , 0.012266 , 0.195986 , 0.487250 , 0.000000 
 44423.000000 , 44423.000000 , 0.000000 , 81.038901 , 77.751184 , 37.683765 , 40.067419 , 0.012340 , 0.024958 , 0.012340 , 0.196961 , 0.494422 , 0.000000 
 44119.000000 , 44119.000000 , 1.000000 , 81.597267 , 77.525457 , 37.391217 , 40.134336 , 0.012255 , 0.024916 , 0.012255 , 0.196402 , 0.491859 , 0.000000 
 44401.000000 , 44401.000000 , 1.000000 , 81.079205 , 79.598978 , 39.386593 , 40.212690 , 0.012334 , 0.024868 , 0.012334 , 0.196963 , 0.495968 , 0.000000 
 43955.000000 , 43955.000000 , 0.000000 , 81.901601 , 77.949317 , 37.955920 , 39.993397 , 0.012210 , 0.025004 , 0.012210 , 0.195842 , 0.488310 , 0.000000 
 44372.000000 , 44372.000000 , 0.000000 , 81.131640 , 76.889532 , 37.009261 , 39.880272 , 0.012326 , 0.025075 , 0.012326 , 0.197267 , 0.491550 , 0.000000 
 43940.000000 , 43940.000000 , 0.000000 , 81.928846 , 76.355881 , 36.448689 , 39.907193 , 0.012206 , 0.025058 , 0.012206 , 0.195513 , 0.487096 , 0.000000 
 44340.000000 , 44340.000000 , 0.000000 , 81.190086 , 78.526340 , 38.640090 , 39.886250 , 0.012317 , 0.025071 , 0.012317 , 0.196708 , 0.491270 , 0.000000 
 44343.000000 , 44343.000000 , 0.000000 , 81.185163 , 77.744454 , 37.871249 , 39.873205 , 0.012318 , 0.025079 , 0.012318 , 0.196935 , 0.491139 , 0.000000 
 43788.000000 , 43788.000000 , 0.000000 , 82.213715 , 78.386180 , 38.138749 , 40.248237 , 0.012163 , 0.024846 , 0.012163 , 0.194507 , 0.489556 , 0.000000 
 44286.000000 , 44286.000000 , 0.000000 , 81.289519 , 79.071536 , 38.931291 , 40.140245 , 0.012302 , 0.024913 , 0.012302 , 0.197015 , 0.493794 , 0.000000 
 44132.000000 , 44132.000000 , 0.000000 , 81.573357 , 77.259698 , 37.290892 , 39.969497 , 0.012259 , 0.025019 , 0.012259 , 0.196231 , 0.489982 , 0.000000 
 44039.000000 , 44039.000000 , 5.000000 , 81.745717 , 79.364351 , 38.977084 , 40.389433 , 0.012233 , 0.024759 , 0.012233 , 0.195460 , 0.494086 , 0.000000 
 44176.000000 , 44176.000000 , 1.000000 , 81.492205 , 76.739467 , 36.989137 , 39.750799 , 0.012271 , 0.025157 , 0.012271 , 0.195634 , 0.487787 , 0.000000 
 44349.000000 , 44349.000000 , 0.000000 , 81.174062 , 77.177136 , 37.108675 , 40.068683 , 0.012319 , 0.024957 , 0.012319 , 0.197230 , 0.493614 , 0.000000 
 43923.000000 , 43923.000000 , 0.000000 , 81.961599 , 77.438332 , 37.380463 , 40.057891 , 0.012201 , 0.024964 , 0.012201 , 0.195008 , 0.488740 , 0.000000 
 43880.000000 , 43880.000000 , 0.000000 , 82.041691 , 78.376352 , 38.150214 , 40.226138 , 0.012189 , 0.024859 , 0.012189 , 0.194774 , 0.490313 , 0.000000 
 44317.000000 , 44317.000000 , 0.000000 , 81.232292 , 77.311433 , 37.538324 , 39.773445 , 0.012310 , 0.025142 , 0.012310 , 0.197527 , 0.489626 , 0.000000 
 43883.000000 , 43883.000000 , 2.000000 , 82.036173 , 76.106953 , 36.166915 , 39.940118 , 0.012190 , 0.025037 , 0.012190 , 0.194919 , 0.486860 , 0.000000 
 43774.000000 , 43774.000000 , 0.000000 , 82.240349 , 75.775468 , 35.908373 , 39.867095 , 0.012159 , 0.025083 , 0.012159 , 0.194297 , 0.484763 , 0.000000 
 44277.000000 , 44277.000000 , 1.000000 , 81.306290 , 77.690753 , 37.713038 , 39.978278 , 0.012299 , 0.025014 , 0.012299 , 0.197550 , 0.491700 , 0.000000 
 44193.000000 , 44193.000000 , 0.000000 , 81.460675 , 78.184049 , 38.192532 , 39.991516 , 0.012276 , 0.025005 , 0.012276 , 0.196768 , 0.490930 , 0.000000 
 43558.000000 , 43558.000000 , 0.000000 , 82.648353 , 75.265815 , 35.256173 , 40.009643 , 0.012099 , 0.024994 , 0.012099 , 0.193203 , 0.484095 , 0.000000 
 44033.000000 , 44033.000000 , 0.000000 , 81.756559 , 78.667917 , 38.486845 , 40.181072 , 0.012231 , 0.024887 , 0.012231 , 0.196011 , 0.491472 , 0.000000 
 44187.000000 , 44187.000000 , 0.000000 , 81.471587 , 75.023752 , 35.410988 , 39.612764 , 0.012274 , 0.025244 , 0.012274 , 0.195850 , 0.486216 , 0.000000 
 43962.000000 , 43962.000000 , 0.000000 , 81.888866 , 78.336615 , 38.323338 , 40.013277 , 0.012212 , 0.024992 , 0.012212 , 0.195708 , 0.488629 , 0.000000 
 43917.000000 , 43917.000000 , 0.000000 , 81.971997 , 77.517570 , 37.400491 , 40.117079 , 0.012199 , 0.024927 , 0.012199 , 0.195700 , 0.489400 , 0.000000 
 44299.000000 , 44299.000000 , 0.000000 , 81.265530 , 76.515143 , 36.698786 , 39.817348 , 0.012305 , 0.025115 , 0.012305 , 0.197513 , 0.489966 , 0.000000 
 44048.000000 , 44048.000000 , 0.000000 , 81.729001 , 77.060594 , 37.252048 , 39.808546 , 0.012236 , 0.025120 , 0.012236 , 0.195166 , 0.487080 , 0.000000 
 43970.000000 , 43970.000000 , 0.000000 , 81.873216 , 76.548087 , 36.831382 , 39.717242 , 0.012214 , 0.025178 , 0.012214 , 0.195343 , 0.485107 , 0.000000 
 43942.000000 , 43942.000000 , 0.000000 , 81.925498 , 75.595417 , 35.703069 , 39.892432 , 0.012206 , 0.025067 , 0.012206 , 0.195597 , 0.486935 , 0.000000 
 43871.000000 , 43871.000000 , 0.000000 , 82.058688 , 76.932888 , 37.061871 , 39.871016 , 0.012186 , 0.025081 , 0.012186 , 0.195738 , 0.485884 , 0.000000 
 44078.000000 , 44078.000000 , 0.000000 , 81.672953 , 76.545785 , 36.740222 , 39.806249 , 0.012244 , 0.025122 , 0.012244 , 0.195367 , 0.487386 , 0.000000 
 44417.000000 , 44417.000000 , 0.000000 , 81.049514 , 78.715241 , 38.579554 , 40.135687 , 0.012338 , 0.024915 , 0.012338 , 0.196811 , 0.495200 , 0.000000 
 44274.000000 , 44274.000000 , 1.000000 , 81.311825 , 78.335378 , 38.104472 , 40.232290 , 0.012298 , 0.024856 , 0.012298 , 0.196857 , 0.494790 , 0.000000 
 44446.000000 , 44446.000000 , 0.000000 , 80.997087 , 76.852868 , 37.001782 , 39.852564 , 0.012346 , 0.025092 , 0.012346 , 0.197811 , 0.492025 , 0.000000 
 44083.000000 , 44083.000000 , 0.000000 , 81.663663 , 77.803735 , 37.773986 , 40.029748 , 0.012245 , 0.024981 , 0.012245 , 0.196005 , 0.490178 , 0.000000 
 43999.000000 , 43999.000000 , 0.000000 , 81.819992 , 78.332905 , 38.475763 , 39.857142 , 0.012222 , 0.025090 , 0.012222 , 0.195603 , 0.487132 , 0.000000 
 44033.000000 , 44033.000000 , 0.000000 , 81.756117 , 79.775365 , 39.359988 , 40.416223 , 0.012232 , 0.024743 , 0.012232 , 0.195115 , 0.494351 , 0.000000 
 43984.000000 , 43984.000000 , 0.000000 , 81.847874 , 76.618959 , 36.774521 , 39.844438 , 0.012218 , 0.025098 , 0.012218 , 0.196046 , 0.486811 , 0.000000 
 43714.000000 , 43714.000000 , 0.000000 , 82.353376 , 76.895200 , 36.839013 , 40.056186 , 0.012143 , 0.024965 , 0.012143 , 0.194088 , 0.486394 , 0.000000 
 44063.000000 , 44063.000000 , 0.000000 , 81.701129 , 79.160851 , 38.868470 , 40.292381 , 0.012240 , 0.024819 , 0.012240 , 0.195577 , 0.493168 , 0.000000 
 43535.000000 , 43535.000000 , 0.000000 , 82.691913 , 78.464036 , 38.158966 , 40.305070 , 0.012093 , 0.024811 , 0.012093 , 0.193348 , 0.487412 , 0.000000 
 44215.000000 , 44215.000000 , 0.000000 , 81.420323 , 78.103550 , 38.033541 , 40.070009 , 0.012282 , 0.024956 , 0.012282 , 0.196307 , 0.492138 , 0.000000 
 44199.000000 , 44199.000000 , 2.000000 , 81.449197 , 77.950215 , 37.810022 , 40.141138 , 0.012278 , 0.024912 , 0.012278 , 0.195801 , 0.492837 , 0.000000 
 43944.000000 , 43944.000000 , 0.000000 , 81.921397 , 76.671677 , 36.985602 , 39.686296 , 0.012207 , 0.025198 , 0.012207 , 0.195374 , 0.484444 , 0.000000 
