arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 165519.000000 , 165519.000000 , 1.000000 , 21.749744 , 56.017625 , 25.838060 , 30.179679 , 0.045978 , 0.033135 , 0.045978 , 0.735532 , 0.693794 , 0.000000 
 166437.000000 , 166437.000000 , 6.000000 , 21.629754 , 55.664538 , 25.748204 , 29.916576 , 0.046233 , 0.033426 , 0.046233 , 0.739188 , 0.691561 , 0.000000 
 165835.000000 , 165835.000000 , 0.000000 , 21.708144 , 56.037081 , 26.062376 , 29.975176 , 0.046066 , 0.033361 , 0.046066 , 0.736459 , 0.690413 , 0.000000 
 164781.000000 , 164781.000000 , 0.000000 , 21.847156 , 55.224681 , 25.121129 , 30.103909 , 0.045773 , 0.033218 , 0.045773 , 0.734302 , 0.688966 , 0.000000 
 165292.000000 , 165292.000000 , 4.000000 , 21.779242 , 54.831049 , 24.955550 , 29.875821 , 0.045915 , 0.033472 , 0.045915 , 0.735972 , 0.685878 , 0.000000 
 166238.000000 , 166238.000000 , 0.000000 , 21.655597 , 55.548061 , 25.523782 , 30.024624 , 0.046177 , 0.033306 , 0.046177 , 0.735915 , 0.693230 , 0.000000 
 165861.000000 , 165861.000000 , 0.000000 , 21.704542 , 55.793088 , 25.755354 , 30.037785 , 0.046073 , 0.033291 , 0.046073 , 0.736869 , 0.691970 , 0.000000 
 165438.000000 , 165438.000000 , 0.000000 , 21.760399 , 55.442994 , 25.518898 , 29.924096 , 0.045955 , 0.033418 , 0.045955 , 0.737443 , 0.687581 , 0.000000 
 166083.000000 , 166083.000000 , 1.000000 , 21.675763 , 55.389668 , 25.489965 , 29.899941 , 0.046134 , 0.033445 , 0.046134 , 0.737602 , 0.689709 , 0.000000 
 165045.000000 , 165045.000000 , 7.000000 , 21.812102 , 55.388822 , 25.366228 , 30.023142 , 0.045846 , 0.033308 , 0.045846 , 0.735079 , 0.688222 , 0.000000 
 165556.000000 , 165556.000000 , 0.000000 , 21.744867 , 55.209113 , 25.208899 , 30.000296 , 0.045988 , 0.033333 , 0.045988 , 0.735001 , 0.689825 , 0.000000 
 165072.000000 , 165072.000000 , 0.000000 , 21.808508 , 54.690601 , 24.701967 , 29.988704 , 0.045854 , 0.033346 , 0.045854 , 0.733363 , 0.687546 , 0.000000 
 165885.000000 , 165885.000000 , 0.000000 , 21.701687 , 54.766373 , 24.754097 , 30.012276 , 0.046079 , 0.033320 , 0.046079 , 0.736546 , 0.691473 , 0.000000 
 165191.000000 , 165191.000000 , 3.000000 , 21.792858 , 55.802968 , 25.789227 , 30.014122 , 0.045887 , 0.033318 , 0.045887 , 0.734453 , 0.688623 , 0.000000 
