sim. n : 0
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225033.000000 , 225033.000000 , 2.000000 , 15.997635 , 221.708882 , 206.755722 , 14.953240 , 0.062509 , 0.066875 , 0.062509 , 1.000000 , 0.934716 , 0.000000 
 90242.000000 , 74907.000000 , 0.000000 , 48.059539 , 29.026985 , 0.000000 , 34.969864 , 0.020808 , 0.028596 , 0.020808 , 0.332871 , 0.363818 , 0.000000 
 165519.000000 , 165519.000000 , 1.000000 , 21.749744 , 56.017625 , 25.838060 , 30.179679 , 0.045978 , 0.033135 , 0.033135 , 0.530080 , 0.693794 , 0.000000 
 44174.000000 , 44174.000000 , 1.000000 , 81.495810 , 75.768709 , 36.004425 , 39.764621 , 0.012271 , 0.025148 , 0.012271 , 0.196300 , 0.487935 , 0.000000 
 209688.000000 , 209688.000000 , 2.000000 , 17.168345 , 38.292082 , 3.168481 , 35.124647 , 0.058247 , 0.028470 , 0.028470 , 0.455453 , 0.511474 , 0.000000 
 209682.000000 , 209682.000000 , 0.000000 , 17.168836 , 9.961156 , 0.000000 , 9.961171 , 0.058245 , 0.100390 , 0.058245 , 0.931783 , 0.580189 , 0.000000 
sim. n : 1
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225162.000000 , 225162.000000 , 6.000000 , 15.988450 , 231.358124 , 216.372489 , 14.985705 , 0.062545 , 0.066730 , 0.062545 , 1.000000 , 0.937283 , 0.000000 
 89927.000000 , 74756.000000 , 0.000000 , 48.156554 , 28.986309 , 0.000000 , 34.869273 , 0.020766 , 0.028679 , 0.020766 , 0.332010 , 0.362041 , 0.000000 
 166437.000000 , 166437.000000 , 6.000000 , 21.629754 , 55.664538 , 25.748204 , 29.916576 , 0.046233 , 0.033426 , 0.033426 , 0.534434 , 0.691561 , 0.000000 
 43546.000000 , 43546.000000 , 0.000000 , 82.671000 , 74.773193 , 35.136958 , 39.637045 , 0.012096 , 0.025229 , 0.012096 , 0.193399 , 0.479455 , 0.000000 
 209974.000000 , 209974.000000 , 0.000000 , 17.144939 , 38.117955 , 3.111765 , 35.006225 , 0.058326 , 0.028566 , 0.028566 , 0.456732 , 0.510445 , 0.000000 
 209973.000000 , 209973.000000 , 0.000000 , 17.145020 , 10.013875 , 0.000000 , 10.013875 , 0.058326 , 0.099861 , 0.058326 , 0.932542 , 0.584069 , 0.000000 
sim. n : 2
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225179.000000 , 225179.000000 , 6.000000 , 15.987148 , 267.603644 , 252.553792 , 15.049966 , 0.062550 , 0.066445 , 0.062550 , 1.000000 , 0.941379 , 0.000000 
 90002.000000 , 74715.000000 , 0.000000 , 48.182696 , 29.161814 , 0.000000 , 35.129857 , 0.020754 , 0.028466 , 0.020754 , 0.331803 , 0.364548 , 0.000000 
 165835.000000 , 165835.000000 , 0.000000 , 21.708144 , 56.037081 , 26.062376 , 29.975176 , 0.046066 , 0.033361 , 0.033361 , 0.533346 , 0.690413 , 0.000000 
 44049.000000 , 44049.000000 , 0.000000 , 81.726489 , 78.664042 , 38.520585 , 40.144181 , 0.012236 , 0.024910 , 0.012236 , 0.195618 , 0.491202 , 0.000000 
 209882.000000 , 209882.000000 , 2.000000 , 17.152353 , 38.073378 , 3.036867 , 35.037626 , 0.058301 , 0.028541 , 0.028541 , 0.456285 , 0.510683 , 0.000000 
 209876.000000 , 209876.000000 , 0.000000 , 17.152843 , 10.021840 , 0.000000 , 10.021928 , 0.058299 , 0.099781 , 0.058299 , 0.932041 , 0.584272 , 0.000000 
sim. n : 3
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224405.000000 , 224405.000000 , 13.000000 , 16.042406 , 234.994576 , 220.013944 , 14.980673 , 0.062335 , 0.066753 , 0.062335 , 1.000000 , 0.933817 , 0.000000 
 90133.000000 , 74777.000000 , 0.000000 , 48.143095 , 29.162633 , 0.000000 , 35.152148 , 0.020771 , 0.028448 , 0.020771 , 0.333223 , 0.365080 , 0.000000 
 164781.000000 , 164781.000000 , 0.000000 , 21.847156 , 55.224681 , 25.121129 , 30.103909 , 0.045773 , 0.033218 , 0.033218 , 0.532901 , 0.688966 , 0.000000 
 44253.000000 , 44253.000000 , 0.000000 , 81.350331 , 77.132156 , 37.054845 , 40.077311 , 0.012293 , 0.024952 , 0.012293 , 0.197201 , 0.492651 , 0.000000 
 209032.000000 , 209032.000000 , 0.000000 , 17.222225 , 38.028951 , 3.043944 , 34.985045 , 0.058065 , 0.028584 , 0.028584 , 0.458550 , 0.507847 , 0.000000 
 209031.000000 , 209031.000000 , 0.000000 , 17.222308 , 9.976522 , 0.000000 , 9.976578 , 0.058064 , 0.100235 , 0.058064 , 0.931490 , 0.579282 , 0.000000 
sim. n : 4
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224590.000000 , 224590.000000 , 5.000000 , 16.028917 , 240.156787 , 225.102831 , 15.053967 , 0.062387 , 0.066428 , 0.062387 , 1.000000 , 0.939176 , 0.000000 
 90174.000000 , 74984.000000 , 0.000000 , 48.009369 , 28.969486 , 0.000000 , 34.838321 , 0.020829 , 0.028704 , 0.020829 , 0.333871 , 0.362828 , 0.000000 
 165292.000000 , 165292.000000 , 4.000000 , 21.779242 , 54.831049 , 24.955550 , 29.875821 , 0.045915 , 0.033472 , 0.033472 , 0.536518 , 0.685878 , 0.000000 
 44101.000000 , 44101.000000 , 0.000000 , 81.629317 , 77.021316 , 37.160463 , 39.860853 , 0.012251 , 0.025087 , 0.012251 , 0.196362 , 0.488315 , 0.000000 
 209387.000000 , 209387.000000 , 0.000000 , 17.192732 , 37.947245 , 2.983919 , 34.963599 , 0.058164 , 0.028601 , 0.028601 , 0.458446 , 0.508407 , 0.000000 
 209384.000000 , 209384.000000 , 0.000000 , 17.192978 , 10.063923 , 0.000000 , 10.063923 , 0.058163 , 0.099365 , 0.058163 , 0.932294 , 0.585351 , 0.000000 
sim. n : 5
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225893.000000 , 225893.000000 , 0.000000 , 15.936674 , 243.647158 , 228.707460 , 14.939711 , 0.062748 , 0.066936 , 0.062748 , 1.000000 , 0.937442 , 0.000000 
 90466.000000 , 75138.000000 , 0.000000 , 47.911618 , 29.106095 , 0.000000 , 35.043680 , 0.020872 , 0.028536 , 0.020872 , 0.332627 , 0.365712 , 0.000000 
 166238.000000 , 166238.000000 , 0.000000 , 21.655597 , 55.548061 , 25.523782 , 30.024624 , 0.046177 , 0.033306 , 0.033306 , 0.530787 , 0.693230 , 0.000000 
 44326.000000 , 44326.000000 , 0.000000 , 81.216062 , 77.688405 , 37.642729 , 40.045676 , 0.012313 , 0.024971 , 0.012313 , 0.196226 , 0.493076 , 0.000000 
 210563.000000 , 210563.000000 , 1.000000 , 17.096941 , 38.228486 , 3.199459 , 35.030199 , 0.058490 , 0.028547 , 0.028547 , 0.454941 , 0.512229 , 0.000000 
 210558.000000 , 210558.000000 , 0.000000 , 17.097347 , 10.009957 , 0.000000 , 10.010074 , 0.058489 , 0.099899 , 0.058489 , 0.932114 , 0.585475 , 0.000000 
sim. n : 6
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225089.000000 , 225089.000000 , 2.000000 , 15.993394 , 233.250796 , 218.242296 , 15.008576 , 0.062526 , 0.066629 , 0.062526 , 1.000000 , 0.938423 , 0.000000 
 89819.000000 , 74687.000000 , 0.000000 , 48.200317 , 28.910698 , 0.000000 , 34.768245 , 0.020747 , 0.028762 , 0.020747 , 0.331811 , 0.360664 , 0.000000 
 165861.000000 , 165861.000000 , 0.000000 , 21.704542 , 55.793088 , 25.755354 , 30.037785 , 0.046073 , 0.033291 , 0.033291 , 0.532443 , 0.691970 , 0.000000 
 44092.000000 , 44092.000000 , 1.000000 , 81.646037 , 76.663366 , 36.838074 , 39.825418 , 0.012248 , 0.025110 , 0.012248 , 0.195887 , 0.487781 , 0.000000 
 209950.000000 , 209950.000000 , 0.000000 , 17.146640 , 38.077440 , 3.169767 , 34.907673 , 0.058320 , 0.028647 , 0.028647 , 0.458163 , 0.508958 , 0.000000 
 209950.000000 , 209950.000000 , 0.000000 , 17.146640 , 10.010598 , 0.000000 , 10.010635 , 0.058320 , 0.099894 , 0.058320 , 0.932742 , 0.583825 , 0.000000 
sim. n : 7
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224340.000000 , 224340.000000 , 17.000000 , 16.047058 , 239.813662 , 224.791607 , 15.022086 , 0.062317 , 0.066569 , 0.062317 , 1.000000 , 0.936127 , 0.000000 
 89540.000000 , 74433.000000 , 0.000000 , 48.365604 , 29.181621 , 0.000000 , 35.105143 , 0.020676 , 0.028486 , 0.020676 , 0.331787 , 0.362914 , 0.000000 
 165438.000000 , 165438.000000 , 0.000000 , 21.760399 , 55.442994 , 25.518898 , 29.924096 , 0.045955 , 0.033418 , 0.033418 , 0.536259 , 0.687581 , 0.000000 
 43776.000000 , 43776.000000 , 0.000000 , 82.236773 , 76.018783 , 36.033723 , 39.985060 , 0.012160 , 0.025009 , 0.012160 , 0.195132 , 0.486219 , 0.000000 
 209214.000000 , 209214.000000 , 0.000000 , 17.207247 , 38.133005 , 3.135134 , 34.998198 , 0.058115 , 0.028573 , 0.028573 , 0.458511 , 0.508480 , 0.000000 
 209211.000000 , 209211.000000 , 0.000000 , 17.207494 , 9.971526 , 0.000000 , 9.971526 , 0.058114 , 0.100286 , 0.058114 , 0.932562 , 0.579487 , 0.000000 
sim. n : 8
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225166.000000 , 225166.000000 , 0.000000 , 15.988096 , 235.383845 , 220.432165 , 14.951709 , 0.062547 , 0.066882 , 0.062547 , 1.000000 , 0.935178 , 0.000000 
 90292.000000 , 75101.000000 , 0.000000 , 47.935123 , 28.963156 , 0.000000 , 34.822234 , 0.020862 , 0.028717 , 0.020862 , 0.333536 , 0.363223 , 0.000000 
 166083.000000 , 166083.000000 , 1.000000 , 21.675763 , 55.389668 , 25.489965 , 29.899941 , 0.046134 , 0.033445 , 0.033445 , 0.534720 , 0.689709 , 0.000000 
 43890.000000 , 43890.000000 , 0.000000 , 82.022686 , 78.394251 , 38.343322 , 40.050929 , 0.012192 , 0.024968 , 0.012192 , 0.194923 , 0.488291 , 0.000000 
