batch, block, delay
0 , 3 , 35.307820 
1 , 3 , 38.240363 
2 , 3 , 37.152142 
3 , 3 , 36.990498 
4 , 3 , 34.994153 
5 , 3 , 39.871633 
6 , 3 , 38.382260 
7 , 3 , 37.133526 
8 , 3 , 38.266994 
9 , 3 , 36.772410 
10 , 3 , 36.649306 
11 , 3 , 39.332603 
12 , 3 , 35.914477 
13 , 3 , 37.064432 
14 , 3 , 36.022623 
15 , 3 , 35.219371 
16 , 3 , 36.985754 
17 , 3 , 37.976530 
18 , 3 , 38.082239 
19 , 3 , 36.989744 
20 , 3 , 36.495614 
21 , 3 , 38.040229 
22 , 3 , 38.468167 
23 , 3 , 34.618268 
24 , 3 , 37.438451 
25 , 3 , 37.241550 
26 , 3 , 37.050216 
27 , 3 , 38.357798 
28 , 3 , 37.645577 
29 , 3 , 36.747213 
30 , 3 , 37.391274 
31 , 3 , 36.321583 
32 , 3 , 35.096440 
33 , 3 , 36.015070 
34 , 3 , 37.877457 
35 , 3 , 35.428002 
36 , 3 , 35.953776 
37 , 3 , 36.800932 
38 , 3 , 36.431375 
39 , 3 , 36.152154 
40 , 3 , 36.457910 
41 , 3 , 39.009416 
42 , 3 , 37.536728 
43 , 3 , 39.118472 
44 , 3 , 38.923225 
45 , 3 , 38.959250 
46 , 3 , 37.861214 
47 , 3 , 36.377391 
48 , 3 , 39.121198 
49 , 3 , 36.797746 
50 , 3 , 38.563799 
51 , 3 , 40.874503 
52 , 3 , 39.919099 
53 , 3 , 39.734573 
54 , 3 , 37.245428 
55 , 3 , 37.289044 
56 , 3 , 36.424386 
57 , 3 , 36.262790 
58 , 3 , 35.706078 
59 , 3 , 36.793835 
60 , 3 , 38.232524 
61 , 3 , 35.404176 
62 , 3 , 36.971463 
63 , 3 , 35.183021 
64 , 3 , 38.110935 
65 , 3 , 37.621550 
66 , 3 , 40.612558 
67 , 3 , 38.776515 
68 , 3 , 38.084398 
69 , 3 , 36.866411 
70 , 3 , 38.701318 
71 , 3 , 36.941661 
72 , 3 , 39.321783 
73 , 3 , 36.917328 
74 , 3 , 37.840141 
75 , 3 , 37.691146 
76 , 3 , 35.658400 
77 , 3 , 38.399548 
78 , 3 , 35.608887 
79 , 3 , 36.880516 
80 , 3 , 38.202119 
81 , 3 , 38.775459 
82 , 3 , 36.248956 
83 , 3 , 35.364954 
84 , 3 , 37.188414 
85 , 3 , 37.996691 
86 , 3 , 36.486429 
87 , 3 , 37.843551 
88 , 3 , 37.912635 
89 , 3 , 39.018191 
90 , 3 , 37.290759 
91 , 3 , 37.957045 
92 , 3 , 37.567254 
93 , 3 , 35.637992 
94 , 3 , 36.420608 
95 , 3 , 37.858695 
96 , 3 , 38.248344 
97 , 3 , 39.215563 
98 , 3 , 37.942896 
99 , 3 , 38.092420 
100 , 3 , 37.154736 
101 , 3 , 39.343284 
102 , 3 , 39.585499 
103 , 3 , 36.219882 
104 , 3 , 38.381627 
105 , 3 , 36.133290 
106 , 3 , 36.277207 
107 , 3 , 37.732749 
108 , 3 , 38.582186 
109 , 3 , 40.577259 
110 , 3 , 36.372243 
111 , 3 , 36.883560 
112 , 3 , 35.299528 
113 , 3 , 37.685808 
114 , 3 , 37.381306 
115 , 3 , 38.996069 
116 , 3 , 37.761294 
117 , 3 , 35.542431 
118 , 3 , 38.602327 
119 , 3 , 40.036152 
120 , 3 , 37.323269 
121 , 3 , 37.037292 
122 , 3 , 36.657792 
123 , 3 , 39.549454 
124 , 3 , 36.623361 
125 , 3 , 35.906416 
126 , 3 , 36.768036 
127 , 3 , 37.179144 
