batch, block, delay
0 , 2 , 26.446994 
1 , 2 , 26.521714 
2 , 2 , 25.070481 
3 , 2 , 26.777950 
4 , 2 , 24.684524 
5 , 2 , 25.676000 
6 , 2 , 25.637362 
7 , 2 , 23.955504 
8 , 2 , 25.961553 
9 , 2 , 25.349387 
10 , 2 , 26.121071 
11 , 2 , 26.253713 
12 , 2 , 25.145627 
13 , 2 , 25.172829 
14 , 2 , 24.990910 
15 , 2 , 26.011082 
16 , 2 , 25.222476 
17 , 2 , 24.536834 
18 , 2 , 25.866147 
19 , 2 , 26.987915 
20 , 2 , 26.243007 
21 , 2 , 24.523116 
22 , 2 , 25.133090 
23 , 2 , 25.268771 
24 , 2 , 25.233567 
25 , 2 , 25.470228 
26 , 2 , 26.568516 
27 , 2 , 26.046156 
28 , 2 , 25.764606 
29 , 2 , 26.546391 
30 , 2 , 26.842521 
31 , 2 , 25.507093 
32 , 2 , 24.756368 
33 , 2 , 24.628755 
34 , 2 , 25.219470 
35 , 2 , 26.129232 
36 , 2 , 25.357421 
37 , 2 , 26.147121 
38 , 2 , 26.834792 
39 , 2 , 25.246086 
40 , 2 , 25.091467 
41 , 2 , 25.718681 
42 , 2 , 25.010363 
43 , 2 , 26.791088 
44 , 2 , 25.029010 
45 , 2 , 25.380128 
46 , 2 , 26.014494 
47 , 2 , 24.410282 
48 , 2 , 24.446578 
49 , 2 , 25.057305 
50 , 2 , 24.721180 
51 , 2 , 24.785397 
52 , 2 , 24.625394 
53 , 2 , 25.434804 
54 , 2 , 26.151785 
55 , 2 , 25.313755 
56 , 2 , 26.680464 
57 , 2 , 24.816193 
58 , 2 , 25.998309 
59 , 2 , 24.240501 
60 , 2 , 24.417871 
61 , 2 , 25.060059 
62 , 2 , 25.140015 
63 , 2 , 24.528582 
64 , 2 , 26.441609 
65 , 2 , 25.306493 
66 , 2 , 24.703839 
67 , 2 , 25.904870 
68 , 2 , 25.980520 
69 , 2 , 24.083888 
70 , 2 , 25.698915 
71 , 2 , 26.946137 
72 , 2 , 26.218885 
73 , 2 , 24.088097 
74 , 2 , 25.579475 
75 , 2 , 25.425178 
76 , 2 , 25.809444 
77 , 2 , 25.703929 
78 , 2 , 25.500118 
79 , 2 , 25.020337 
80 , 2 , 24.965703 
81 , 2 , 24.547865 
82 , 2 , 25.758445 
83 , 2 , 25.188247 
84 , 2 , 25.391470 
85 , 2 , 25.236073 
86 , 2 , 25.742010 
87 , 2 , 26.159250 
88 , 2 , 24.952457 
89 , 2 , 27.521414 
90 , 2 , 25.178622 
91 , 2 , 26.124775 
92 , 2 , 24.214534 
93 , 2 , 23.985864 
94 , 2 , 25.301673 
95 , 2 , 25.993371 
96 , 2 , 24.636823 
97 , 2 , 25.588219 
98 , 2 , 24.838856 
99 , 2 , 25.408430 
100 , 2 , 24.591127 
101 , 2 , 25.229097 
102 , 2 , 25.359404 
103 , 2 , 24.080568 
104 , 2 , 26.184934 
105 , 2 , 24.718165 
106 , 2 , 27.519842 
107 , 2 , 26.922659 
108 , 2 , 26.051261 
109 , 2 , 25.729709 
110 , 2 , 25.397317 
111 , 2 , 26.642748 
112 , 2 , 26.096394 
113 , 2 , 25.894254 
114 , 2 , 26.671654 
115 , 2 , 24.259688 
116 , 2 , 25.877339 
117 , 2 , 25.318493 
118 , 2 , 26.985678 
119 , 2 , 25.324814 
120 , 2 , 24.850804 
121 , 2 , 24.662709 
122 , 2 , 26.521363 
123 , 2 , 26.445031 
124 , 2 , 25.889841 
125 , 2 , 24.071478 
126 , 2 , 25.128450 
127 , 2 , 26.357774 
