batch, block, wait
0 , 5 , 10.016379 
1 , 5 , 10.053348 
2 , 5 , 9.983339 
3 , 5 , 9.950873 
4 , 5 , 10.020265 
5 , 5 , 10.004788 
6 , 5 , 10.016443 
7 , 5 , 10.010754 
8 , 5 , 10.017018 
9 , 5 , 10.044427 
10 , 5 , 9.997469 
11 , 5 , 10.005775 
12 , 5 , 9.941489 
13 , 5 , 10.074816 
14 , 5 , 9.948555 
15 , 5 , 9.960712 
16 , 5 , 10.007900 
17 , 5 , 10.046744 
18 , 5 , 10.006072 
19 , 5 , 9.996227 
20 , 5 , 10.048490 
21 , 5 , 10.045783 
22 , 5 , 10.005413 
23 , 5 , 10.008702 
24 , 5 , 9.970180 
25 , 5 , 10.006835 
26 , 5 , 9.988199 
27 , 5 , 10.008476 
28 , 5 , 10.016963 
29 , 5 , 9.989221 
30 , 5 , 9.965188 
31 , 5 , 9.972803 
32 , 5 , 10.006460 
33 , 5 , 10.054681 
34 , 5 , 10.005963 
35 , 5 , 9.987676 
36 , 5 , 9.997217 
37 , 5 , 9.960304 
38 , 5 , 10.018241 
39 , 5 , 9.994155 
40 , 5 , 10.024086 
41 , 5 , 9.993828 
42 , 5 , 9.982988 
43 , 5 , 9.979323 
44 , 5 , 10.049271 
45 , 5 , 10.003765 
46 , 5 , 10.017212 
47 , 5 , 10.007047 
48 , 5 , 9.991056 
49 , 5 , 10.002420 
50 , 5 , 9.982273 
51 , 5 , 9.990452 
52 , 5 , 9.967380 
53 , 5 , 9.994269 
54 , 5 , 9.951210 
55 , 5 , 9.989805 
56 , 5 , 9.985146 
57 , 5 , 9.929138 
58 , 5 , 9.995603 
59 , 5 , 9.996702 
60 , 5 , 9.974948 
61 , 5 , 9.964753 
62 , 5 , 9.951360 
63 , 5 , 10.005002 
64 , 5 , 10.050923 
65 , 5 , 10.018097 
66 , 5 , 10.005903 
67 , 5 , 9.991310 
68 , 5 , 9.995424 
69 , 5 , 9.957081 
70 , 5 , 10.023758 
71 , 5 , 10.001923 
72 , 5 , 9.951800 
73 , 5 , 10.003237 
74 , 5 , 10.007781 
75 , 5 , 10.021060 
76 , 5 , 9.996953 
77 , 5 , 10.048856 
78 , 5 , 10.049820 
79 , 5 , 9.933862 
80 , 5 , 10.014024 
81 , 5 , 9.980598 
82 , 5 , 9.973443 
83 , 5 , 10.004084 
84 , 5 , 10.018699 
85 , 5 , 9.993760 
86 , 5 , 10.023775 
87 , 5 , 10.016099 
88 , 5 , 9.974625 
89 , 5 , 9.975842 
90 , 5 , 9.951437 
91 , 5 , 10.012782 
92 , 5 , 9.988827 
93 , 5 , 10.029471 
94 , 5 , 10.035776 
95 , 5 , 10.043994 
96 , 5 , 10.029625 
97 , 5 , 10.025328 
98 , 5 , 10.016199 
99 , 5 , 9.978666 
100 , 5 , 9.996926 
101 , 5 , 9.999565 
102 , 5 , 10.007226 
103 , 5 , 10.005498 
104 , 5 , 10.004790 
105 , 5 , 10.056055 
106 , 5 , 10.010362 
107 , 5 , 9.975275 
108 , 5 , 9.977673 
109 , 5 , 10.045403 
110 , 5 , 10.039923 
111 , 5 , 9.986008 
112 , 5 , 10.030727 
113 , 5 , 9.988611 
114 , 5 , 10.022466 
115 , 5 , 10.053097 
116 , 5 , 10.080072 
117 , 5 , 10.005402 
118 , 5 , 10.022585 
119 , 5 , 9.963694 
120 , 5 , 9.968563 
121 , 5 , 9.996139 
122 , 5 , 9.994707 
123 , 5 , 10.018222 
124 , 5 , 9.992870 
125 , 5 , 10.004095 
126 , 5 , 10.041593 
127 , 5 , 9.976367 
