batch, block, wait
0 , 4 , 38.265832 
1 , 4 , 40.128833 
2 , 4 , 36.463837 
3 , 4 , 37.656872 
4 , 4 , 35.029403 
5 , 4 , 37.295622 
6 , 4 , 31.280810 
7 , 4 , 34.833438 
8 , 4 , 36.465636 
9 , 4 , 40.879760 
10 , 4 , 37.642673 
11 , 4 , 43.974445 
12 , 4 , 36.061660 
13 , 4 , 35.762857 
14 , 4 , 40.844042 
15 , 4 , 31.826426 
16 , 4 , 40.133476 
17 , 4 , 36.736544 
18 , 4 , 34.733872 
19 , 4 , 36.210506 
20 , 4 , 37.333757 
21 , 4 , 37.321775 
22 , 4 , 42.560414 
23 , 4 , 35.461665 
24 , 4 , 35.293772 
25 , 4 , 37.492391 
26 , 4 , 39.051129 
27 , 4 , 39.098537 
28 , 4 , 35.134591 
29 , 4 , 37.521209 
30 , 4 , 42.373226 
31 , 4 , 41.391000 
32 , 4 , 35.750338 
33 , 4 , 38.204025 
34 , 4 , 38.655681 
35 , 4 , 43.936522 
36 , 4 , 43.155243 
37 , 4 , 36.358441 
38 , 4 , 38.111363 
39 , 4 , 38.468257 
40 , 4 , 41.890538 
41 , 4 , 31.206966 
42 , 4 , 34.188030 
43 , 4 , 37.678735 
44 , 4 , 35.426924 
45 , 4 , 38.396072 
46 , 4 , 36.986325 
47 , 4 , 41.602690 
48 , 4 , 35.901032 
49 , 4 , 39.714427 
50 , 4 , 33.936128 
51 , 4 , 36.291571 
52 , 4 , 37.444575 
53 , 4 , 33.367529 
54 , 4 , 37.637003 
55 , 4 , 35.323953 
56 , 4 , 36.621798 
57 , 4 , 34.006095 
58 , 4 , 39.111481 
59 , 4 , 34.385719 
60 , 4 , 45.793274 
61 , 4 , 37.211799 
62 , 4 , 38.066105 
63 , 4 , 41.865325 
64 , 4 , 39.560791 
65 , 4 , 34.452808 
66 , 4 , 34.681965 
67 , 4 , 38.426184 
68 , 4 , 36.526155 
69 , 4 , 41.550427 
70 , 4 , 36.906847 
71 , 4 , 37.072786 
72 , 4 , 37.025303 
73 , 4 , 34.854319 
74 , 4 , 43.154915 
75 , 4 , 33.980393 
76 , 4 , 33.698179 
77 , 4 , 38.519269 
78 , 4 , 37.513177 
79 , 4 , 38.512087 
80 , 4 , 32.482361 
81 , 4 , 37.375359 
82 , 4 , 37.589523 
83 , 4 , 39.738849 
84 , 4 , 38.333966 
85 , 4 , 39.039818 
86 , 4 , 38.022963 
87 , 4 , 40.405786 
88 , 4 , 37.632282 
89 , 4 , 40.204215 
90 , 4 , 41.465453 
91 , 4 , 35.434700 
92 , 4 , 34.856854 
93 , 4 , 40.768640 
94 , 4 , 42.275358 
95 , 4 , 37.531161 
96 , 4 , 37.453829 
97 , 4 , 35.377944 
98 , 4 , 38.643090 
99 , 4 , 37.385386 
100 , 4 , 32.281649 
101 , 4 , 36.286202 
102 , 4 , 39.861729 
103 , 4 , 39.434550 
104 , 4 , 33.919929 
105 , 4 , 35.447084 
106 , 4 , 43.869644 
107 , 4 , 33.736883 
108 , 4 , 31.958739 
109 , 4 , 37.346065 
110 , 4 , 43.100117 
111 , 4 , 35.731903 
112 , 4 , 41.248567 
113 , 4 , 38.094036 
114 , 4 , 37.702443 
115 , 4 , 34.946545 
116 , 4 , 38.301927 
117 , 4 , 43.055534 
118 , 4 , 35.963250 
119 , 4 , 36.564242 
120 , 4 , 35.127045 
121 , 4 , 33.638853 
122 , 4 , 36.439939 
123 , 4 , 33.941459 
124 , 4 , 41.044281 
125 , 4 , 35.205877 
126 , 4 , 34.120706 
127 , 4 , 43.363273 
