batch, block, wait
0 , 3 , 72.673414 
1 , 3 , 66.806667 
2 , 3 , 81.241764 
3 , 3 , 61.897922 
4 , 3 , 76.897958 
5 , 3 , 68.289606 
6 , 3 , 134.826019 
7 , 3 , 74.106965 
8 , 3 , 78.414344 
9 , 3 , 46.491842 
10 , 3 , 97.587404 
11 , 3 , 71.094285 
12 , 3 , 51.269563 
13 , 3 , 56.963198 
14 , 3 , 55.237756 
15 , 3 , 80.566617 
16 , 3 , 168.227911 
17 , 3 , 62.856521 
18 , 3 , 121.457131 
19 , 3 , 54.271257 
20 , 3 , 106.668133 
21 , 3 , 93.445124 
22 , 3 , 60.962589 
23 , 3 , 65.505454 
24 , 3 , 86.568868 
25 , 3 , 90.568907 
26 , 3 , 88.476308 
27 , 3 , 61.726360 
28 , 3 , 69.566018 
29 , 3 , 57.789562 
30 , 3 , 95.404893 
31 , 3 , 113.748319 
32 , 3 , 62.156505 
33 , 3 , 62.970364 
34 , 3 , 42.620568 
35 , 3 , 54.964841 
36 , 3 , 56.747359 
37 , 3 , 143.566870 
38 , 3 , 57.647245 
39 , 3 , 49.822288 
40 , 3 , 82.790695 
41 , 3 , 75.066630 
42 , 3 , 106.711523 
43 , 3 , 48.947776 
44 , 3 , 95.021779 
45 , 3 , 86.085030 
46 , 3 , 108.594650 
47 , 3 , 112.865547 
48 , 3 , 100.135878 
49 , 3 , 55.024061 
50 , 3 , 55.686084 
51 , 3 , 52.090326 
52 , 3 , 75.830253 
53 , 3 , 64.592619 
54 , 3 , 62.401235 
55 , 3 , 55.647073 
56 , 3 , 132.719689 
57 , 3 , 66.287543 
58 , 3 , 59.428331 
59 , 3 , 84.633076 
60 , 3 , 82.728580 
61 , 3 , 56.878442 
62 , 3 , 63.891374 
63 , 3 , 60.057257 
64 , 3 , 98.750105 
65 , 3 , 67.165034 
66 , 3 , 54.575418 
67 , 3 , 79.454710 
68 , 3 , 56.704814 
69 , 3 , 75.609923 
70 , 3 , 68.027666 
71 , 3 , 64.044716 
72 , 3 , 54.690506 
73 , 3 , 77.261688 
74 , 3 , 66.545915 
75 , 3 , 82.989726 
76 , 3 , 59.705737 
77 , 3 , 80.762581 
78 , 3 , 56.583420 
79 , 3 , 94.949646 
80 , 3 , 72.229418 
81 , 3 , 63.408434 
82 , 3 , 90.711301 
83 , 3 , 107.080537 
84 , 3 , 73.517259 
85 , 3 , 93.291394 
86 , 3 , 59.545148 
87 , 3 , 66.684854 
88 , 3 , 67.854199 
89 , 3 , 80.914552 
90 , 3 , 82.275231 
91 , 3 , 63.101977 
92 , 3 , 67.890345 
93 , 3 , 76.015984 
94 , 3 , 67.820717 
95 , 3 , 71.370035 
96 , 3 , 86.649251 
97 , 3 , 94.334076 
98 , 3 , 87.083919 
99 , 3 , 82.912974 
100 , 3 , 125.933609 
101 , 3 , 84.500453 
102 , 3 , 96.592940 
103 , 3 , 69.802461 
104 , 3 , 80.643080 
105 , 3 , 54.372211 
106 , 3 , 53.989333 
107 , 3 , 62.895560 
108 , 3 , 140.187282 
109 , 3 , 74.923143 
110 , 3 , 75.077704 
111 , 3 , 95.610701 
112 , 3 , 110.355179 
113 , 3 , 75.988925 
114 , 3 , 58.503154 
115 , 3 , 66.461448 
116 , 3 , 83.110064 
117 , 3 , 47.337989 
118 , 3 , 61.650983 
119 , 3 , 126.745800 
120 , 3 , 41.858332 
121 , 3 , 94.157372 
122 , 3 , 50.395831 
123 , 3 , 78.056584 
124 , 3 , 46.059788 
125 , 3 , 79.806077 
126 , 3 , 82.865825 
127 , 3 , 88.419471 
