batch, block, wait
0 , 2 , 42.896938 
1 , 2 , 57.508337 
2 , 2 , 53.578351 
3 , 2 , 42.133636 
4 , 2 , 36.019985 
5 , 2 , 44.829535 
6 , 2 , 47.214571 
7 , 2 , 147.727869 
8 , 2 , 30.461891 
9 , 2 , 32.745377 
10 , 2 , 76.612668 
11 , 2 , 34.008737 
12 , 2 , 35.787730 
13 , 2 , 50.619280 
14 , 2 , 48.967684 
15 , 2 , 67.078425 
16 , 2 , 50.978917 
17 , 2 , 75.425569 
18 , 2 , 74.853209 
19 , 2 , 116.083929 
20 , 2 , 76.389842 
21 , 2 , 38.721777 
22 , 2 , 50.216467 
23 , 2 , 152.717366 
24 , 2 , 56.327041 
25 , 2 , 75.242961 
26 , 2 , 61.950063 
27 , 2 , 40.013522 
28 , 2 , 79.091555 
29 , 2 , 36.607818 
30 , 2 , 63.454672 
31 , 2 , 83.895834 
32 , 2 , 47.501174 
33 , 2 , 92.865065 
34 , 2 , 41.871016 
35 , 2 , 51.236285 
36 , 2 , 37.248169 
37 , 2 , 50.888066 
38 , 2 , 55.715401 
39 , 2 , 44.953983 
40 , 2 , 45.030602 
41 , 2 , 58.556097 
42 , 2 , 39.524265 
43 , 2 , 44.161455 
44 , 2 , 77.450968 
45 , 2 , 57.925890 
46 , 2 , 45.208427 
47 , 2 , 45.426299 
48 , 2 , 71.032817 
49 , 2 , 40.437478 
50 , 2 , 60.421233 
51 , 2 , 57.816359 
52 , 2 , 61.831340 
53 , 2 , 41.846945 
54 , 2 , 38.546745 
55 , 2 , 85.540527 
56 , 2 , 68.497177 
57 , 2 , 54.525415 
58 , 2 , 101.089029 
59 , 2 , 121.704948 
60 , 2 , 48.233648 
61 , 2 , 43.536144 
62 , 2 , 30.683562 
63 , 2 , 78.308212 
64 , 2 , 67.520635 
65 , 2 , 56.954454 
66 , 2 , 87.413502 
67 , 2 , 54.654292 
68 , 2 , 46.032262 
69 , 2 , 45.931510 
70 , 2 , 103.108684 
71 , 2 , 55.243195 
72 , 2 , 67.377070 
73 , 2 , 27.707595 
74 , 2 , 52.801839 
75 , 2 , 97.998797 
76 , 2 , 96.106816 
77 , 2 , 38.211296 
78 , 2 , 42.109877 
79 , 2 , 43.482203 
80 , 2 , 46.466837 
81 , 2 , 50.862016 
82 , 2 , 32.136183 
83 , 2 , 31.731667 
84 , 2 , 36.617848 
85 , 2 , 70.057714 
86 , 2 , 39.579247 
87 , 2 , 41.247837 
88 , 2 , 35.413102 
89 , 2 , 45.683335 
90 , 2 , 49.625574 
91 , 2 , 71.038851 
92 , 2 , 32.960082 
93 , 2 , 38.848592 
94 , 2 , 40.402259 
95 , 2 , 44.108438 
96 , 2 , 97.466177 
97 , 2 , 69.261560 
98 , 2 , 62.989774 
99 , 2 , 69.817972 
100 , 2 , 47.539199 
101 , 2 , 56.726628 
102 , 2 , 45.791774 
103 , 2 , 53.134656 
104 , 2 , 65.955972 
105 , 2 , 43.985995 
106 , 2 , 58.516652 
107 , 2 , 49.330864 
108 , 2 , 44.691685 
109 , 2 , 63.839766 
110 , 2 , 52.725663 
111 , 2 , 43.235424 
112 , 2 , 63.072367 
113 , 2 , 64.759839 
114 , 2 , 43.267669 
115 , 2 , 43.652815 
116 , 2 , 41.022485 
117 , 2 , 52.397106 
118 , 2 , 42.647822 
119 , 2 , 50.131684 
120 , 2 , 52.747549 
121 , 2 , 54.726904 
122 , 2 , 56.046806 
123 , 2 , 34.805591 
124 , 2 , 33.343282 
125 , 2 , 35.751820 
126 , 2 , 91.176638 
127 , 2 , 36.345266 
128 , 2 , 67.818123 
129 , 2 , 32.817952 
130 , 2 , 42.766866 
131 , 2 , 40.661240 
132 , 2 , 47.987981 
133 , 2 , 38.798122 
134 , 2 , 30.902433 
135 , 2 , 134.733897 
136 , 2 , 111.256095 
137 , 2 , 64.359086 
138 , 2 , 40.050971 
139 , 2 , 33.403088 
140 , 2 , 38.417490 
141 , 2 , 32.860288 
142 , 2 , 33.151116 
143 , 2 , 51.813443 
144 , 2 , 30.519142 
145 , 2 , 41.413039 
146 , 2 , 54.464902 
147 , 2 , 62.808292 
148 , 2 , 53.308301 
149 , 2 , 38.846210 
150 , 2 , 36.123671 
151 , 2 , 76.492262 
152 , 2 , 38.179158 
153 , 2 , 48.716695 
154 , 2 , 68.227995 
155 , 2 , 51.295402 
156 , 2 , 41.999869 
157 , 2 , 61.650923 
158 , 2 , 66.319636 
