response time, clock , seed
322.838422 , 1918097.226335, 469222538.000000
350.759454 , 1912892.122549, 689393240.000000
323.590569 , 1923591.461380, 1776286106.000000
379.939714 , 1909084.884093, 2024762593.000000
331.253035 , 1923226.190753, 934213503.000000
334.792384 , 1920542.806639, 883272138.000000
339.591698 , 1919949.320660, 1209991136.000000
332.651128 , 1928122.399145, 1298495045.000000
363.698015 , 1909450.072622, 812435703.000000
356.115553 , 1922871.323623, 365510189.000000
357.320475 , 1918616.041629, 532058687.000000
369.713962 , 1911344.256229, 854574568.000000
356.532447 , 1914806.892647, 1109353252.000000
351.691100 , 1921593.904356, 77216731.000000
360.573646 , 1917295.727895, 932454395.000000
318.429562 , 1923769.153891, 164412076.000000
334.304887 , 1924749.436599, 624879216.000000
351.906465 , 1920914.815887, 1471830140.000000
324.344583 , 1925399.687882, 1664140149.000000
366.495962 , 1917392.278302, 123963221.000000
344.762014 , 1914110.107264, 1132132734.000000
350.114753 , 1921078.429943, 1262303686.000000
345.512672 , 1916864.241594, 552849804.000000
329.856068 , 1924065.051753, 1717759802.000000
361.848205 , 1912665.012510, 1278164909.000000
345.634744 , 1921342.685264, 1373149254.000000
354.364853 , 1916799.953979, 2006886686.000000
364.662285 , 1923298.024019, 517375457.000000
357.772336 , 1917157.925929, 609974028.000000
332.595506 , 1925929.574196, 1541260435.000000
355.596201 , 1918470.323064, 2043401840.000000
324.279685 , 1918813.771723, 1477736038.000000
343.065824 , 1927742.751696, 1072018762.000000
333.333132 , 1919441.881654, 1225688219.000000
321.817586 , 1932878.271019, 147707273.000000
353.870116 , 1920467.846850, 158983229.000000
321.969285 , 1928091.379142, 780634487.000000
361.008491 , 1914110.723094, 1825150448.000000
367.142252 , 1922814.942419, 1465398538.000000
340.127687 , 1930611.069922, 1306890034.000000
379.665059 , 1920688.660041, 1069269006.000000
361.580150 , 1908200.218228, 1274298300.000000
348.514167 , 1927494.717669, 1386736167.000000
346.665965 , 1915191.821648, 254995785.000000
355.984054 , 1910781.799922, 842951380.000000
