response time (ms), current time, seed
88.084634, 428.644768, 940102515
107.488801, 5003.094037, 165231510
108.457476, 10003.553679, 680872227
110.773866, 15000.198183, 544670638
113.139858, 20004.930836, 1844451026
112.631130, 25001.223250, 605069200
114.533886, 30004.161752, 1759719410
113.427296, 35004.229419, 1973669502
113.345085, 40005.732911, 527678806
113.657611, 45003.775803, 1607938045
114.059017, 50005.437861, 780130633
114.977684, 55000.911185, 1854809153
115.547677, 60001.258242, 1230177750
115.231103, 65002.438137, 507750470
114.938179, 70002.791463, 2020658241
115.069836, 75002.336726, 716174616
115.236368, 80002.784358, 1627847727
114.932361, 85000.596106, 1510606851
115.939512, 90000.136793, 798664444
115.650863, 95000.618079, 916765748
115.771558, 100000.772178, 187936081
116.282811, 105001.932096, 810576974
116.016050, 110000.249786, 468812422
116.286000, 115000.284643, 2085038018
116.154886, 120001.564210, 2146196100
116.056527, 125006.226460, 1354035840
116.040783, 130002.825941, 1144959565
116.243554, 135001.638809, 221913568
116.187407, 140001.420440, 1516661808
115.959123, 145003.821810, 547923956
116.054910, 150000.914471, 551669045
115.830326, 155003.353198, 1244446416
115.809354, 160006.381679, 1400256062
115.979531, 165009.014223, 1556568483
116.089560, 170002.705219, 94870402
116.126952, 175003.082299, 1162838953
116.353128, 180003.254955, 901124551
116.354737, 185011.023974, 825191662
116.390286, 190002.287185, 37572571
116.091063, 195001.580839, 1861335725
116.018413, 200000.728766, 550441276
116.304851, 205005.707633, 1078618085
116.086578, 210002.147209, 1231648179
116.009980, 215000.243721, 2088226840
116.212103, 220002.772219, 589817331
116.224492, 225002.354050, 735217063
116.422477, 230003.311736, 57995246
116.498632, 235005.354290, 1740738624
116.394460, 240001.469225, 1657341043
116.531251, 245004.366459, 609018464
116.391003, 250001.441278, 961778038
116.347151, 255011.859127, 299264881
116.275380, 260000.380132, 1788227755
116.133862, 265014.846662, 2010815743
116.083308, 270003.523865, 284062058
116.059313, 275001.143227, 799259080
116.093407, 280006.524843, 1628693118
115.972888, 285004.401565, 1470870708
116.053048, 290008.440217, 2124900950
116.205093, 295002.992904, 46813682
116.086994, 300008.874473, 297146942
115.938606, 305001.019326, 1821888432
115.939320, 310001.508936, 320809375
115.983954, 315001.417330, 455554764
115.909790, 320007.678729, 1554857846
115.907096, 325002.367036, 596307467
115.787025, 330011.674588, 1148204292
115.709358, 335010.237046, 1304784770
115.701952, 340002.951808, 2035119063
115.637857, 345004.632400, 1264216880
115.709155, 350017.013412, 1955969239
115.636572, 355000.202496, 2073034733
115.658927, 360000.463274, 947294661
115.511593, 365001.764631, 329979961
115.496646, 370010.691698, 1345984941
115.354449, 375011.068135, 1826421886
115.420126, 380000.388597, 1381284831
115.500793, 385002.750533, 2011902960
115.519929, 390009.391639, 2086954052
115.560386, 395001.560878, 813052588
115.691050, 400003.701116, 301462033
115.828103, 405000.607353, 500138854
115.807293, 410003.564523, 1463391310
115.750053, 415001.576339, 1855449224
115.673240, 420006.759471, 1510419762
115.697952, 425015.546618, 2093743436
115.593024, 430001.154083, 1624448104
115.540312, 435001.421683, 977240876
115.481139, 440000.415244, 1994473394
115.389014, 445004.942942, 815513371
115.423874, 450000.218758, 1823596002
115.511706, 455002.573277, 1468688162
115.440267, 460000.492509, 1986042603
115.471355, 465002.997366, 2103849864
115.621905, 470005.074629, 1062816317
115.606146, 475002.212143, 1033656761
115.691252, 480001.069518, 407908562
115.774533, 485006.390761, 1096746732
115.742367, 490003.274457, 1463732385
115.759874, 495010.177734, 1712674767
115.632836, 500000.205885, 647535598
115.679844, 505001.029957, 2044095876
115.699434, 510005.232288, 1959974890
115.712141, 515003.355890, 1920647250
115.774052, 520001.822365, 336021393
115.763778, 525001.706281, 551522842
115.827553, 530001.175317, 387791060
115.935049, 535006.586729, 404133857
116.063391, 540003.134906, 450741519
116.044703, 545001.361432, 897908438
116.105752, 550003.641079, 113971307
116.224929, 555000.974669, 316634432
116.199711, 560005.049382, 1961219583
116.110177, 565000.670031, 798982932
116.340712, 570000.310114, 2051835998
116.250212, 575001.035960, 1017610804
116.121919, 580006.748160, 2075596952
116.079986, 585003.973194, 2001545581
116.089077, 590002.383853, 1798029789
116.049062, 595001.866393, 202857523
116.080569, 600001.722211, 1726373773
116.157068, 605000.809198, 1604737073
116.207034, 610004.173310, 1703975104
116.158961, 615001.063576, 161118788
116.130827, 620002.918758, 737742029
116.256447, 625004.925470, 1650891440
116.268221, 630000.469774, 994878146
116.224527, 635000.731695, 1529948990
116.244296, 640000.731110, 1187843086
116.274278, 645000.354548, 2005349732
116.324026, 650001.186121, 1605010815
116.301244, 655001.722085, 1904602195
116.300662, 660004.656629, 1236364341
116.317359, 665000.104777, 62081406
116.325837, 670001.785718, 733291856
116.411016, 675000.971308, 1718447073
116.482860, 680003.733177, 862903152
116.429457, 685001.141698, 209072851
116.414290, 690000.811960, 2146134092
116.395028, 695002.570424, 1175982031
116.378640, 700004.884778, 1296080921
116.352278, 705005.071244, 1599111226
116.301416, 710004.697256, 789362173
116.389154, 715000.321285, 1075653163
116.413223, 720000.134357, 574149724
116.493516, 725008.222645, 1713799045
116.474442, 730002.890503, 1310518282
116.501817, 735001.147129, 1662607332
116.538641, 740001.008258, 186806
116.508323, 745012.473701, 1860327809
116.482333, 750015.013987, 1573793075
116.470165, 755000.696400, 347922451
116.486338, 760004.742754, 1632545560
116.439792, 765000.819882, 1886669473
116.474912, 770000.869290, 628770202
116.473800, 775005.485639, 1028580645
116.610287, 780003.450539, 1022076551
116.578680, 785005.997437, 1141866028
116.521081, 790002.871655, 27749379
116.545940, 795000.148533, 1404175858
116.552860, 800000.673493, 1780926909
116.528217, 805002.792552, 1150055779
116.581785, 810004.965563, 1615867789
116.603516, 815000.826408, 1696785628
116.521063, 820004.832848, 441232863
116.484752, 825000.439782, 257422506
116.487700, 830001.696146, 766734031
116.497721, 835000.719697, 1677378491
116.485692, 840000.141610, 1861062162
116.443979, 845000.979932, 1979053369
116.514645, 850001.107745, 1653507834
116.495537, 855000.751498, 1997033970
116.438738, 860003.016267, 1676764025
116.479174, 865000.917775, 448747764
116.419435, 870001.297763, 1838049284
116.358808, 875011.479489, 1561738745
116.319397, 880007.787107, 1954893612
116.308948, 885006.052331, 786759758
116.296525, 890000.144356, 1199729203
116.336585, 895006.845337, 1579013911
116.335406, 900007.769120, 1249408128
116.303493, 905001.265839, 1370663421
116.298440, 910003.642025, 1192224033
116.295005, 915001.832331, 308117542
116.276101, 920003.648702, 645481061
116.271597, 925008.031514, 380146494
116.271692, 930004.841000, 2036343434
116.212966, 935003.056341, 298630161
116.217577, 940005.287947, 1733247274
116.204483, 945001.692986, 173909824
116.282407, 950004.287504, 1728984076
116.239005, 955011.108368, 1807402449
116.277114, 960001.312729, 1303201943
116.271699, 965014.066975, 1562357162
116.333948, 970003.880553, 1976817355
116.328355, 975001.356524, 310602588
116.400794, 980002.480002, 331891369
116.406750, 985009.261618, 1282893849
116.411197, 990001.955217, 1073452328
116.414510, 995003.254292, 1576687038
116.387992, 1000004.540394, 1366045920
116.430271, 1005003.004161, 2120833361
116.447789, 1010010.098539, 1066978311
116.376606, 1015000.810812, 1540904050
116.378263, 1020000.430443, 1251609777
116.352002, 1025008.344446, 862209580
116.375166, 1030007.172316, 380648973
116.397514, 1035003.964156, 967420613
116.416523, 1040006.210546, 1525110226
116.376995, 1045003.927900, 116654554
116.349124, 1050001.043396, 257152376
116.350157, 1055000.800147, 349446949
116.263858, 1060001.291790, 1217295419
116.246124, 1065000.258289, 1202397859
116.245170, 1070008.126558, 203690513
116.262605, 1075000.383762, 1945912298
116.321876, 1080016.246663, 1967214549
116.308797, 1085005.683430, 1228600207
116.373949, 1090000.876752, 2019645019
116.367683, 1095005.014423, 1389269680
116.370280, 1100000.966372, 59833343
116.333832, 1105003.051157, 463236277
116.321857, 1110001.819547, 101993936
116.389708, 1115000.174704, 291818363
116.368727, 1120002.604064, 1812947490
116.409568, 1125001.120679, 1495987902
116.397795, 1130005.251263, 582148505
116.421876, 1135000.936570, 692093974
116.472711, 1140000.210926, 154909561
116.434097, 1145004.909906, 1074196119
116.399381, 1150003.733322, 2073781741
116.360760, 1155007.060468, 300958210
116.313605, 1160001.043432, 908824231
116.246194, 1165007.355120, 787654432
116.208298, 1170007.212111, 1357355915
116.232730, 1175002.647481, 694869338
116.225546, 1180002.718798, 440030356
116.231716, 1185004.886208, 2131580865
116.249144, 1190001.994428, 1217338103
116.200976, 1195001.330076, 105263725
116.207366, 1200001.466487, 1351598947
116.175372, 1205000.981980, 2017234127
116.194963, 1210007.605817, 1550429839
116.150305, 1215008.345500, 528451209
116.124660, 1220012.242183, 1893669823
116.139115, 1225001.196672, 2000751602
116.127364, 1230010.699501, 656959982
116.142222, 1235004.954505, 304713286
116.238255, 1240001.356446, 93282902
116.192843, 1245001.657828, 1073536226
116.142450, 1250000.763385, 989783477
116.125977, 1255000.575323, 525564489
116.125235, 1260000.265959, 517861969
116.128315, 1265003.071633, 1650666492
116.138586, 1270000.681246, 1439524753
116.103651, 1275026.303644, 1673461119
116.117390, 1280001.543049, 45681900
116.124387, 1285002.259643, 802127518
116.111139, 1290002.224457, 878870116
116.076915, 1295005.029471, 525127872
116.081097, 1300009.080494, 1433772868
116.031264, 1305001.366692, 464538910
116.019811, 1310002.081298, 213256943
116.048506, 1315004.808276, 301218742
116.043965, 1320002.626437, 1844945142
116.059077, 1325002.090698, 200701080
116.041625, 1330000.278352, 534526552
116.030674, 1335003.683143, 1504704028
116.075228, 1340016.263673, 904266411
116.055149, 1345001.688307, 1996655514
116.055593, 1350001.290641, 173787458
116.012480, 1355000.535658, 2054565083
116.000514, 1360001.726005, 939249564
115.995680, 1365000.122999, 1030219481
115.987209, 1370008.244750, 993957156
115.949080, 1375000.070151, 1538767823
115.958564, 1380001.792089, 660143816
115.985898, 1385001.621438, 1835098437
115.953892, 1390001.908929, 1775126068
115.969935, 1395001.849237, 455563857
115.957511, 1400001.268376, 958520056
115.943207, 1405008.661340, 1636180526
115.909677, 1410001.257587, 2098374065
115.913075, 1415000.385821, 1175779969
115.913375, 1420001.203540, 2006596482
115.915919, 1425005.744253, 1735610961
115.926465, 1430001.983444, 554017002
115.912862, 1435000.576909, 506732340
115.908986, 1440001.699811, 1343537757
115.921810, 1445003.972616, 1201692495
115.904664, 1450002.470315, 798968843
115.935504, 1455001.884496, 693303745
115.946666, 1460000.404607, 1302402269
115.939265, 1465007.456941, 325158844
115.921459, 1470001.303127, 802811873
115.910234, 1475000.603020, 899487666
115.889367, 1480007.326749, 1545494430
115.877378, 1485006.075838, 306027252
115.837782, 1490000.788825, 253989970
115.795045, 1495002.375433, 1904604813
115.800108, 1500008.700951, 1055298870
115.799025, 1505000.658248, 1265723034
115.837266, 1510000.941855, 860065011
115.848615, 1515005.027434, 1185989344
115.853275, 1520001.539869, 626920171
115.853499, 1525007.344156, 1312470810
115.872604, 1530000.136591, 264533342
115.861339, 1535002.442998, 2008702565
115.865618, 1540004.248730, 1212557714
115.855522, 1545004.002763, 1417273769
115.848201, 1550000.100067, 1784585379
115.842148, 1555005.975504, 1837419946
115.828852, 1560000.271924, 830056410
115.828108, 1565004.938419, 1108874492
115.824635, 1570001.053885, 2001186573
115.828393, 1575004.235901, 1403456652
115.853028, 1580000.639686, 377466192
115.864375, 1585000.430058, 1762372356
115.856031, 1590005.173514, 248247643
115.825594, 1595005.357887, 1691606197
115.797937, 1600000.810474, 209518562
115.818412, 1605005.243962, 1451608837
115.787040, 1610000.491235, 889350397
115.841815, 1615002.993108, 1041525434
115.848249, 1620000.313312, 529225861
115.851648, 1625000.748084, 813729681
115.899754, 1630007.983691, 2007336523
115.868286, 1635000.962884, 164982553
115.864812, 1640001.399389, 1466190212
115.885542, 1645004.150568, 1803022914
115.881068, 1650002.929184, 1329233464
115.899984, 1655004.432262, 1572692656
115.878893, 1660006.580408, 278559816
115.871208, 1665002.323681, 1976601566
115.862916, 1670000.620685, 534659942
115.861475, 1675005.860653, 2036147893
115.861453, 1680002.681447, 1153050121
115.894784, 1685002.721044, 846404659
115.863560, 1690000.680638, 1541332255
115.851637, 1695002.956431, 68160937
115.882338, 1700000.824883, 1999027757
115.909267, 1705001.717685, 1768824464
115.949315, 1710006.789817, 1626316699
115.940046, 1715010.059287, 1661933809
115.908657, 1720001.813059, 502747363
115.887384, 1725000.498405, 1249849451
115.878244, 1730002.588752, 965340069
115.874152, 1735000.561100, 304010673
115.920374, 1740000.136567, 1441053829
115.919731, 1745011.934830, 2076920970
115.936065, 1750001.033079, 208595954
115.992926, 1755002.330407, 651646062
115.995774, 1760004.497161, 133766626
115.989642, 1765015.257921, 1840467885
115.976607, 1770001.398066, 1649954724
115.983601, 1775000.261989, 2125644343
115.987849, 1780000.018164, 253127315
115.984995, 1785000.400331, 1451386490
116.007676, 1790000.543012, 639655805
116.000212, 1795004.238989, 513929043
116.006042, 1800007.328412, 1010249755
115.992317, 1805006.709933, 439332929
115.948201, 1810002.565421, 74384721
115.932010, 1815000.878892, 374432234
115.946159, 1820012.165459, 1301869054
115.934184, 1825006.306395, 697959130
115.902176, 1830000.131160, 459944740
115.918788, 1835002.123547, 272144301
