response time (ms), current time, seed 
115.710654 , 3599992.238327, 1369632573.000000
115.705461 , 3599976.207649, 1909556579.000000
115.709685 , 3599969.953005, 2045878361.000000
116.155958 , 3599983.611560, 2093774023.000000
115.793364 , 3599928.655724, 2136999415.000000
115.910542 , 3599985.867641, 1755407527.000000
115.354845 , 3599978.615007, 1638148530.000000
115.712717 , 3599990.633337, 1356368111.000000
115.866734 , 3599996.180483, 703780519.000000
116.074057 , 3599997.060632, 463236496.000000
115.630493 , 3599988.665551, 1303448249.000000
115.562335 , 3599993.573874, 1093875151.000000
115.931533 , 3599999.405419, 1215204488.000000
115.625704 , 3599995.269120, 1164612042.000000
115.722244 , 3599997.610494, 1541361930.000000
115.841579 , 3599973.005884, 2015955329.000000
115.490330 , 3599998.304256, 1875327838.000000
115.679778 , 3599934.602294, 2114930623.000000
115.212092 , 3599965.656855, 2104559189.000000
115.835399 , 3599998.487147, 1000968093.000000
115.425823 , 3599992.382488, 1873417589.000000
116.070781 , 3599981.259352, 1502122847.000000
116.066800 , 3599956.674670, 2143432668.000000
115.800970 , 3599996.687237, 602146248.000000
115.716008 , 3599986.824002, 1629575076.000000
115.814004 , 3599969.989637, 2147153618.000000
115.514234 , 3599996.251790, 1091720617.000000
116.120548 , 3599998.385954, 1402257599.000000
115.876439 , 3599979.303970, 1675128319.000000
115.839196 , 3599997.976748, 1932284049.000000
115.757518 , 3599999.143485, 730693368.000000
115.405795 , 3599962.721561, 2036404338.000000
115.757549 , 3599999.486921, 273872932.000000
115.430100 , 3599994.376065, 1617862060.000000
115.429228 , 3599981.335552, 1825007207.000000
115.684551 , 3599991.599188, 1648464826.000000
115.362418 , 3599993.556040, 1159283328.000000
115.254014 , 3599992.498308, 1952945607.000000
115.593482 , 3599997.125058, 613360231.000000
115.627756 , 3599992.407773, 1794956545.000000
116.060381 , 3599968.575266, 2088713708.000000
115.734836 , 3599993.044745, 2143244166.000000
115.814736 , 3599998.452082, 945875211.000000
115.639358 , 3599970.623796, 2094947559.000000
115.799004 , 3599997.028275, 748318099.000000
115.481806 , 3599982.307486, 1743740195.000000
115.660992 , 3599953.907827, 2132728451.000000
115.785507 , 3599996.564985, 795744585.000000
115.785356 , 3599983.152086, 1438890860.000000
115.328917 , 3599982.765252, 1778493954.000000
115.808789 , 3599953.445679, 2116744983.000000
115.365536 , 3599990.852831, 1461402518.000000
115.167763 , 3599989.668015, 1819925808.000000
116.073361 , 3599998.438998, 779398899.000000
115.072575 , 3599985.759884, 1896554281.000000
116.033485 , 3599987.699139, 1621977897.000000
115.775555 , 3599988.027755, 1636027054.000000
116.044116 , 3599987.573170, 1291472940.000000
115.805351 , 3599988.580935, 2000617855.000000
115.138247 , 3599990.775071, 2018738804.000000
114.958243 , 3599992.008684, 1781160129.000000
116.309012 , 3599989.029915, 1410322276.000000
115.889030 , 3599993.651719, 808662567.000000
115.642492 , 3599995.672623, 1364890414.000000
115.598205 , 3599981.279170, 1547586227.000000
116.043611 , 3599971.328228, 2076734286.000000
115.537837 , 3599991.472341, 2093973961.000000
115.820158 , 3599992.015470, 1475653103.000000
115.878013 , 3599980.427713, 1801958433.000000
115.435386 , 3599971.640440, 1837145510.000000
115.919728 , 3599992.020487, 1248124719.000000
115.885676 , 3599987.485471, 1175139205.000000
115.619637 , 3599948.470160, 2096826562.000000
115.923373 , 3599994.042508, 1587926556.000000
115.462787 , 3599972.919625, 1853895988.000000
115.435582 , 3599992.590761, 1696128620.000000
115.256430 , 3599997.821025, 1693179421.000000
115.644227 , 3599979.634589, 1645403471.000000
116.294033 , 3599999.965325, 178064819.000000
115.741127 , 3599980.308016, 1574982100.000000
115.780857 , 3599969.903171, 1916338183.000000
115.780655 , 3599999.467421, 1045439426.000000
115.882957 , 3599991.756026, 1328424408.000000
114.900559 , 3599933.215665, 2141313667.000000
115.916475 , 3599989.747401, 1549626928.000000
115.455136 , 3599997.267433, 573868986.000000
115.795293 , 3599978.688069, 1621881388.000000
115.883754 , 3599972.503444, 1812545269.000000
116.035911 , 3599996.407196, 523184163.000000
115.388033 , 3599990.874022, 1831199429.000000
115.644371 , 3599981.361139, 1889933965.000000
115.687031 , 3599968.157625, 1977040127.000000
115.489212 , 3599997.050308, 1786409977.000000
115.503218 , 3599936.333349, 2129453493.000000
115.733078 , 3599994.803049, 607963111.000000
115.802354 , 3599984.535344, 2101934314.000000
115.667556 , 3599997.491278, 1400931191.000000
115.845601 , 3599957.830358, 2014939726.000000
115.622016 , 3599977.197793, 2110885242.000000
114.919878 , 3599973.321373, 1814949497.000000
115.492280 , 3599987.552960, 1407176619.000000
115.544755 , 3599991.073151, 1536503213.000000
115.774915 , 3599999.771922, 1525582475.000000
115.833277 , 3599997.678231, 1150618573.000000
115.617302 , 3599961.721647, 1987040144.000000
115.465470 , 3599985.882041, 2005922627.000000
115.884382 , 3599993.282681, 1127523564.000000
116.038957 , 3599997.869558, 1750814130.000000
115.459107 , 3599984.568716, 2070715972.000000
115.820827 , 3599985.713794, 1351658880.000000
116.075548 , 3599971.544273, 2008576091.000000
115.922849 , 3599976.582595, 2042308564.000000
