arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 209135.000000 , 209135.000000 , 0.000000 , 17.213724 , 9.965955 , 0.000000 , 9.966001 , 0.058093 , 0.100341 , 0.058093 , 0.930904 , 0.578957 , 0.000000 
 209925.000000 , 209925.000000 , 0.000000 , 17.148868 , 10.019923 , 0.000000 , 10.020076 , 0.058313 , 0.099800 , 0.058313 , 0.931299 , 0.584300 , 0.000000 
 209404.000000 , 209404.000000 , 0.000000 , 17.191505 , 10.009499 , 0.000000 , 10.009586 , 0.058168 , 0.099904 , 0.058168 , 0.932541 , 0.582240 , 0.000000 
 209810.000000 , 209810.000000 , 0.000000 , 17.158303 , 9.995742 , 0.000000 , 9.995742 , 0.058281 , 0.100043 , 0.058281 , 0.932302 , 0.582560 , 0.000000 
 209423.000000 , 209423.000000 , 0.000000 , 17.189748 , 9.975327 , 0.000000 , 9.975438 , 0.058174 , 0.100246 , 0.058174 , 0.931502 , 0.580313 , 0.000000 
 210286.000000 , 210286.000000 , 0.000000 , 17.119475 , 9.993613 , 0.000000 , 9.993613 , 0.058413 , 0.100064 , 0.058413 , 0.932942 , 0.583757 , 0.000000 
 209798.000000 , 209798.000000 , 0.000000 , 17.159261 , 9.992957 , 0.000000 , 9.993057 , 0.058278 , 0.100069 , 0.058278 , 0.932373 , 0.582371 , 0.000000 
 210189.000000 , 210189.000000 , 0.000000 , 17.127398 , 9.977285 , 0.000000 , 9.977285 , 0.058386 , 0.100228 , 0.058386 , 0.931854 , 0.582534 , 0.000000 
 209075.000000 , 209075.000000 , 0.000000 , 17.218683 , 10.000763 , 0.000000 , 10.000828 , 0.058076 , 0.099992 , 0.058076 , 0.933871 , 0.580813 , 0.000000 
 209772.000000 , 209772.000000 , 0.000000 , 17.161476 , 10.017590 , 0.000000 , 10.017628 , 0.058270 , 0.099824 , 0.058270 , 0.931165 , 0.583728 , 0.000000 
 209279.000000 , 209279.000000 , 0.000000 , 17.201863 , 10.003608 , 0.000000 , 10.003608 , 0.058133 , 0.099964 , 0.058133 , 0.931860 , 0.581542 , 0.000000 
 209270.000000 , 209270.000000 , 0.000000 , 17.202626 , 10.013422 , 0.000000 , 10.013422 , 0.058131 , 0.099866 , 0.058131 , 0.931617 , 0.582087 , 0.000000 
 209408.000000 , 209408.000000 , 0.000000 , 17.191317 , 9.999396 , 0.000000 , 9.999419 , 0.058169 , 0.100006 , 0.058169 , 0.932534 , 0.581655 , 0.000000 
 210292.000000 , 210292.000000 , 0.000000 , 17.119031 , 10.009677 , 0.000000 , 10.009727 , 0.058415 , 0.099903 , 0.058415 , 0.931869 , 0.584713 , 0.000000 
 209764.000000 , 209764.000000 , 0.000000 , 17.162133 , 10.005830 , 0.000000 , 10.005848 , 0.058268 , 0.099942 , 0.058268 , 0.932550 , 0.583019 , 0.000000 
