arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224658.000000 , 224658.000000 , 0.000000 , 16.024322 , 19.282972 , 4.227796 , 15.055181 , 0.062405 , 0.066422 , 0.062405 , 1.000000 , 0.469760 , 0.000000 
 225411.000000 , 225411.000000 , 0.000000 , 15.970721 , 19.338994 , 4.295725 , 15.043394 , 0.062615 , 0.066474 , 0.062615 , 1.000000 , 0.470968 , 0.000000 
 224552.000000 , 224552.000000 , 0.000000 , 16.031788 , 19.260940 , 4.243563 , 15.017602 , 0.062376 , 0.066589 , 0.062376 , 1.000000 , 0.468370 , 0.000000 
 225045.000000 , 225045.000000 , 0.000000 , 15.996728 , 19.220907 , 4.202043 , 15.018992 , 0.062513 , 0.066582 , 0.062513 , 1.000000 , 0.469440 , 0.000000 
 224823.000000 , 224823.000000 , 0.000000 , 16.012279 , 19.193633 , 4.223961 , 14.969897 , 0.062452 , 0.066801 , 0.062452 , 1.000000 , 0.467451 , 0.000000 
 225401.000000 , 225401.000000 , 0.000000 , 15.971472 , 19.186918 , 4.228708 , 14.958293 , 0.062612 , 0.066853 , 0.062612 , 1.000000 , 0.468282 , 0.000000 
 225015.000000 , 225015.000000 , 2.000000 , 15.998838 , 19.222404 , 4.253691 , 14.968796 , 0.062505 , 0.066806 , 0.062505 , 1.000000 , 0.467809 , 0.000000 
 225560.000000 , 225560.000000 , 0.000000 , 15.960235 , 19.168492 , 4.248550 , 14.920010 , 0.062656 , 0.067024 , 0.062656 , 1.000000 , 0.467412 , 0.000000 
 223880.000000 , 223880.000000 , 0.000000 , 16.080026 , 19.234481 , 4.208671 , 15.025968 , 0.062189 , 0.066551 , 0.062189 , 1.000000 , 0.467225 , 0.000000 
 225279.000000 , 225279.000000 , 0.000000 , 15.980172 , 19.307387 , 4.290809 , 15.016827 , 0.062578 , 0.066592 , 0.062578 , 1.000000 , 0.469858 , 0.000000 
 224582.000000 , 224582.000000 , 3.000000 , 16.029729 , 19.107350 , 4.129975 , 14.977474 , 0.062384 , 0.066767 , 0.062384 , 1.000000 , 0.467178 , 0.000000 
 224631.000000 , 224631.000000 , 0.000000 , 16.026254 , 19.258024 , 4.236955 , 15.021124 , 0.062398 , 0.066573 , 0.062398 , 1.000000 , 0.468641 , 0.000000 
 224558.000000 , 224558.000000 , 0.000000 , 16.031490 , 19.152887 , 4.152107 , 15.000926 , 0.062377 , 0.066663 , 0.062377 , 1.000000 , 0.467858 , 0.000000 
 225667.000000 , 225667.000000 , 1.000000 , 15.952688 , 19.236725 , 4.259078 , 14.977903 , 0.062685 , 0.066765 , 0.062685 , 1.000000 , 0.469448 , 0.000000 
 224936.000000 , 224936.000000 , 2.000000 , 16.004542 , 19.298689 , 4.255776 , 15.042933 , 0.062482 , 0.066476 , 0.062482 , 1.000000 , 0.469958 , 0.000000 
 225929.000000 , 225929.000000 , 0.000000 , 15.934090 , 19.193496 , 4.218633 , 14.975095 , 0.062759 , 0.066778 , 0.062759 , 1.000000 , 0.469907 , 0.000000 
 225388.000000 , 225388.000000 , 0.000000 , 15.972449 , 19.309223 , 4.276359 , 15.032886 , 0.062608 , 0.066521 , 0.062608 , 1.000000 , 0.470588 , 0.000000 
 224778.000000 , 224778.000000 , 1.000000 , 16.015511 , 19.192848 , 4.196655 , 14.996241 , 0.062439 , 0.066683 , 0.062439 , 1.000000 , 0.468179 , 0.000000 
 225297.000000 , 225297.000000 , 4.000000 , 15.978755 , 19.173490 , 4.217409 , 14.956174 , 0.062583 , 0.066862 , 0.062583 , 1.000000 , 0.468002 , 0.000000 
 224221.000000 , 224221.000000 , 0.000000 , 16.055581 , 19.161977 , 4.131358 , 15.030641 , 0.062284 , 0.066531 , 0.062284 , 1.000000 , 0.468081 , 0.000000 
 225072.000000 , 225072.000000 , 0.000000 , 15.994848 , 19.253474 , 4.229863 , 15.023623 , 0.062520 , 0.066562 , 0.062520 , 1.000000 , 0.469639 , 0.000000 
 224883.000000 , 224883.000000 , 3.000000 , 16.008241 , 19.392168 , 4.347159 , 15.045140 , 0.062468 , 0.066467 , 0.062468 , 1.000000 , 0.469919 , 0.000000 
 225442.000000 , 225442.000000 , 1.000000 , 15.968438 , 19.145491 , 4.141727 , 15.003902 , 0.062624 , 0.066649 , 0.062624 , 1.000000 , 0.469799 , 0.000000 
 224348.000000 , 224348.000000 , 0.000000 , 16.046484 , 19.150702 , 4.139667 , 15.011047 , 0.062319 , 0.066618 , 0.062319 , 1.000000 , 0.467736 , 0.000000 
 224800.000000 , 224800.000000 , 0.000000 , 16.014176 , 19.134045 , 4.148277 , 14.985910 , 0.062445 , 0.066729 , 0.062445 , 1.000000 , 0.467895 , 0.000000 
 224908.000000 , 224908.000000 , 2.000000 , 16.006411 , 19.164631 , 4.172290 , 14.992547 , 0.062475 , 0.066700 , 0.062475 , 1.000000 , 0.468329 , 0.000000 
 224827.000000 , 224827.000000 , 0.000000 , 16.012295 , 19.200357 , 4.184928 , 15.015452 , 0.062452 , 0.066598 , 0.062452 , 1.000000 , 0.468873 , 0.000000 
 225993.000000 , 225993.000000 , 2.000000 , 15.929690 , 19.335542 , 4.314734 , 15.020968 , 0.062776 , 0.066574 , 0.062776 , 1.000000 , 0.471477 , 0.000000 
 226012.000000 , 226012.000000 , 0.000000 , 15.928266 , 19.270527 , 4.263371 , 15.007206 , 0.062781 , 0.066635 , 0.062781 , 1.000000 , 0.471087 , 0.000000 
 225134.000000 , 225134.000000 , 0.000000 , 15.990468 , 19.255143 , 4.291154 , 14.964088 , 0.062537 , 0.066827 , 0.062537 , 1.000000 , 0.467907 , 0.000000 
 226231.000000 , 226231.000000 , 0.000000 , 15.912935 , 19.332919 , 4.308954 , 15.024035 , 0.062842 , 0.066560 , 0.062842 , 1.000000 , 0.472070 , 0.000000 
 224965.000000 , 224965.000000 , 5.000000 , 16.002324 , 19.132413 , 4.159387 , 14.973043 , 0.062491 , 0.066787 , 0.062491 , 1.000000 , 0.467840 , 0.000000 
 224956.000000 , 224956.000000 , 0.000000 , 16.003127 , 19.277820 , 4.267824 , 15.010177 , 0.062488 , 0.066621 , 0.062488 , 1.000000 , 0.468976 , 0.000000 
 224798.000000 , 224798.000000 , 0.000000 , 16.014352 , 19.125166 , 4.151819 , 14.973443 , 0.062444 , 0.066785 , 0.062444 , 1.000000 , 0.467501 , 0.000000 
 224553.000000 , 224553.000000 , 0.000000 , 16.031767 , 19.344602 , 4.299222 , 15.045434 , 0.062376 , 0.066465 , 0.062376 , 1.000000 , 0.469238 , 0.000000 
 225106.000000 , 225106.000000 , 0.000000 , 15.992428 , 19.185429 , 4.186975 , 14.998652 , 0.062530 , 0.066673 , 0.062530 , 1.000000 , 0.468930 , 0.000000 
 225077.000000 , 225077.000000 , 0.000000 , 15.994498 , 19.236663 , 4.226027 , 15.010738 , 0.062522 , 0.066619 , 0.062522 , 1.000000 , 0.469247 , 0.000000 
 224866.000000 , 224866.000000 , 0.000000 , 16.009501 , 19.020815 , 4.135507 , 14.885328 , 0.062463 , 0.067180 , 0.062463 , 1.000000 , 0.464890 , 0.000000 
 225019.000000 , 225019.000000 , 1.000000 , 15.998636 , 19.167945 , 4.201285 , 14.966826 , 0.062505 , 0.066814 , 0.062505 , 1.000000 , 0.467753 , 0.000000 
 224467.000000 , 224467.000000 , 0.000000 , 16.037958 , 19.166644 , 4.137847 , 15.028865 , 0.062352 , 0.066539 , 0.062352 , 1.000000 , 0.468540 , 0.000000 
 224579.000000 , 224579.000000 , 0.000000 , 16.029854 , 19.320721 , 4.271417 , 15.049404 , 0.062384 , 0.066448 , 0.062384 , 1.000000 , 0.469418 , 0.000000 
 224897.000000 , 224897.000000 , 0.000000 , 16.007297 , 19.176816 , 4.207183 , 14.970064 , 0.062472 , 0.066800 , 0.062472 , 1.000000 , 0.467601 , 0.000000 
 224874.000000 , 224874.000000 , 0.000000 , 16.008958 , 19.220303 , 4.219047 , 15.001264 , 0.062465 , 0.066661 , 0.062465 , 1.000000 , 0.468527 , 0.000000 
 226450.000000 , 226450.000000 , 0.000000 , 15.897419 , 19.403903 , 4.398998 , 15.004922 , 0.062903 , 0.066645 , 0.062903 , 1.000000 , 0.471929 , 0.000000 
 224499.000000 , 224499.000000 , 1.000000 , 16.035693 , 19.268988 , 4.258060 , 15.011082 , 0.062361 , 0.066617 , 0.062361 , 1.000000 , 0.468052 , 0.000000 
 224684.000000 , 224684.000000 , 3.000000 , 16.022424 , 19.251280 , 4.259408 , 14.992101 , 0.062413 , 0.066702 , 0.062413 , 1.000000 , 0.467847 , 0.000000 
 226000.000000 , 226000.000000 , 0.000000 , 15.929000 , 19.127367 , 4.194574 , 14.932873 , 0.062779 , 0.066966 , 0.062779 , 1.000000 , 0.468732 , 0.000000 
 225545.000000 , 225545.000000 , 0.000000 , 15.961323 , 19.276304 , 4.276418 , 14.999995 , 0.062651 , 0.066667 , 0.062651 , 1.000000 , 0.469886 , 0.000000 
 225302.000000 , 225302.000000 , 0.000000 , 15.978478 , 19.228450 , 4.260202 , 14.968380 , 0.062584 , 0.066807 , 0.062584 , 1.000000 , 0.468392 , 0.000000 
 224833.000000 , 224833.000000 , 0.000000 , 16.011808 , 19.107052 , 4.137015 , 14.970044 , 0.062454 , 0.066800 , 0.062454 , 1.000000 , 0.467469 , 0.000000 
 225123.000000 , 225123.000000 , 3.000000 , 15.991051 , 19.110816 , 4.150007 , 14.960977 , 0.062535 , 0.066841 , 0.062535 , 1.000000 , 0.467792 , 0.000000 
 224654.000000 , 224654.000000 , 5.000000 , 16.024602 , 19.216014 , 4.222223 , 14.993993 , 0.062404 , 0.066693 , 0.062404 , 1.000000 , 0.467843 , 0.000000 
 224968.000000 , 224968.000000 , 0.000000 , 16.002230 , 19.199235 , 4.237968 , 14.961286 , 0.062491 , 0.066839 , 0.062491 , 1.000000 , 0.467475 , 0.000000 
 224710.000000 , 224710.000000 , 2.000000 , 16.020642 , 19.296538 , 4.247870 , 15.048702 , 0.062419 , 0.066451 , 0.062419 , 1.000000 , 0.469666 , 0.000000 
 224978.000000 , 224978.000000 , 1.000000 , 16.001501 , 19.130886 , 4.186513 , 14.944794 , 0.062494 , 0.066913 , 0.062494 , 1.000000 , 0.466981 , 0.000000 
 225380.000000 , 225380.000000 , 0.000000 , 15.972969 , 19.189312 , 4.194861 , 14.994631 , 0.062606 , 0.066691 , 0.062606 , 1.000000 , 0.469375 , 0.000000 
 224914.000000 , 224914.000000 , 0.000000 , 16.006065 , 19.144048 , 4.179842 , 14.964364 , 0.062476 , 0.066825 , 0.062476 , 1.000000 , 0.467459 , 0.000000 
 224869.000000 , 224869.000000 , 0.000000 , 16.009266 , 19.208005 , 4.213576 , 14.994624 , 0.062464 , 0.066691 , 0.062464 , 1.000000 , 0.468311 , 0.000000 
 224758.000000 , 224758.000000 , 2.000000 , 16.017177 , 19.300454 , 4.230515 , 15.070089 , 0.062433 , 0.066357 , 0.062433 , 1.000000 , 0.470435 , 0.000000 
 224255.000000 , 224255.000000 , 0.000000 , 16.053113 , 19.168397 , 4.146634 , 15.021901 , 0.062293 , 0.066569 , 0.062293 , 1.000000 , 0.467881 , 0.000000 
 225010.000000 , 225010.000000 , 0.000000 , 15.999253 , 19.217593 , 4.208232 , 15.009517 , 0.062503 , 0.066624 , 0.062503 , 1.000000 , 0.469069 , 0.000000 
 225510.000000 , 225510.000000 , 0.000000 , 15.963767 , 19.343230 , 4.271658 , 15.071792 , 0.062642 , 0.066349 , 0.062642 , 1.000000 , 0.472063 , 0.000000 
 224774.000000 , 224774.000000 , 0.000000 , 16.016059 , 19.228075 , 4.225217 , 15.002860 , 0.062437 , 0.066654 , 0.062437 , 1.000000 , 0.468369 , 0.000000 
 224826.000000 , 224826.000000 , 0.000000 , 16.012364 , 19.307645 , 4.267702 , 15.039984 , 0.062452 , 0.066489 , 0.062452 , 1.000000 , 0.469637 , 0.000000 
 224675.000000 , 224675.000000 , 0.000000 , 16.023061 , 19.246202 , 4.236991 , 15.009240 , 0.062410 , 0.066626 , 0.062410 , 1.000000 , 0.468364 , 0.000000 
 224798.000000 , 224798.000000 , 1.000000 , 16.014250 , 19.404969 , 4.337362 , 15.067746 , 0.062444 , 0.066367 , 0.062444 , 1.000000 , 0.470448 , 0.000000 
 224694.000000 , 224694.000000 , 0.000000 , 16.021752 , 19.191146 , 4.185097 , 15.006091 , 0.062415 , 0.066640 , 0.062415 , 1.000000 , 0.468304 , 0.000000 
 225469.000000 , 225469.000000 , 0.000000 , 15.966683 , 19.222686 , 4.280285 , 14.942637 , 0.062630 , 0.066923 , 0.062630 , 1.000000 , 0.467932 , 0.000000 
