arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 209138.000000 , 209138.000000 , 0.000000 , 17.213477 , 38.140820 , 3.115691 , 35.025596 , 0.058094 , 0.028551 , 0.058094 , 0.930917 , 0.508694 , 0.000000 
 209926.000000 , 209926.000000 , 0.000000 , 17.148787 , 38.203919 , 3.059998 , 35.144069 , 0.058313 , 0.028454 , 0.058313 , 0.931303 , 0.512340 , 0.000000 
 209404.000000 , 209404.000000 , 0.000000 , 17.191505 , 38.063969 , 3.028739 , 35.035230 , 0.058168 , 0.028543 , 0.058168 , 0.932541 , 0.509485 , 0.000000 
 209814.000000 , 209814.000000 , 0.000000 , 17.157976 , 38.338193 , 3.154482 , 35.184032 , 0.058282 , 0.028422 , 0.058282 , 0.932320 , 0.512648 , 0.000000 
 209427.000000 , 209427.000000 , 0.000000 , 17.189420 , 37.922776 , 3.006192 , 34.917373 , 0.058175 , 0.028639 , 0.058175 , 0.931519 , 0.507832 , 0.000000 
 210287.000000 , 210287.000000 , 0.000000 , 17.119393 , 38.074644 , 3.014362 , 35.060287 , 0.058413 , 0.028522 , 0.058413 , 0.932946 , 0.511997 , 0.000000 
 209802.000000 , 209802.000000 , 0.000000 , 17.158934 , 37.892436 , 3.050272 , 34.842663 , 0.058279 , 0.028700 , 0.058279 , 0.932391 , 0.507646 , 0.000000 
 210191.000000 , 210191.000000 , 0.000000 , 17.127235 , 38.104472 , 3.075258 , 35.029785 , 0.058387 , 0.028547 , 0.058387 , 0.931863 , 0.511317 , 0.000000 
 209075.000000 , 209075.000000 , 0.000000 , 17.218683 , 38.020090 , 3.039360 , 34.980730 , 0.058076 , 0.028587 , 0.058076 , 0.933871 , 0.507889 , 0.000000 
 209780.000000 , 209780.000000 , 4.000000 , 17.160821 , 38.065609 , 3.102199 , 34.964217 , 0.058272 , 0.028601 , 0.058272 , 0.931201 , 0.509361 , 0.000000 
 209281.000000 , 209281.000000 , 0.000000 , 17.201699 , 38.094519 , 3.090052 , 35.004789 , 0.058134 , 0.028568 , 0.058134 , 0.931869 , 0.508740 , 0.000000 
 209271.000000 , 209271.000000 , 0.000000 , 17.202544 , 37.971214 , 3.029955 , 34.941296 , 0.058131 , 0.028619 , 0.058131 , 0.931621 , 0.507793 , 0.000000 
 209409.000000 , 209409.000000 , 0.000000 , 17.191235 , 38.144988 , 3.101623 , 35.043427 , 0.058169 , 0.028536 , 0.058169 , 0.932539 , 0.509612 , 0.000000 
 210294.000000 , 210294.000000 , 0.000000 , 17.118868 , 37.938067 , 2.975510 , 34.963623 , 0.058415 , 0.028601 , 0.058415 , 0.931878 , 0.510601 , 0.000000 
 209766.000000 , 209766.000000 , 0.000000 , 17.161969 , 38.004914 , 3.027413 , 34.977547 , 0.058268 , 0.028590 , 0.058268 , 0.932559 , 0.509521 , 0.000000 
 210313.000000 , 210313.000000 , 0.000000 , 17.117216 , 38.056321 , 3.046336 , 35.010214 , 0.058421 , 0.028563 , 0.058421 , 0.930881 , 0.511330 , 0.000000 
 209728.000000 , 209728.000000 , 3.000000 , 17.165082 , 37.855073 , 2.890986 , 34.964512 , 0.058258 , 0.028600 , 0.058258 , 0.930520 , 0.509239 , 0.000000 
 209424.000000 , 209424.000000 , 0.000000 , 17.189695 , 38.076575 , 3.003987 , 35.072889 , 0.058174 , 0.028512 , 0.058174 , 0.931693 , 0.510086 , 0.000000 
 209776.000000 , 209776.000000 , 0.000000 , 17.160999 , 38.066198 , 3.046238 , 35.020371 , 0.058272 , 0.028555 , 0.058272 , 0.931109 , 0.510174 , 0.000000 
 209110.000000 , 209110.000000 , 0.000000 , 17.215812 , 38.267483 , 3.102233 , 35.165710 , 0.058086 , 0.028437 , 0.058086 , 0.932607 , 0.510660 , 0.000000 
 209549.000000 , 209549.000000 , 0.000000 , 17.179716 , 37.966388 , 3.051484 , 34.915431 , 0.058208 , 0.028641 , 0.058208 , 0.931031 , 0.508091 , 0.000000 
 209731.000000 , 209731.000000 , 0.000000 , 17.164755 , 38.188350 , 3.125772 , 35.062944 , 0.058259 , 0.028520 , 0.058259 , 0.932623 , 0.510682 , 0.000000 
 210129.000000 , 210129.000000 , 0.000000 , 17.132127 , 38.200015 , 3.181046 , 35.019612 , 0.058370 , 0.028555 , 0.058370 , 0.932076 , 0.511023 , 0.000000 
 209410.000000 , 209410.000000 , 0.000000 , 17.191140 , 38.141514 , 3.108283 , 35.033230 , 0.058169 , 0.028544 , 0.058169 , 0.933416 , 0.509466 , 0.000000 
 209428.000000 , 209428.000000 , 0.000000 , 17.189616 , 38.263999 , 3.177821 , 35.086310 , 0.058175 , 0.028501 , 0.058175 , 0.931619 , 0.510284 , 0.000000 
 209472.000000 , 209472.000000 , 0.000000 , 17.185925 , 38.156813 , 3.145177 , 35.012122 , 0.058187 , 0.028562 , 0.058187 , 0.931367 , 0.509314 , 0.000000 
 209544.000000 , 209544.000000 , 2.000000 , 17.180145 , 38.016392 , 3.010012 , 35.006771 , 0.058207 , 0.028566 , 0.058207 , 0.932023 , 0.509407 , 0.000000 
 210611.000000 , 210611.000000 , 0.000000 , 17.093117 , 38.162506 , 3.069487 , 35.093526 , 0.058503 , 0.028495 , 0.058503 , 0.931936 , 0.513270 , 0.000000 
 210518.000000 , 210518.000000 , 0.000000 , 17.100577 , 38.107421 , 3.088864 , 35.018726 , 0.058478 , 0.028556 , 0.058478 , 0.931446 , 0.511952 , 0.000000 
 209970.000000 , 209970.000000 , 0.000000 , 17.145297 , 37.865663 , 3.054625 , 34.811038 , 0.058325 , 0.028727 , 0.058325 , 0.932645 , 0.507589 , 0.000000 
 210775.000000 , 210775.000000 , 0.000000 , 17.079820 , 37.832002 , 3.010909 , 34.821861 , 0.058549 , 0.028718 , 0.058549 , 0.931680 , 0.509693 , 0.000000 
 209782.000000 , 209782.000000 , 0.000000 , 17.160494 , 38.072074 , 3.059605 , 35.012469 , 0.058273 , 0.028561 , 0.058273 , 0.932510 , 0.510074 , 0.000000 
 209640.000000 , 209640.000000 , 0.000000 , 17.172293 , 37.912980 , 3.005479 , 34.907649 , 0.058233 , 0.028647 , 0.058233 , 0.931916 , 0.508197 , 0.000000 
 209542.000000 , 209542.000000 , 0.000000 , 17.180300 , 38.023848 , 3.067779 , 34.956221 , 0.058206 , 0.028607 , 0.058206 , 0.932135 , 0.508667 , 0.000000 
 209223.000000 , 209223.000000 , 0.000000 , 17.206432 , 37.828803 , 2.942971 , 34.886584 , 0.058118 , 0.028664 , 0.058118 , 0.931731 , 0.506883 , 0.000000 
 209981.000000 , 209981.000000 , 1.000000 , 17.144368 , 38.113019 , 3.064065 , 35.049786 , 0.058328 , 0.028531 , 0.058328 , 0.932809 , 0.511098 , 0.000000 
 209726.000000 , 209726.000000 , 0.000000 , 17.165223 , 38.197003 , 3.099111 , 35.098272 , 0.058257 , 0.028491 , 0.058257 , 0.931797 , 0.511183 , 0.000000 
 209809.000000 , 209809.000000 , 0.000000 , 17.158427 , 37.970548 , 3.021341 , 34.949322 , 0.058280 , 0.028613 , 0.058280 , 0.933040 , 0.509215 , 0.000000 
 209849.000000 , 209849.000000 , 0.000000 , 17.155179 , 37.980346 , 2.985640 , 34.994865 , 0.058291 , 0.028576 , 0.058291 , 0.932583 , 0.509975 , 0.000000 
 209279.000000 , 209279.000000 , 0.000000 , 17.201881 , 38.304502 , 3.151811 , 35.152894 , 0.058133 , 0.028447 , 0.058133 , 0.932337 , 0.510887 , 0.000000 
 209367.000000 , 209367.000000 , 0.000000 , 17.194537 , 38.204724 , 3.124792 , 35.080172 , 0.058158 , 0.028506 , 0.058158 , 0.932264 , 0.510048 , 0.000000 
