arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 89652.000000 , 89652.000000 , 0.000000 , 40.155180 , 52.542503 , 12.534022 , 40.008481 , 0.024903 , 0.024995 , 0.024903 , 0.399060 , 0.498173 , 0.000000 
 89679.000000 , 89679.000000 , 0.000000 , 40.142912 , 52.636935 , 12.644169 , 39.993256 , 0.024911 , 0.025004 , 0.024911 , 0.397847 , 0.498136 , 0.000000 
 90127.000000 , 90127.000000 , 0.000000 , 39.943302 , 52.517685 , 12.489545 , 40.028180 , 0.025035 , 0.024982 , 0.025035 , 0.401364 , 0.501062 , 0.000000 
 90051.000000 , 90051.000000 , 0.000000 , 39.977164 , 52.807374 , 12.795383 , 40.011991 , 0.025014 , 0.024993 , 0.025014 , 0.400147 , 0.500436 , 0.000000 
 90036.000000 , 90036.000000 , 0.000000 , 39.983214 , 53.424655 , 13.110980 , 40.314173 , 0.025010 , 0.024805 , 0.025010 , 0.400475 , 0.504139 , 0.000000 
 89505.000000 , 89505.000000 , 1.000000 , 40.221059 , 52.777530 , 12.720992 , 40.057597 , 0.024863 , 0.024964 , 0.024863 , 0.397092 , 0.497968 , 0.000000 
 89835.000000 , 89835.000000 , 0.000000 , 40.073230 , 52.385604 , 12.477889 , 39.907950 , 0.024954 , 0.025058 , 0.024954 , 0.399240 , 0.497938 , 0.000000 
 90140.000000 , 90140.000000 , 0.000000 , 39.937771 , 52.726720 , 12.730324 , 39.996396 , 0.025039 , 0.025002 , 0.025039 , 0.399628 , 0.500734 , 0.000000 
 89790.000000 , 89790.000000 , 0.000000 , 40.093509 , 52.452111 , 12.467844 , 39.984395 , 0.024942 , 0.025010 , 0.024942 , 0.401063 , 0.498639 , 0.000000 
 89906.000000 , 89906.000000 , 0.000000 , 40.041789 , 53.216639 , 13.005077 , 40.211562 , 0.024974 , 0.024868 , 0.024974 , 0.399087 , 0.502120 , 0.000000 
 89503.000000 , 89503.000000 , 0.000000 , 40.221989 , 52.546623 , 12.441979 , 40.104716 , 0.024862 , 0.024935 , 0.024862 , 0.398531 , 0.498542 , 0.000000 
