arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 90093.000000 , 74576.000000 , 0.000000 , 48.272799 , 29.071964 , 0.000000 , 35.121095 , 0.020716 , 0.028473 , 0.020716 , 0.331953 , 0.363777 , 0.000000 
 90266.000000 , 74789.000000 , 0.000000 , 48.135103 , 28.997034 , 0.000000 , 34.998570 , 0.020775 , 0.028573 , 0.020775 , 0.331789 , 0.363545 , 0.000000 
 89866.000000 , 74722.000000 , 0.000000 , 48.178180 , 29.022833 , 0.000000 , 34.904926 , 0.020756 , 0.028649 , 0.020756 , 0.332760 , 0.362248 , 0.000000 
 89783.000000 , 74558.000000 , 0.000000 , 48.284337 , 29.179562 , 0.000000 , 35.138129 , 0.020711 , 0.028459 , 0.020711 , 0.331303 , 0.363867 , 0.000000 
 90196.000000 , 74804.000000 , 0.000000 , 48.124815 , 29.124993 , 0.000000 , 35.117880 , 0.020779 , 0.028476 , 0.020779 , 0.332724 , 0.364862 , 0.000000 
 90308.000000 , 75199.000000 , 0.000000 , 47.872789 , 28.923999 , 0.000000 , 34.735415 , 0.020889 , 0.028789 , 0.020889 , 0.333623 , 0.362789 , 0.000000 
 90067.000000 , 74865.000000 , 0.000000 , 48.086270 , 29.057977 , 0.000000 , 34.959122 , 0.020796 , 0.028605 , 0.020796 , 0.332711 , 0.363504 , 0.000000 
 89918.000000 , 74550.000000 , 0.000000 , 48.289613 , 29.052273 , 0.000000 , 35.041212 , 0.020708 , 0.028538 , 0.020708 , 0.330511 , 0.362823 , 0.000000 
 89164.000000 , 74363.000000 , 0.000000 , 48.411121 , 29.171961 , 0.000000 , 34.978882 , 0.020656 , 0.028589 , 0.020656 , 0.332156 , 0.361269 , 0.000000 
 90287.000000 , 74793.000000 , 0.000000 , 48.132807 , 29.058565 , 0.000000 , 35.079354 , 0.020776 , 0.028507 , 0.020776 , 0.332002 , 0.364402 , 0.000000 
 90007.000000 , 74717.000000 , 0.000000 , 48.181654 , 29.219255 , 0.000000 , 35.198650 , 0.020755 , 0.028410 , 0.020755 , 0.332694 , 0.365270 , 0.000000 
 89842.000000 , 74486.000000 , 0.000000 , 48.331144 , 29.106758 , 0.000000 , 35.107395 , 0.020691 , 0.028484 , 0.020691 , 0.331593 , 0.363196 , 0.000000 
 89576.000000 , 74432.000000 , 0.000000 , 48.366286 , 29.198956 , 0.000000 , 35.139813 , 0.020676 , 0.028458 , 0.020676 , 0.331460 , 0.363268 , 0.000000 
 90423.000000 , 75054.000000 , 0.000000 , 47.965402 , 29.047496 , 0.000000 , 34.995626 , 0.020848 , 0.028575 , 0.020848 , 0.332587 , 0.364801 , 0.000000 
 90076.000000 , 74912.000000 , 0.000000 , 48.056354 , 29.094110 , 0.000000 , 34.983461 , 0.020809 , 0.028585 , 0.020809 , 0.333037 , 0.363984 , 0.000000 
 90617.000000 , 75006.000000 , 0.000000 , 47.995800 , 29.185299 , 0.000000 , 35.259926 , 0.020835 , 0.028361 , 0.020835 , 0.331989 , 0.367323 , 0.000000 
 90437.000000 , 74779.000000 , 0.000000 , 48.141835 , 29.100246 , 0.000000 , 35.193556 , 0.020772 , 0.028414 , 0.020772 , 0.331779 , 0.365519 , 0.000000 
 90054.000000 , 74709.000000 , 0.000000 , 48.186090 , 29.055342 , 0.000000 , 35.024024 , 0.020753 , 0.028552 , 0.020753 , 0.332368 , 0.363425 , 0.000000 
 90135.000000 , 74622.000000 , 0.000000 , 48.242685 , 29.124898 , 0.000000 , 35.181204 , 0.020729 , 0.028424 , 0.020729 , 0.331216 , 0.364627 , 0.000000 
 89473.000000 , 74366.000000 , 0.000000 , 48.409199 , 29.103941 , 0.000000 , 35.016229 , 0.020657 , 0.028558 , 0.020657 , 0.331664 , 0.361669 , 0.000000 
 90241.000000 , 74722.000000 , 0.000000 , 48.178480 , 29.040832 , 0.000000 , 35.072317 , 0.020756 , 0.028513 , 0.020756 , 0.331992 , 0.363983 , 0.000000 
 90124.000000 , 74980.000000 , 0.000000 , 48.012553 , 29.014575 , 0.000000 , 34.875627 , 0.020828 , 0.028673 , 0.020828 , 0.333418 , 0.363193 , 0.000000 
 90079.000000 , 74777.000000 , 0.000000 , 48.142566 , 29.023555 , 0.000000 , 34.963755 , 0.020772 , 0.028601 , 0.020772 , 0.331691 , 0.363127 , 0.000000 
 89775.000000 , 74842.000000 , 0.000000 , 48.101289 , 28.900036 , 0.000000 , 34.666373 , 0.020789 , 0.028846 , 0.020789 , 0.333598 , 0.360348 , 0.000000 
 90141.000000 , 74774.000000 , 0.000000 , 48.144901 , 29.259946 , 0.000000 , 35.273978 , 0.020771 , 0.028350 , 0.020771 , 0.332625 , 0.366331 , 0.000000 
 90288.000000 , 74860.000000 , 0.000000 , 48.089367 , 29.027119 , 0.000000 , 35.009358 , 0.020795 , 0.028564 , 0.020795 , 0.332847 , 0.364003 , 0.000000 
 90181.000000 , 74907.000000 , 0.000000 , 48.059544 , 29.091014 , 0.000000 , 35.023310 , 0.020808 , 0.028552 , 0.020808 , 0.333176 , 0.364374 , 0.000000 
 90488.000000 , 75113.000000 , 0.000000 , 47.927767 , 29.069848 , 0.000000 , 35.020674 , 0.020865 , 0.028555 , 0.020865 , 0.332369 , 0.365348 , 0.000000 
 90378.000000 , 74889.000000 , 0.000000 , 48.070869 , 29.035527 , 0.000000 , 35.041524 , 0.020803 , 0.028538 , 0.020803 , 0.331350 , 0.364478 , 0.000000 
 89757.000000 , 74596.000000 , 0.000000 , 48.259933 , 28.902061 , 0.000000 , 34.776158 , 0.020721 , 0.028755 , 0.020721 , 0.331340 , 0.360301 , 0.000000 
 90602.000000 , 75148.000000 , 0.000000 , 47.905455 , 29.009444 , 0.000000 , 34.975164 , 0.020874 , 0.028592 , 0.020874 , 0.332174 , 0.365044 , 0.000000 
 90033.000000 , 74862.000000 , 0.000000 , 48.087985 , 29.168940 , 0.000000 , 35.080590 , 0.020795 , 0.028506 , 0.020795 , 0.332772 , 0.364754 , 0.000000 
 90081.000000 , 74770.000000 , 0.000000 , 48.147646 , 29.065454 , 0.000000 , 35.017322 , 0.020769 , 0.028557 , 0.020769 , 0.332376 , 0.363645 , 0.000000 
 90125.000000 , 74876.000000 , 0.000000 , 48.079416 , 29.005421 , 0.000000 , 34.912569 , 0.020799 , 0.028643 , 0.020799 , 0.333081 , 0.363072 , 0.000000 
 89829.000000 , 74503.000000 , 0.000000 , 48.319951 , 29.087857 , 0.000000 , 35.071515 , 0.020695 , 0.028513 , 0.020695 , 0.331784 , 0.362909 , 0.000000 
 90036.000000 , 74917.000000 , 0.000000 , 48.053067 , 29.080000 , 0.000000 , 34.948985 , 0.020810 , 0.028613 , 0.020810 , 0.332808 , 0.363650 , 0.000000 
 90142.000000 , 74795.000000 , 0.000000 , 48.131473 , 28.989021 , 0.000000 , 34.937206 , 0.020776 , 0.028623 , 0.020776 , 0.332308 , 0.362935 , 0.000000 
 89739.000000 , 74686.000000 , 0.000000 , 48.201704 , 28.905563 , 0.000000 , 34.731588 , 0.020746 , 0.028792 , 0.020746 , 0.332136 , 0.360273 , 0.000000 
 89900.000000 , 74735.000000 , 0.000000 , 48.170163 , 29.114197 , 0.000000 , 35.022466 , 0.020760 , 0.028553 , 0.020760 , 0.332128 , 0.363529 , 0.000000 
 89954.000000 , 74773.000000 , 0.000000 , 48.145620 , 29.146108 , 0.000000 , 35.063579 , 0.020770 , 0.028520 , 0.020770 , 0.333114 , 0.364141 , 0.000000 
 89813.000000 , 74608.000000 , 0.000000 , 48.251777 , 29.115486 , 0.000000 , 35.049287 , 0.020725 , 0.028531 , 0.020725 , 0.332213 , 0.363192 , 0.000000 
 89831.000000 , 74586.000000 , 0.000000 , 48.266337 , 29.174002 , 0.000000 , 35.137021 , 0.020718 , 0.028460 , 0.020718 , 0.331645 , 0.363991 , 0.000000 
 89656.000000 , 74508.000000 , 0.000000 , 48.316938 , 29.268910 , 0.000000 , 35.220427 , 0.020697 , 0.028393 , 0.020697 , 0.331332 , 0.364473 , 0.000000 
 90386.000000 , 74796.000000 , 0.000000 , 48.130523 , 29.179107 , 0.000000 , 35.261014 , 0.020777 , 0.028360 , 0.020777 , 0.330298 , 0.366306 , 0.000000 
 90065.000000 , 74755.000000 , 0.000000 , 48.157274 , 29.036681 , 0.000000 , 34.984237 , 0.020765 , 0.028584 , 0.020765 , 0.332986 , 0.363229 , 0.000000 
 89716.000000 , 74300.000000 , 0.000000 , 48.451983 , 28.983054 , 0.000000 , 34.997552 , 0.020639 , 0.028573 , 0.020639 , 0.330687 , 0.361157 , 0.000000 
 89960.000000 , 74744.000000 , 0.000000 , 48.163784 , 29.040279 , 0.000000 , 34.952150 , 0.020762 , 0.028611 , 0.020762 , 0.330726 , 0.362847 , 0.000000 
 90366.000000 , 74966.000000 , 0.000000 , 48.021724 , 28.973204 , 0.000000 , 34.925783 , 0.020824 , 0.028632 , 0.020824 , 0.332377 , 0.363646 , 0.000000 
 90302.000000 , 74872.000000 , 0.000000 , 48.081835 , 29.157781 , 0.000000 , 35.167089 , 0.020798 , 0.028436 , 0.020798 , 0.332318 , 0.365700 , 0.000000 
 89522.000000 , 74324.000000 , 0.000000 , 48.436343 , 29.082530 , 0.000000 , 35.030177 , 0.020646 , 0.028547 , 0.020646 , 0.330574 , 0.361610 , 0.000000 
 90615.000000 , 75262.000000 , 0.000000 , 47.832285 , 28.982364 , 0.000000 , 34.894594 , 0.020906 , 0.028658 , 0.020906 , 0.334315 , 0.364760 , 0.000000 
 90162.000000 , 74884.000000 , 0.000000 , 48.074233 , 28.985740 , 0.000000 , 34.899648 , 0.020801 , 0.028654 , 0.020801 , 0.333330 , 0.362977 , 0.000000 
 90393.000000 , 75071.000000 , 0.000000 , 47.954465 , 28.937529 , 0.000000 , 34.843682 , 0.020853 , 0.028700 , 0.020853 , 0.333696 , 0.363300 , 0.000000 
 89973.000000 , 74818.000000 , 0.000000 , 48.116742 , 29.126645 , 0.000000 , 35.027355 , 0.020783 , 0.028549 , 0.020783 , 0.332954 , 0.363983 , 0.000000 
 90218.000000 , 74642.000000 , 0.000000 , 48.230028 , 29.091618 , 0.000000 , 35.162914 , 0.020734 , 0.028439 , 0.020734 , 0.331775 , 0.364533 , 0.000000 
 90244.000000 , 74768.000000 , 0.000000 , 48.148776 , 29.107803 , 0.000000 , 35.132739 , 0.020769 , 0.028463 , 0.020769 , 0.331742 , 0.364835 , 0.000000 
 90530.000000 , 75092.000000 , 0.000000 , 47.941033 , 28.882097 , 0.000000 , 34.819931 , 0.020859 , 0.028719 , 0.020859 , 0.333870 , 0.363154 , 0.000000 
 90087.000000 , 74870.000000 , 0.000000 , 48.083178 , 29.009889 , 0.000000 , 34.906022 , 0.020797 , 0.028648 , 0.020797 , 0.332949 , 0.362975 , 0.000000 
 90013.000000 , 74810.000000 , 0.000000 , 48.121756 , 29.079578 , 0.000000 , 34.989173 , 0.020781 , 0.028580 , 0.020781 , 0.332847 , 0.363548 , 0.000000 
 89809.000000 , 74559.000000 , 0.000000 , 48.283786 , 29.087782 , 0.000000 , 35.037580 , 0.020711 , 0.028541 , 0.020711 , 0.332474 , 0.362830 , 0.000000 
 89787.000000 , 74654.000000 , 0.000000 , 48.222359 , 28.976628 , 0.000000 , 34.850436 , 0.020737 , 0.028694 , 0.020737 , 0.331781 , 0.361351 , 0.000000 
 89898.000000 , 74817.000000 , 0.000000 , 48.117260 , 29.086966 , 0.000000 , 34.950079 , 0.020783 , 0.028612 , 0.020783 , 0.331768 , 0.363176 , 0.000000 
 89641.000000 , 74541.000000 , 0.000000 , 48.295484 , 29.105263 , 0.000000 , 35.001206 , 0.020706 , 0.028570 , 0.020706 , 0.331626 , 0.362365 , 0.000000 
 89562.000000 , 74746.000000 , 0.000000 , 48.163055 , 29.028711 , 0.000000 , 34.783333 , 0.020763 , 0.028749 , 0.020763 , 0.332462 , 0.361100 , 0.000000 
 89824.000000 , 74582.000000 , 0.000000 , 48.268768 , 29.088852 , 0.000000 , 35.035978 , 0.020717 , 0.028542 , 0.020717 , 0.331955 , 0.362926 , 0.000000 
 90120.000000 , 75019.000000 , 0.000000 , 47.987461 , 28.883917 , 0.000000 , 34.698124 , 0.020839 , 0.028820 , 0.020839 , 0.333717 , 0.361533 , 0.000000 
 89608.000000 , 74475.000000 , 0.000000 , 48.338254 , 29.084561 , 0.000000 , 34.994963 , 0.020688 , 0.028576 , 0.020688 , 0.331451 , 0.361980 , 0.000000 
 90691.000000 , 75231.000000 , 0.000000 , 47.852508 , 29.141186 , 0.000000 , 35.129711 , 0.020898 , 0.028466 , 0.020898 , 0.333664 , 0.367062 , 0.000000 
 90460.000000 , 75053.000000 , 0.000000 , 47.965843 , 28.947812 , 0.000000 , 34.890410 , 0.020848 , 0.028661 , 0.020848 , 0.332754 , 0.363701 , 0.000000 
 90010.000000 , 74747.000000 , 0.000000 , 48.162089 , 29.240137 , 0.000000 , 35.210860 , 0.020763 , 0.028400 , 0.020763 , 0.332244 , 0.365545 , 0.000000 
 89673.000000 , 74476.000000 , 0.000000 , 48.337612 , 28.898274 , 0.000000 , 34.795033 , 0.020688 , 0.028740 , 0.020688 , 0.331205 , 0.359917 , 0.000000 
 89519.000000 , 74394.000000 , 0.000000 , 48.390831 , 29.115201 , 0.000000 , 35.034595 , 0.020665 , 0.028543 , 0.020665 , 0.331880 , 0.361996 , 0.000000 
 89884.000000 , 74659.000000 , 0.000000 , 48.218547 , 29.059475 , 0.000000 , 34.985765 , 0.020739 , 0.028583 , 0.020739 , 0.331964 , 0.362783 , 0.000000 
 89941.000000 , 74666.000000 , 0.000000 , 48.214636 , 29.005125 , 0.000000 , 34.938955 , 0.020741 , 0.028621 , 0.020741 , 0.331457 , 0.362327 , 0.000000 
