arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 119486.000000 , 119486.000000 , 0.000000 , 30.128988 , 39.533619 , 9.462057 , 30.071562 , 0.033191 , 0.033254 , 0.033191 , 0.531857 , 0.499047 , 0.000000 
 120252.000000 , 120252.000000 , 1.000000 , 29.936934 , 39.163975 , 9.180184 , 29.983869 , 0.033404 , 0.033351 , 0.033404 , 0.533479 , 0.500784 , 0.000000 
 119279.000000 , 119279.000000 , 0.000000 , 30.181088 , 39.311837 , 9.210096 , 30.102279 , 0.033133 , 0.033220 , 0.033133 , 0.531187 , 0.498694 , 0.000000 
 119767.000000 , 119767.000000 , 2.000000 , 30.058226 , 39.599602 , 9.584879 , 30.014877 , 0.033269 , 0.033317 , 0.033269 , 0.532191 , 0.499279 , 0.000000 
 119393.000000 , 119393.000000 , 0.000000 , 30.151924 , 39.348344 , 9.349762 , 29.998583 , 0.033165 , 0.033335 , 0.033165 , 0.531053 , 0.497457 , 0.000000 
 120786.000000 , 120786.000000 , 0.000000 , 29.804662 , 39.694779 , 9.669775 , 30.025037 , 0.033552 , 0.033306 , 0.033552 , 0.535872 , 0.503697 , 0.000000 
 119972.000000 , 119972.000000 , 2.000000 , 30.006823 , 39.203678 , 9.278730 , 29.925271 , 0.033326 , 0.033417 , 0.033326 , 0.533173 , 0.498641 , 0.000000 
 120051.000000 , 120051.000000 , 0.000000 , 29.987177 , 39.579422 , 9.576048 , 30.003374 , 0.033348 , 0.033330 , 0.033348 , 0.532235 , 0.500270 , 0.000000 
 119287.000000 , 119287.000000 , 0.000000 , 30.179283 , 39.527186 , 9.396901 , 30.130820 , 0.033135 , 0.033189 , 0.033135 , 0.532817 , 0.499197 , 0.000000 
 119875.000000 , 119875.000000 , 0.000000 , 30.031258 , 39.664759 , 9.573021 , 30.091853 , 0.033299 , 0.033232 , 0.033299 , 0.532118 , 0.501009 , 0.000000 
 119784.000000 , 119784.000000 , 3.000000 , 30.054003 , 39.446846 , 9.402630 , 30.044453 , 0.033273 , 0.033284 , 0.033273 , 0.533364 , 0.499841 , 0.000000 
 120064.000000 , 120064.000000 , 1.000000 , 29.983955 , 39.569509 , 9.514690 , 30.055161 , 0.033351 , 0.033272 , 0.033351 , 0.534494 , 0.501187 , 0.000000 
 119526.000000 , 119526.000000 , 0.000000 , 30.118965 , 39.062747 , 9.117672 , 29.945276 , 0.033202 , 0.033394 , 0.033202 , 0.532272 , 0.497117 , 0.000000 
 120235.000000 , 120235.000000 , 0.000000 , 29.941325 , 39.547775 , 9.479069 , 30.068706 , 0.033399 , 0.033257 , 0.033399 , 0.532798 , 0.502127 , 0.000000 
 120227.000000 , 120227.000000 , 0.000000 , 29.943337 , 39.443227 , 9.430448 , 30.013694 , 0.033396 , 0.033318 , 0.033396 , 0.534494 , 0.501175 , 0.000000 
 120381.000000 , 120381.000000 , 0.000000 , 29.904827 , 39.583271 , 9.631936 , 29.951594 , 0.033439 , 0.033387 , 0.033439 , 0.532827 , 0.500782 , 0.000000 
 119473.000000 , 119473.000000 , 0.000000 , 30.132317 , 39.348818 , 9.306892 , 30.041926 , 0.033187 , 0.033287 , 0.033187 , 0.530077 , 0.498500 , 0.000000 
 119788.000000 , 119788.000000 , 2.000000 , 30.052548 , 39.542256 , 9.399414 , 30.143106 , 0.033275 , 0.033175 , 0.033275 , 0.532917 , 0.501507 , 0.000000 
 119584.000000 , 119584.000000 , 0.000000 , 30.104075 , 38.927646 , 8.978716 , 29.948930 , 0.033218 , 0.033390 , 0.033218 , 0.530784 , 0.497423 , 0.000000 
 119163.000000 , 119163.000000 , 0.000000 , 30.210707 , 39.197861 , 9.189258 , 30.008610 , 0.033101 , 0.033324 , 0.033101 , 0.531453 , 0.496655 , 0.000000 
 120055.000000 , 120055.000000 , 0.000000 , 29.986193 , 39.785732 , 9.637386 , 30.148983 , 0.033349 , 0.033169 , 0.033349 , 0.533407 , 0.502714 , 0.000000 
