batch, block, delay
0 , 0 , 4.616661 
1 , 0 , 4.010095 
2 , 0 , 5.139185 
3 , 0 , 3.426494 
4 , 0 , 3.696724 
5 , 0 , 4.313169 
6 , 0 , 3.346367 
7 , 0 , 6.416813 
8 , 0 , 4.366171 
9 , 0 , 3.499612 
10 , 0 , 3.386788 
11 , 0 , 3.154182 
12 , 0 , 5.560978 
13 , 0 , 3.574446 
14 , 0 , 4.209580 
15 , 0 , 3.738321 
16 , 0 , 4.082712 
17 , 0 , 3.960000 
18 , 0 , 4.245187 
19 , 0 , 4.069148 
20 , 0 , 4.166668 
21 , 0 , 4.509358 
22 , 0 , 4.788225 
23 , 0 , 5.022804 
24 , 0 , 3.209530 
25 , 0 , 4.538127 
26 , 0 , 4.489561 
27 , 0 , 5.873335 
28 , 0 , 3.316221 
29 , 0 , 4.025553 
30 , 0 , 3.981253 
31 , 0 , 4.084825 
32 , 0 , 4.239975 
33 , 0 , 3.888329 
34 , 0 , 5.307628 
35 , 0 , 4.078535 
36 , 0 , 4.622012 
37 , 0 , 3.495992 
38 , 0 , 4.708417 
39 , 0 , 5.049406 
40 , 0 , 3.902093 
41 , 0 , 3.074978 
42 , 0 , 4.539963 
43 , 0 , 3.614549 
44 , 0 , 3.750264 
45 , 0 , 3.372994 
46 , 0 , 5.271628 
47 , 0 , 4.312590 
48 , 0 , 4.881713 
49 , 0 , 5.360342 
50 , 0 , 4.095635 
51 , 0 , 4.083477 
52 , 0 , 3.407299 
53 , 0 , 3.112655 
54 , 0 , 4.143246 
55 , 0 , 4.865036 
56 , 0 , 4.020125 
57 , 0 , 3.966479 
58 , 0 , 3.833038 
59 , 0 , 5.700892 
60 , 0 , 3.486644 
61 , 0 , 4.693698 
62 , 0 , 3.648133 
63 , 0 , 3.814284 
64 , 0 , 4.748719 
65 , 0 , 3.971973 
66 , 0 , 2.947967 
67 , 0 , 3.574968 
68 , 0 , 4.415772 
69 , 0 , 4.613469 
70 , 0 , 5.735417 
71 , 0 , 4.777569 
72 , 0 , 5.173070 
73 , 0 , 5.145791 
74 , 0 , 3.540781 
75 , 0 , 3.446327 
76 , 0 , 3.417750 
77 , 0 , 4.208262 
78 , 0 , 3.492523 
79 , 0 , 4.363433 
80 , 0 , 4.605215 
81 , 0 , 3.386997 
82 , 0 , 3.935550 
83 , 0 , 3.775573 
84 , 0 , 4.063116 
85 , 0 , 4.307318 
86 , 0 , 4.901630 
87 , 0 , 4.157560 
88 , 0 , 4.177900 
89 , 0 , 5.007826 
90 , 0 , 3.298542 
91 , 0 , 3.372404 
92 , 0 , 3.605742 
93 , 0 , 3.033020 
94 , 0 , 4.187419 
95 , 0 , 4.123426 
96 , 0 , 4.625860 
97 , 0 , 5.140417 
98 , 0 , 4.310903 
99 , 0 , 3.963392 
100 , 0 , 3.249253 
101 , 0 , 3.640976 
102 , 0 , 2.886654 
103 , 0 , 4.249980 
104 , 0 , 3.662291 
105 , 0 , 3.739431 
106 , 0 , 3.977508 
107 , 0 , 4.494133 
108 , 0 , 3.713075 
109 , 0 , 4.040253 
110 , 0 , 3.255303 
111 , 0 , 3.414358 
112 , 0 , 4.382100 
113 , 0 , 3.547506 
114 , 0 , 4.944943 
115 , 0 , 4.884826 
116 , 0 , 4.585729 
117 , 0 , 3.297289 
118 , 0 , 3.264561 
119 , 0 , 5.427891 
120 , 0 , 3.947773 
121 , 0 , 4.404736 
122 , 0 , 3.767677 
123 , 0 , 4.053463 
124 , 0 , 4.330580 
125 , 0 , 3.992722 
126 , 0 , 5.416018 
127 , 0 , 2.927718 
