batch, block, delay
0 , 4 , 2.714796 
1 , 4 , 2.838785 
2 , 4 , 2.563720 
3 , 4 , 1.907372 
4 , 4 , 2.691739 
5 , 4 , 3.152479 
6 , 4 , 2.002192 
7 , 4 , 2.817154 
8 , 4 , 3.435039 
9 , 4 , 3.037192 
10 , 4 , 4.098901 
11 , 4 , 2.317131 
12 , 4 , 2.782231 
13 , 4 , 2.259715 
14 , 4 , 4.918338 
15 , 4 , 3.831945 
16 , 4 , 4.404024 
17 , 4 , 3.533699 
18 , 4 , 3.142552 
19 , 4 , 3.558488 
20 , 4 , 3.046114 
21 , 4 , 2.811212 
22 , 4 , 2.506769 
23 , 4 , 4.009782 
24 , 4 , 2.181109 
25 , 4 , 2.648489 
26 , 4 , 4.283818 
27 , 4 , 3.052148 
28 , 4 , 3.682585 
29 , 4 , 2.286587 
30 , 4 , 2.741099 
31 , 4 , 3.195484 
32 , 4 , 3.042338 
33 , 4 , 4.152512 
34 , 4 , 4.343941 
35 , 4 , 3.592776 
36 , 4 , 4.035877 
37 , 4 , 3.696605 
38 , 4 , 1.967538 
39 , 4 , 1.767850 
40 , 4 , 4.707422 
41 , 4 , 2.158690 
42 , 4 , 2.178106 
43 , 4 , 5.448150 
44 , 4 , 2.631838 
45 , 4 , 3.568356 
46 , 4 , 1.975182 
47 , 4 , 3.815435 
48 , 4 , 3.093754 
49 , 4 , 2.366967 
50 , 4 , 3.177134 
51 , 4 , 3.054906 
52 , 4 , 4.119521 
53 , 4 , 2.833462 
54 , 4 , 3.988924 
55 , 4 , 2.671345 
56 , 4 , 4.430185 
57 , 4 , 4.503789 
58 , 4 , 2.744688 
59 , 4 , 3.586868 
60 , 4 , 4.429441 
61 , 4 , 3.065188 
62 , 4 , 2.401813 
63 , 4 , 3.795976 
64 , 4 , 2.945230 
65 , 4 , 4.745325 
66 , 4 , 3.656277 
67 , 4 , 3.409234 
68 , 4 , 3.230003 
69 , 4 , 2.614023 
70 , 4 , 3.342586 
71 , 4 , 3.065635 
72 , 4 , 2.798929 
73 , 4 , 3.427954 
74 , 4 , 3.211756 
75 , 4 , 2.405793 
76 , 4 , 3.374984 
77 , 4 , 2.576256 
78 , 4 , 4.259138 
79 , 4 , 1.882472 
80 , 4 , 2.089306 
81 , 4 , 2.285335 
82 , 4 , 3.454462 
83 , 4 , 2.007402 
84 , 4 , 2.269024 
85 , 4 , 2.551748 
86 , 4 , 2.592616 
87 , 4 , 1.482679 
88 , 4 , 5.077030 
89 , 4 , 2.279746 
90 , 4 , 3.599895 
91 , 4 , 3.248366 
92 , 4 , 3.551048 
93 , 4 , 1.426147 
94 , 4 , 2.266116 
95 , 4 , 2.656990 
96 , 4 , 2.988094 
97 , 4 , 5.109937 
98 , 4 , 2.066782 
99 , 4 , 3.076377 
100 , 4 , 2.585813 
101 , 4 , 2.865912 
102 , 4 , 3.154537 
103 , 4 , 3.790268 
104 , 4 , 3.399873 
105 , 4 , 1.476298 
106 , 4 , 1.608695 
107 , 4 , 3.040351 
108 , 4 , 2.688635 
109 , 4 , 3.996881 
110 , 4 , 2.356059 
111 , 4 , 6.245023 
112 , 4 , 2.362757 
113 , 4 , 2.100164 
114 , 4 , 2.547713 
115 , 4 , 3.743012 
116 , 4 , 3.148459 
117 , 4 , 1.651259 
118 , 4 , 2.473154 
119 , 4 , 2.382175 
120 , 4 , 4.587044 
121 , 4 , 2.322802 
122 , 4 , 2.100777 
123 , 4 , 5.644050 
124 , 4 , 4.931530 
125 , 4 , 3.266111 
126 , 4 , 3.158322 
127 , 4 , 2.714706 
