batch, block, delay
0 , 3 , 42.097076 
1 , 3 , 35.502841 
2 , 3 , 22.356755 
3 , 3 , 59.144435 
4 , 3 , 20.238404 
5 , 3 , 27.814101 
6 , 3 , 33.785462 
7 , 3 , 33.128865 
8 , 3 , 48.901430 
9 , 3 , 32.175767 
10 , 3 , 25.130171 
11 , 3 , 28.306683 
12 , 3 , 26.481872 
13 , 3 , 23.722208 
14 , 3 , 33.372250 
15 , 3 , 28.975074 
16 , 3 , 30.208634 
17 , 3 , 21.646711 
18 , 3 , 29.003097 
19 , 3 , 37.957625 
20 , 3 , 33.809030 
21 , 3 , 28.475742 
22 , 3 , 29.884201 
23 , 3 , 38.645887 
24 , 3 , 29.669805 
25 , 3 , 23.019252 
26 , 3 , 28.136581 
27 , 3 , 30.863727 
28 , 3 , 44.564835 
29 , 3 , 25.450774 
30 , 3 , 24.979778 
31 , 3 , 25.452056 
32 , 3 , 20.185672 
33 , 3 , 28.962941 
34 , 3 , 34.735107 
35 , 3 , 35.292362 
36 , 3 , 24.382141 
37 , 3 , 21.229744 
38 , 3 , 43.224459 
39 , 3 , 22.780056 
40 , 3 , 27.536177 
41 , 3 , 18.524446 
42 , 3 , 38.471773 
43 , 3 , 26.340938 
44 , 3 , 34.954777 
45 , 3 , 19.718205 
46 , 3 , 37.071222 
47 , 3 , 29.770054 
48 , 3 , 33.596806 
49 , 3 , 19.209822 
50 , 3 , 28.106029 
51 , 3 , 21.315234 
52 , 3 , 43.542440 
53 , 3 , 38.521401 
54 , 3 , 32.941458 
55 , 3 , 32.234018 
56 , 3 , 38.900943 
57 , 3 , 24.745489 
58 , 3 , 21.979165 
59 , 3 , 28.357649 
60 , 3 , 28.203576 
61 , 3 , 38.996940 
62 , 3 , 35.585742 
63 , 3 , 20.889848 
64 , 3 , 26.216188 
65 , 3 , 49.291197 
66 , 3 , 35.740583 
67 , 3 , 23.074781 
68 , 3 , 18.049489 
69 , 3 , 48.789881 
70 , 3 , 35.362591 
71 , 3 , 29.508277 
72 , 3 , 25.111727 
73 , 3 , 37.631141 
74 , 3 , 23.811814 
75 , 3 , 18.865520 
76 , 3 , 19.630036 
77 , 3 , 37.506095 
78 , 3 , 25.992816 
79 , 3 , 35.844232 
80 , 3 , 24.431229 
81 , 3 , 16.692550 
82 , 3 , 23.928628 
83 , 3 , 44.385107 
84 , 3 , 32.247995 
85 , 3 , 34.765098 
86 , 3 , 25.162215 
87 , 3 , 36.469175 
88 , 3 , 32.591382 
89 , 3 , 25.300662 
90 , 3 , 33.849112 
91 , 3 , 29.761103 
92 , 3 , 23.332783 
93 , 3 , 23.271548 
94 , 3 , 39.731034 
95 , 3 , 15.217845 
96 , 3 , 34.702039 
97 , 3 , 36.420816 
98 , 3 , 23.284010 
99 , 3 , 37.955740 
100 , 3 , 27.532259 
101 , 3 , 24.837230 
102 , 3 , 23.249004 
103 , 3 , 24.744059 
104 , 3 , 18.477140 
105 , 3 , 15.113351 
106 , 3 , 32.241609 
107 , 3 , 47.904419 
108 , 3 , 37.162457 
109 , 3 , 36.753453 
110 , 3 , 31.324509 
111 , 3 , 38.476104 
112 , 3 , 37.466494 
113 , 3 , 31.897413 
114 , 3 , 28.457470 
115 , 3 , 26.178738 
116 , 3 , 39.337816 
117 , 3 , 30.679135 
118 , 3 , 30.238334 
119 , 3 , 25.974484 
120 , 3 , 29.081300 
121 , 3 , 61.360216 
122 , 3 , 40.487261 
123 , 3 , 47.630642 
124 , 3 , 14.766475 
125 , 3 , 41.776315 
126 , 3 , 22.794985 
127 , 3 , 13.610366 
