batch, block, delay
0 , 2 , 2.903181 
1 , 2 , 5.121842 
2 , 2 , 4.243448 
3 , 2 , 2.763968 
4 , 2 , 2.379287 
5 , 2 , 4.588330 
6 , 2 , 5.940169 
7 , 2 , 5.794222 
8 , 2 , 3.713847 
9 , 2 , 3.187873 
10 , 2 , 4.946687 
11 , 2 , 4.375691 
12 , 2 , 3.450856 
13 , 2 , 2.372571 
14 , 2 , 4.227757 
15 , 2 , 6.073389 
16 , 2 , 6.424035 
17 , 2 , 6.174164 
18 , 2 , 5.625026 
19 , 2 , 3.612205 
20 , 2 , 8.377529 
21 , 2 , 3.062375 
22 , 2 , 5.937431 
23 , 2 , 4.737093 
24 , 2 , 2.927035 
25 , 2 , 4.339917 
26 , 2 , 6.728568 
27 , 2 , 4.326267 
28 , 2 , 4.636950 
29 , 2 , 5.859359 
30 , 2 , 2.654564 
31 , 2 , 4.391074 
32 , 2 , 2.888703 
33 , 2 , 5.139932 
34 , 2 , 4.265806 
35 , 2 , 5.643245 
36 , 2 , 4.941217 
37 , 2 , 5.462619 
38 , 2 , 2.803716 
39 , 2 , 4.031493 
40 , 2 , 4.956143 
41 , 2 , 3.919058 
42 , 2 , 3.627028 
43 , 2 , 4.630317 
44 , 2 , 2.742266 
45 , 2 , 3.596216 
46 , 2 , 3.902865 
47 , 2 , 3.640557 
48 , 2 , 2.463548 
49 , 2 , 4.824623 
50 , 2 , 5.268518 
51 , 2 , 5.190353 
52 , 2 , 4.351747 
53 , 2 , 4.088895 
54 , 2 , 5.374374 
55 , 2 , 5.804154 
56 , 2 , 5.464549 
57 , 2 , 5.232817 
58 , 2 , 5.426302 
59 , 2 , 3.400342 
60 , 2 , 5.130611 
61 , 2 , 3.820418 
62 , 2 , 3.776217 
63 , 2 , 4.622708 
64 , 2 , 4.434225 
65 , 2 , 4.559921 
66 , 2 , 3.319631 
67 , 2 , 5.659064 
68 , 2 , 3.379355 
69 , 2 , 4.427641 
70 , 2 , 5.670613 
71 , 2 , 4.067235 
72 , 2 , 4.385747 
73 , 2 , 4.798054 
74 , 2 , 3.762428 
75 , 2 , 2.733237 
76 , 2 , 6.433186 
77 , 2 , 4.120290 
78 , 2 , 6.634771 
79 , 2 , 5.381335 
80 , 2 , 5.610099 
81 , 2 , 3.895121 
82 , 2 , 4.218424 
83 , 2 , 3.954020 
84 , 2 , 5.551019 
85 , 2 , 4.085240 
86 , 2 , 6.132889 
87 , 2 , 3.582225 
88 , 2 , 4.110287 
89 , 2 , 5.891696 
90 , 2 , 5.526473 
91 , 2 , 5.063530 
92 , 2 , 4.672103 
93 , 2 , 7.581061 
94 , 2 , 5.177497 
95 , 2 , 3.154344 
96 , 2 , 5.629634 
97 , 2 , 5.378368 
98 , 2 , 6.039325 
99 , 2 , 5.676998 
100 , 2 , 3.120823 
101 , 2 , 2.991534 
102 , 2 , 6.973481 
103 , 2 , 2.995109 
104 , 2 , 3.761451 
105 , 2 , 2.774910 
106 , 2 , 2.493687 
107 , 2 , 5.586624 
108 , 2 , 4.098154 
109 , 2 , 3.594437 
110 , 2 , 6.069552 
111 , 2 , 4.081607 
112 , 2 , 3.619107 
113 , 2 , 3.468267 
114 , 2 , 3.885677 
115 , 2 , 2.726734 
116 , 2 , 3.786152 
117 , 2 , 3.608976 
118 , 2 , 3.705254 
119 , 2 , 4.296658 
120 , 2 , 2.785602 
121 , 2 , 3.291761 
122 , 2 , 2.650118 
123 , 2 , 3.750277 
124 , 2 , 5.524892 
125 , 2 , 4.634386 
126 , 2 , 5.656912 
127 , 2 , 5.347846 
