batch, block, wait
0 , 5 , 9.950873 
1 , 5 , 9.712027 
2 , 5 , 9.836918 
3 , 5 , 10.326054 
4 , 5 , 10.021250 
5 , 5 , 10.475109 
6 , 5 , 9.839971 
7 , 5 , 10.268731 
8 , 5 , 9.746107 
9 , 5 , 10.220028 
10 , 5 , 10.282551 
11 , 5 , 9.918958 
12 , 5 , 10.256397 
13 , 5 , 9.872477 
14 , 5 , 10.129353 
15 , 5 , 9.961870 
16 , 5 , 9.716770 
17 , 5 , 9.751856 
18 , 5 , 9.582979 
19 , 5 , 9.575918 
20 , 5 , 10.359225 
21 , 5 , 10.283890 
22 , 5 , 9.700273 
23 , 5 , 9.794380 
24 , 5 , 9.878348 
25 , 5 , 9.470461 
26 , 5 , 9.645623 
27 , 5 , 9.916456 
28 , 5 , 10.173307 
29 , 5 , 9.877105 
30 , 5 , 9.755697 
31 , 5 , 10.004043 
32 , 5 , 9.703974 
33 , 5 , 10.101436 
34 , 5 , 9.973755 
35 , 5 , 10.339934 
36 , 5 , 9.419242 
37 , 5 , 9.980690 
38 , 5 , 10.099721 
39 , 5 , 9.990358 
40 , 5 , 9.812381 
41 , 5 , 9.786114 
42 , 5 , 9.986891 
43 , 5 , 9.741228 
44 , 5 , 9.468142 
45 , 5 , 10.449626 
46 , 5 , 9.945524 
47 , 5 , 9.779291 
48 , 5 , 9.516815 
49 , 5 , 10.021642 
50 , 5 , 9.748035 
51 , 5 , 10.611110 
52 , 5 , 10.054366 
53 , 5 , 9.625712 
54 , 5 , 10.079999 
55 , 5 , 10.371745 
56 , 5 , 10.199998 
57 , 5 , 10.205318 
58 , 5 , 9.754617 
59 , 5 , 10.087725 
60 , 5 , 10.292768 
61 , 5 , 9.689422 
62 , 5 , 10.277337 
63 , 5 , 9.782383 
64 , 5 , 10.916959 
65 , 5 , 9.798153 
66 , 5 , 10.138975 
67 , 5 , 9.715555 
68 , 5 , 9.809511 
69 , 5 , 9.880518 
70 , 5 , 9.982981 
71 , 5 , 10.173126 
72 , 5 , 10.387616 
73 , 5 , 10.026969 
74 , 5 , 9.553962 
75 , 5 , 9.922126 
76 , 5 , 10.083009 
77 , 5 , 9.898268 
78 , 5 , 10.233654 
79 , 5 , 9.359111 
80 , 5 , 10.094481 
81 , 5 , 9.659199 
82 , 5 , 9.645473 
83 , 5 , 9.806581 
84 , 5 , 9.875938 
85 , 5 , 9.544545 
86 , 5 , 9.852647 
87 , 5 , 10.266963 
88 , 5 , 10.111494 
89 , 5 , 10.090357 
90 , 5 , 9.807654 
91 , 5 , 9.988599 
92 , 5 , 9.605949 
93 , 5 , 10.036201 
94 , 5 , 10.257747 
95 , 5 , 9.958973 
96 , 5 , 9.731636 
97 , 5 , 9.507372 
98 , 5 , 9.463326 
99 , 5 , 10.134734 
100 , 5 , 9.874171 
101 , 5 , 9.854615 
102 , 5 , 9.893505 
103 , 5 , 10.085236 
104 , 5 , 10.213072 
105 , 5 , 10.240125 
106 , 5 , 9.706215 
107 , 5 , 9.933797 
108 , 5 , 9.741732 
109 , 5 , 10.056729 
110 , 5 , 9.997593 
111 , 5 , 9.775913 
112 , 5 , 10.178199 
113 , 5 , 10.276508 
114 , 5 , 10.018472 
115 , 5 , 9.632575 
116 , 5 , 10.573734 
117 , 5 , 9.909430 
118 , 5 , 10.103601 
119 , 5 , 9.980555 
120 , 5 , 9.845325 
121 , 5 , 9.690301 
122 , 5 , 10.361361 
123 , 5 , 9.990668 
124 , 5 , 10.166875 
125 , 5 , 9.748451 
126 , 5 , 10.212181 
127 , 5 , 10.414803 
