batch, block, wait
0 , 0 , 19.160955 
1 , 0 , 18.386015 
2 , 0 , 21.120534 
3 , 0 , 18.089196 
4 , 0 , 18.565710 
5 , 0 , 19.693552 
6 , 0 , 18.189040 
7 , 0 , 21.607307 
8 , 0 , 19.341250 
9 , 0 , 17.726158 
10 , 0 , 17.994657 
11 , 0 , 17.861700 
12 , 0 , 21.583136 
13 , 0 , 18.686722 
14 , 0 , 19.302609 
15 , 0 , 18.330883 
16 , 0 , 18.353116 
17 , 0 , 19.215435 
18 , 0 , 19.533558 
19 , 0 , 19.077714 
20 , 0 , 19.412952 
21 , 0 , 19.416422 
22 , 0 , 20.476933 
23 , 0 , 20.032380 
24 , 0 , 18.447461 
25 , 0 , 20.616042 
26 , 0 , 19.372485 
27 , 0 , 20.699042 
28 , 0 , 17.699790 
29 , 0 , 19.307615 
30 , 0 , 18.351344 
31 , 0 , 19.311991 
32 , 0 , 19.721124 
33 , 0 , 18.664393 
34 , 0 , 19.925452 
35 , 0 , 18.809352 
36 , 0 , 20.515463 
37 , 0 , 18.703232 
38 , 0 , 20.616045 
39 , 0 , 20.556918 
40 , 0 , 18.744945 
41 , 0 , 17.786784 
42 , 0 , 19.355095 
43 , 0 , 18.173741 
44 , 0 , 19.149819 
45 , 0 , 17.637556 
46 , 0 , 20.430796 
47 , 0 , 19.288921 
48 , 0 , 20.140563 
49 , 0 , 20.721578 
50 , 0 , 19.492923 
51 , 0 , 18.996388 
52 , 0 , 17.819627 
53 , 0 , 18.184214 
54 , 0 , 18.847672 
55 , 0 , 20.199940 
56 , 0 , 19.341183 
57 , 0 , 19.055407 
58 , 0 , 18.530033 
59 , 0 , 20.729081 
60 , 0 , 17.919235 
61 , 0 , 19.647519 
62 , 0 , 18.556520 
63 , 0 , 18.817491 
64 , 0 , 20.536022 
65 , 0 , 18.679357 
66 , 0 , 17.504267 
67 , 0 , 18.143627 
68 , 0 , 18.797230 
69 , 0 , 19.463764 
70 , 0 , 21.387587 
71 , 0 , 20.315393 
72 , 0 , 19.738086 
73 , 0 , 19.995380 
74 , 0 , 18.018582 
75 , 0 , 18.768237 
76 , 0 , 18.279357 
77 , 0 , 19.160155 
78 , 0 , 17.602726 
79 , 0 , 19.357702 
80 , 0 , 19.349846 
81 , 0 , 18.552323 
82 , 0 , 18.532771 
83 , 0 , 18.806183 
84 , 0 , 18.707733 
85 , 0 , 19.120766 
86 , 0 , 20.256990 
87 , 0 , 19.431110 
88 , 0 , 19.483880 
89 , 0 , 20.201050 
90 , 0 , 17.983184 
91 , 0 , 17.681538 
92 , 0 , 18.996074 
93 , 0 , 17.915586 
94 , 0 , 19.106889 
95 , 0 , 19.697491 
96 , 0 , 19.846472 
97 , 0 , 19.659242 
98 , 0 , 19.172497 
99 , 0 , 18.258406 
100 , 0 , 18.148791 
101 , 0 , 18.744988 
102 , 0 , 18.130677 
103 , 0 , 19.323593 
104 , 0 , 18.687866 
105 , 0 , 18.582993 
106 , 0 , 19.574016 
107 , 0 , 18.901550 
108 , 0 , 18.510921 
109 , 0 , 19.114168 
110 , 0 , 17.928938 
111 , 0 , 17.467587 
112 , 0 , 19.359038 
113 , 0 , 18.593252 
114 , 0 , 20.219263 
115 , 0 , 20.768001 
116 , 0 , 19.977958 
117 , 0 , 18.030118 
118 , 0 , 17.999694 
119 , 0 , 20.240167 
120 , 0 , 18.644795 
121 , 0 , 19.548958 
122 , 0 , 19.500307 
123 , 0 , 19.377230 
124 , 0 , 19.072807 
125 , 0 , 18.923131 
126 , 0 , 21.014762 
127 , 0 , 17.569849 
