batch, block, wait
0 , 4 , 38.385768 
1 , 4 , 37.292116 
2 , 4 , 39.833195 
3 , 4 , 37.507668 
4 , 4 , 37.556602 
5 , 4 , 38.277839 
6 , 4 , 37.407448 
7 , 4 , 38.175820 
8 , 4 , 38.588338 
9 , 4 , 39.199936 
10 , 4 , 38.318351 
11 , 4 , 37.103936 
12 , 4 , 37.699738 
13 , 4 , 37.309356 
14 , 4 , 41.372940 
15 , 4 , 39.131627 
16 , 4 , 39.734417 
17 , 4 , 38.286259 
18 , 4 , 39.548868 
19 , 4 , 39.517846 
20 , 4 , 37.370426 
21 , 4 , 38.513402 
22 , 4 , 37.862251 
23 , 4 , 37.638460 
24 , 4 , 37.052644 
25 , 4 , 36.262957 
26 , 4 , 39.976841 
27 , 4 , 37.493969 
28 , 4 , 40.684205 
29 , 4 , 35.942413 
30 , 4 , 37.497009 
31 , 4 , 38.820729 
32 , 4 , 38.095091 
33 , 4 , 39.913282 
34 , 4 , 38.535370 
35 , 4 , 39.790067 
36 , 4 , 39.692650 
37 , 4 , 38.906848 
38 , 4 , 36.165994 
39 , 4 , 35.878953 
40 , 4 , 39.442544 
41 , 4 , 38.280988 
42 , 4 , 36.589243 
43 , 4 , 41.354932 
44 , 4 , 37.724960 
45 , 4 , 40.047671 
46 , 4 , 36.389814 
47 , 4 , 38.290892 
48 , 4 , 38.269071 
49 , 4 , 37.002523 
50 , 4 , 35.706423 
51 , 4 , 37.523862 
52 , 4 , 39.354244 
53 , 4 , 39.772591 
54 , 4 , 38.870191 
55 , 4 , 37.538175 
56 , 4 , 40.632910 
57 , 4 , 39.730310 
58 , 4 , 37.715980 
59 , 4 , 39.960194 
60 , 4 , 41.459431 
61 , 4 , 37.554602 
62 , 4 , 38.588483 
63 , 4 , 40.250485 
64 , 4 , 38.502733 
65 , 4 , 40.857028 
66 , 4 , 37.825668 
67 , 4 , 39.256338 
68 , 4 , 38.956767 
69 , 4 , 37.250749 
70 , 4 , 38.688264 
71 , 4 , 37.520789 
72 , 4 , 37.359358 
73 , 4 , 38.571730 
74 , 4 , 38.714147 
75 , 4 , 38.065961 
76 , 4 , 37.603864 
77 , 4 , 37.229996 
78 , 4 , 39.112467 
79 , 4 , 36.971123 
80 , 4 , 35.985387 
81 , 4 , 37.407983 
82 , 4 , 39.884297 
83 , 4 , 35.357598 
84 , 4 , 35.462650 
85 , 4 , 37.142297 
86 , 4 , 38.340955 
87 , 4 , 36.437327 
88 , 4 , 41.346275 
89 , 4 , 35.671161 
90 , 4 , 40.330234 
91 , 4 , 38.189937 
92 , 4 , 39.934641 
93 , 4 , 35.083680 
94 , 4 , 37.317242 
95 , 4 , 38.486024 
96 , 4 , 36.349103 
97 , 4 , 40.760248 
98 , 4 , 35.368914 
99 , 4 , 38.271466 
100 , 4 , 37.607546 
101 , 4 , 37.932501 
102 , 4 , 38.474644 
103 , 4 , 38.762463 
104 , 4 , 41.101168 
105 , 4 , 35.557320 
106 , 4 , 35.867790 
107 , 4 , 39.999817 
108 , 4 , 36.606718 
109 , 4 , 40.716439 
110 , 4 , 36.243884 
111 , 4 , 42.807974 
112 , 4 , 36.471187 
113 , 4 , 37.500915 
114 , 4 , 37.821411 
115 , 4 , 40.604779 
116 , 4 , 37.713704 
117 , 4 , 36.461122 
118 , 4 , 39.138863 
119 , 4 , 37.829642 
120 , 4 , 41.520786 
121 , 4 , 36.237978 
122 , 4 , 37.527897 
123 , 4 , 41.083380 
124 , 4 , 40.780783 
125 , 4 , 37.582447 
126 , 4 , 39.432490 
127 , 4 , 38.167980 
