batch, block, wait
0 , 3 , 82.210221 
1 , 3 , 76.466392 
2 , 3 , 63.907008 
3 , 3 , 104.128575 
4 , 3 , 61.533039 
5 , 3 , 66.247634 
6 , 3 , 73.881707 
7 , 3 , 73.301242 
8 , 3 , 89.334647 
9 , 3 , 74.890884 
10 , 3 , 65.151509 
11 , 3 , 67.538729 
12 , 3 , 67.729409 
13 , 3 , 63.257033 
14 , 3 , 75.343833 
15 , 3 , 70.673099 
16 , 3 , 71.849486 
17 , 3 , 58.465096 
18 , 3 , 67.962405 
19 , 3 , 78.557877 
20 , 3 , 75.151054 
21 , 3 , 67.319628 
22 , 3 , 68.542369 
23 , 3 , 78.793975 
24 , 3 , 71.310913 
25 , 3 , 61.524990 
26 , 3 , 66.864462 
27 , 3 , 70.461124 
28 , 3 , 86.972465 
29 , 3 , 67.303996 
30 , 3 , 64.846483 
31 , 3 , 65.977715 
32 , 3 , 59.623970 
33 , 3 , 71.764385 
34 , 3 , 74.176889 
35 , 3 , 75.729714 
36 , 3 , 61.451722 
37 , 3 , 60.778082 
38 , 3 , 83.761463 
39 , 3 , 61.162123 
40 , 3 , 67.449160 
41 , 3 , 55.925918 
42 , 3 , 79.874002 
43 , 3 , 64.924791 
44 , 3 , 75.087273 
45 , 3 , 57.550960 
46 , 3 , 79.003180 
47 , 3 , 72.028098 
48 , 3 , 74.738561 
49 , 3 , 57.589530 
50 , 3 , 68.260724 
51 , 3 , 62.756645 
52 , 3 , 83.442262 
53 , 3 , 79.088728 
54 , 3 , 74.578378 
55 , 3 , 72.550443 
56 , 3 , 77.902688 
57 , 3 , 65.196342 
58 , 3 , 61.737239 
59 , 3 , 68.760643 
60 , 3 , 65.983241 
61 , 3 , 81.079652 
62 , 3 , 80.762136 
63 , 3 , 60.499439 
64 , 3 , 66.299328 
65 , 3 , 93.688564 
66 , 3 , 74.557317 
67 , 3 , 61.359234 
68 , 3 , 54.661641 
69 , 3 , 90.497020 
70 , 3 , 73.920656 
71 , 3 , 68.953341 
72 , 3 , 66.116731 
73 , 3 , 79.476178 
74 , 3 , 65.820020 
75 , 3 , 58.596885 
76 , 3 , 57.803956 
77 , 3 , 79.105206 
78 , 3 , 64.698226 
79 , 3 , 76.290770 
80 , 3 , 63.885704 
81 , 3 , 54.331374 
82 , 3 , 64.454506 
83 , 3 , 86.233817 
84 , 3 , 76.140168 
85 , 3 , 74.578628 
86 , 3 , 63.391708 
87 , 3 , 77.661384 
88 , 3 , 70.505353 
89 , 3 , 65.718461 
90 , 3 , 74.205980 
91 , 3 , 68.652309 
92 , 3 , 63.313678 
93 , 3 , 62.760299 
94 , 3 , 81.449109 
95 , 3 , 51.993861 
96 , 3 , 75.305950 
97 , 3 , 75.089817 
98 , 3 , 62.471526 
99 , 3 , 79.149716 
100 , 3 , 68.572988 
101 , 3 , 65.252191 
102 , 3 , 61.708198 
103 , 3 , 62.657689 
104 , 3 , 56.676619 
105 , 3 , 52.625703 
106 , 3 , 74.241474 
107 , 3 , 89.924465 
108 , 3 , 77.795288 
109 , 3 , 78.848517 
110 , 3 , 69.829618 
111 , 3 , 76.429224 
112 , 3 , 78.896740 
113 , 3 , 72.048254 
114 , 3 , 68.907200 
115 , 3 , 64.610440 
116 , 3 , 79.561512 
117 , 3 , 71.396889 
118 , 3 , 70.241669 
119 , 3 , 63.078693 
120 , 3 , 67.891390 
121 , 3 , 103.727696 
122 , 3 , 82.956718 
123 , 3 , 90.939396 
124 , 3 , 51.901798 
125 , 3 , 81.391056 
126 , 3 , 62.872382 
127 , 3 , 51.058413 
