batch, block, wait
0 , 1 , 30.204502 
1 , 1 , 29.405043 
2 , 1 , 27.584259 
3 , 1 , 29.383445 
4 , 1 , 30.627398 
5 , 1 , 29.586372 
6 , 1 , 28.082419 
7 , 1 , 26.530658 
8 , 1 , 27.978152 
9 , 1 , 28.251798 
10 , 1 , 27.048702 
11 , 1 , 30.979328 
12 , 1 , 27.269844 
13 , 1 , 30.293059 
14 , 1 , 29.006700 
15 , 1 , 28.691267 
16 , 1 , 28.397114 
17 , 1 , 27.368572 
18 , 1 , 26.960764 
19 , 1 , 29.271570 
20 , 1 , 29.543916 
21 , 1 , 29.277256 
22 , 1 , 29.753525 
23 , 1 , 26.762410 
24 , 1 , 28.814382 
25 , 1 , 28.750738 
26 , 1 , 30.520275 
27 , 1 , 30.671634 
28 , 1 , 28.441761 
29 , 1 , 28.551591 
30 , 1 , 29.968560 
31 , 1 , 30.255207 
32 , 1 , 29.452856 
33 , 1 , 29.869430 
34 , 1 , 30.229931 
35 , 1 , 28.185995 
36 , 1 , 28.462746 
37 , 1 , 29.215479 
38 , 1 , 29.071563 
39 , 1 , 30.551539 
40 , 1 , 27.566878 
41 , 1 , 30.559064 
42 , 1 , 28.767008 
43 , 1 , 27.912781 
44 , 1 , 30.581190 
45 , 1 , 28.146386 
46 , 1 , 30.506552 
47 , 1 , 28.021677 
48 , 1 , 28.992797 
49 , 1 , 28.084174 
50 , 1 , 31.545722 
51 , 1 , 29.213112 
52 , 1 , 28.356536 
53 , 1 , 27.324404 
54 , 1 , 29.193181 
55 , 1 , 30.478127 
56 , 1 , 29.284172 
57 , 1 , 30.251749 
58 , 1 , 29.145215 
59 , 1 , 29.240046 
60 , 1 , 29.942671 
61 , 1 , 29.039077 
62 , 1 , 29.586242 
63 , 1 , 28.810991 
64 , 1 , 28.295209 
65 , 1 , 29.914642 
66 , 1 , 30.060015 
67 , 1 , 29.945641 
68 , 1 , 29.461802 
69 , 1 , 30.122383 
70 , 1 , 28.132400 
71 , 1 , 29.718615 
72 , 1 , 27.093012 
73 , 1 , 28.106862 
74 , 1 , 28.400694 
75 , 1 , 30.781038 
76 , 1 , 28.953912 
77 , 1 , 29.076215 
78 , 1 , 27.163855 
79 , 1 , 28.191393 
80 , 1 , 27.389372 
81 , 1 , 30.040010 
82 , 1 , 30.083377 
83 , 1 , 29.044166 
84 , 1 , 30.119849 
85 , 1 , 29.056201 
86 , 1 , 28.599264 
87 , 1 , 29.353558 
88 , 1 , 29.581307 
89 , 1 , 29.777850 
90 , 1 , 27.890595 
91 , 1 , 28.862303 
92 , 1 , 30.047929 
93 , 1 , 30.334968 
94 , 1 , 26.887119 
95 , 1 , 31.001464 
96 , 1 , 30.066984 
97 , 1 , 29.514821 
98 , 1 , 29.505704 
99 , 1 , 30.439482 
100 , 1 , 26.529583 
101 , 1 , 28.146314 
102 , 1 , 29.393571 
103 , 1 , 28.679991 
104 , 1 , 27.763119 
105 , 1 , 32.117031 
106 , 1 , 29.571531 
107 , 1 , 29.964699 
108 , 1 , 28.890659 
109 , 1 , 29.411871 
110 , 1 , 27.982468 
111 , 1 , 28.116697 
112 , 1 , 29.378486 
113 , 1 , 30.933097 
114 , 1 , 30.685442 
115 , 1 , 28.349943 
116 , 1 , 29.309921 
117 , 1 , 28.987882 
118 , 1 , 26.092312 
119 , 1 , 29.903052 
120 , 1 , 29.098739 
121 , 1 , 25.895728 
122 , 1 , 29.784057 
123 , 1 , 27.630524 
124 , 1 , 29.916450 
125 , 1 , 29.913947 
126 , 1 , 28.831154 
127 , 1 , 31.045328 
