batch, block, wait
0 , 2 , 33.866532 
1 , 2 , 36.343361 
2 , 2 , 33.229282 
3 , 2 , 31.443047 
4 , 2 , 29.940793 
5 , 2 , 35.089166 
6 , 2 , 34.948262 
7 , 2 , 36.253602 
8 , 2 , 32.714451 
9 , 2 , 32.221709 
10 , 2 , 37.470678 
11 , 2 , 34.240318 
12 , 2 , 32.562710 
13 , 2 , 31.782497 
14 , 2 , 35.383653 
15 , 2 , 34.591004 
16 , 2 , 34.237965 
17 , 2 , 37.129248 
18 , 2 , 36.134987 
19 , 2 , 34.652376 
20 , 2 , 38.875411 
21 , 2 , 30.559700 
22 , 2 , 37.029487 
23 , 2 , 35.587131 
24 , 2 , 33.263894 
25 , 2 , 35.067153 
26 , 2 , 36.902858 
27 , 2 , 34.107604 
28 , 2 , 33.433765 
29 , 2 , 37.778827 
30 , 2 , 30.779951 
31 , 2 , 35.586627 
32 , 2 , 31.373450 
33 , 2 , 35.589314 
34 , 2 , 35.502658 
35 , 2 , 36.193153 
36 , 2 , 32.887539 
37 , 2 , 37.283006 
38 , 2 , 32.298354 
39 , 2 , 33.224218 
40 , 2 , 35.710414 
41 , 2 , 32.124187 
42 , 2 , 34.328068 
43 , 2 , 34.768678 
44 , 2 , 31.442159 
45 , 2 , 33.053030 
46 , 2 , 33.314942 
47 , 2 , 32.627369 
48 , 2 , 29.773302 
49 , 2 , 33.829455 
50 , 2 , 39.790606 
51 , 2 , 35.560228 
52 , 2 , 34.669960 
53 , 2 , 36.351631 
54 , 2 , 34.900877 
55 , 2 , 35.957006 
56 , 2 , 37.654116 
57 , 2 , 34.436627 
58 , 2 , 36.445299 
59 , 2 , 31.631927 
60 , 2 , 36.277544 
61 , 2 , 34.543118 
62 , 2 , 33.752477 
63 , 2 , 35.628525 
64 , 2 , 34.722172 
65 , 2 , 35.768215 
66 , 2 , 31.548556 
67 , 2 , 36.003885 
68 , 2 , 32.023480 
69 , 2 , 33.344751 
70 , 2 , 35.860489 
71 , 2 , 33.250958 
72 , 2 , 34.074521 
73 , 2 , 34.980658 
74 , 2 , 32.584339 
75 , 2 , 31.143579 
76 , 2 , 39.216066 
77 , 2 , 32.290230 
78 , 2 , 36.095270 
79 , 2 , 36.295773 
80 , 2 , 34.375770 
81 , 2 , 33.422365 
82 , 2 , 32.520934 
83 , 2 , 34.362601 
84 , 2 , 35.751293 
85 , 2 , 34.386758 
86 , 2 , 37.840747 
87 , 2 , 35.014977 
88 , 2 , 36.207901 
89 , 2 , 37.367667 
90 , 2 , 37.358149 
91 , 2 , 35.326146 
92 , 2 , 36.582201 
93 , 2 , 38.436844 
94 , 2 , 35.799690 
95 , 2 , 32.430746 
96 , 2 , 36.891197 
97 , 2 , 33.378614 
98 , 2 , 37.759566 
99 , 2 , 33.930407 
100 , 2 , 31.739955 
101 , 2 , 33.272149 
102 , 2 , 38.379255 
103 , 2 , 31.851907 
104 , 2 , 33.046252 
105 , 2 , 32.073903 
106 , 2 , 29.526071 
107 , 2 , 38.300329 
108 , 2 , 33.708855 
109 , 2 , 31.900166 
110 , 2 , 37.935302 
111 , 2 , 36.109304 
112 , 2 , 31.918080 
113 , 2 , 33.097556 
114 , 2 , 34.389311 
115 , 2 , 31.894747 
116 , 2 , 33.675570 
117 , 2 , 32.873011 
118 , 2 , 34.690650 
119 , 2 , 34.676832 
120 , 2 , 30.098907 
121 , 2 , 31.249296 
122 , 2 , 31.442143 
123 , 2 , 34.732342 
124 , 2 , 37.657275 
125 , 2 , 37.597928 
126 , 2 , 38.313032 
127 , 2 , 35.356067 
