response time (ms), current time
59.939963, 470.308673
128.846491, 5011.556348
148.770713, 10001.345086
143.413323, 15003.095384
132.409001, 20003.416872
125.329744, 25001.550783
146.233305, 30004.453412
143.094464, 35002.923923
138.104499, 40000.903206
136.520541, 45002.377875
135.897222, 50001.339051
136.421865, 55003.430475
133.359987, 60000.518963
136.340406, 65000.967805
134.592423, 70029.956224
133.988771, 75007.205985
132.958694, 80003.467058
131.831284, 85000.932294
130.208105, 90000.902593
130.915134, 95006.606491
129.921178, 100002.598849
128.603935, 105000.776870
126.688469, 110004.594068
125.490378, 115000.752739
124.691649, 120003.200857
124.581250, 125004.755004
124.062926, 130005.156394
124.515612, 135000.244260
124.491761, 140000.035106
124.522778, 145002.039069
125.258418, 150000.020959
125.151780, 155001.593341
125.191158, 160000.788136
124.969250, 165001.303021
124.247893, 170000.727043
123.856411, 175003.066856
123.001808, 180001.735534
122.436218, 185000.271973
122.196600, 190019.018971
121.901103, 195000.522734
122.095682, 200000.706623
123.206208, 205003.657219
123.621537, 210000.838755
123.129068, 215006.549047
122.476853, 220000.693540
121.717632, 225006.755296
122.149480, 230000.986296
121.700309, 235008.561380
121.551340, 240008.381252
121.931564, 245000.216941
121.886774, 250002.891403
122.215807, 255007.880100
121.680199, 260004.908739
121.427952, 265001.484331
121.197637, 270001.765940
121.915565, 275004.994351
121.609454, 280001.285335
121.097284, 285000.885957
121.085237, 290004.373302
120.760110, 295004.939522
120.989837, 300001.212275
120.926068, 305011.413770
121.871577, 310000.980604
121.629041, 315001.326827
121.198116, 320007.465140
121.374717, 325009.577771
120.998365, 330000.730150
120.646712, 335003.325518
120.339949, 340002.162638
120.205501, 345002.418345
120.648440, 350005.225573
120.550619, 355001.658758
121.428183, 360002.948744
122.288533, 365001.112949
122.119418, 370002.690712
121.656082, 375001.717382
121.352666, 380000.875113
121.466331, 385013.533798
121.230981, 390001.992638
120.896847, 395000.231819
120.492303, 400008.628132
121.245898, 405001.907470
121.341383, 410000.625554
121.031006, 415003.191730
120.723703, 420015.875218
120.454672, 425012.111817
120.295965, 430001.278407
120.517766, 435001.262799
120.589364, 440002.511246
120.290115, 445008.753195
120.049457, 450006.068950
119.901484, 455002.903683
119.607059, 460000.779052
119.565964, 465004.710713
119.794567, 470000.573885
119.551305, 475000.614873
119.299481, 480002.156641
119.616487, 485001.497224
119.443233, 490004.189809
119.831394, 495001.939694
119.779020, 500001.835300
120.174635, 505002.370288
119.995586, 510001.003592
119.781447, 515000.918909
119.696110, 520000.722538
119.546993, 525000.033262
119.364401, 530003.035298
119.356469, 535001.616541
119.300089, 540003.413858
119.266590, 545000.503836
119.038265, 550003.066851
118.817535, 555001.188313
118.666709, 560000.236516
118.803806, 565004.217657
118.546498, 570001.749882
118.426224, 575001.826299
118.474498, 580005.578347
118.316750, 585016.429105
118.109668, 590000.086780
117.927286, 595003.017107
117.888437, 600004.527430
117.664277, 605002.815781
117.585035, 610000.243094
117.702156, 615000.615578
117.554812, 620001.852916
117.536326, 625002.170191
117.364645, 630000.322774
117.230887, 635002.057597
117.176201, 640000.010884
117.721778, 645001.961346
117.663493, 650000.604501
117.662194, 655000.164087
117.800006, 660004.518678
118.371190, 665000.651054
118.280778, 670000.626505
118.342088, 675004.648620
118.621186, 680000.582713
118.720881, 685013.228716
118.728878, 690004.034688
118.593389, 695000.504038
118.437856, 700000.983644
118.421530, 705001.253230
118.456602, 710003.929926
118.289333, 715006.170747
118.410798, 720000.280742
118.323299, 725013.766872
118.223052, 730006.606452
118.041094, 735000.333878
118.144266, 740006.977779
118.670584, 745003.050989
118.731925, 750001.195190
118.705556, 755000.513997
118.539111, 760000.306949
118.474976, 765000.015466
118.369420, 770000.589967
118.323289, 775003.448932
118.224145, 780001.027732
118.369477, 785002.651290
118.333021, 790003.722278
118.207300, 795005.249158
118.249065, 800004.281375
118.515381, 805000.614644
118.425527, 810001.310736
118.307014, 815000.317401
118.129208, 820001.003520
118.102473, 825002.154450
117.964321, 830002.793744
117.781230, 835001.121543
117.662266, 840000.394493
117.798335, 845004.302292
118.119646, 850005.333326
118.115564, 855000.432100
118.043385, 860002.901113
117.984167, 865000.786609
117.857019, 870002.127818
117.841072, 875000.089501
117.736829, 880004.646084
117.700716, 885000.856050
117.581013, 890006.277467
117.831644, 895000.318846
117.779586, 900004.136295
117.697686, 905000.465590
117.633386, 910000.959384
117.823645, 915001.816818
117.881323, 920001.637803
117.790394, 925000.385668
117.889059, 930001.105946
118.485376, 935000.972588
118.415878, 940005.037676
119.005290, 945009.321765
119.126422, 950000.916033
119.193625, 955005.835727
119.555779, 960001.780516
119.410020, 965005.420917
119.494546, 970000.331657
119.496673, 975000.648617
119.322540, 980002.008100
119.199515, 985000.173551
119.147786, 990001.096716
119.101890, 995006.312478
119.121473, 1000006.615901
119.041347, 1005008.048174
119.676251, 1010000.276480
120.113303, 1015006.352465
120.102774, 1020001.814387
120.172031, 1025001.794692
120.132658, 1030020.431633
120.041808, 1035006.984673
119.936338, 1040000.793487
119.910244, 1045005.610301
119.830720, 1050004.173333
119.817896, 1055001.806528
119.842179, 1060000.998373
121.388457, 1065004.397189
122.350375, 1070002.811214
122.435778, 1075006.982605
122.300375, 1080000.224184
122.241345, 1085001.284359
122.147962, 1090001.723982
122.060646, 1095001.273993
122.340169, 1100013.496646
122.724763, 1105003.318661
122.659768, 1110002.834501
122.605810, 1115004.952525
122.466598, 1120003.368641
122.393745, 1125000.625499
122.425535, 1130004.683554
122.685238, 1135001.153625
122.750760, 1140000.302983
122.626329, 1145007.017865
122.557794, 1150008.838597
122.413036, 1155000.607974
122.355512, 1160001.614605
122.818951, 1165000.421796
123.891298, 1170000.435672
123.985645, 1175000.203831
123.905148, 1180009.584945
123.776140, 1185001.616546
123.696937, 1190007.684315
123.654571, 1195003.324340
123.648365, 1200000.096951
123.650517, 1205001.542604
123.576869, 1210000.265010
123.461537, 1215001.574927
123.394123, 1220005.354017
123.282392, 1225001.284370
123.245757, 1230002.338841
123.295623, 1235002.041291
123.226622, 1240003.048188
123.370302, 1245010.824314
123.356970, 1250000.923950
123.409402, 1255001.237721
123.397546, 1260002.529862
123.285814, 1265012.802651
123.210721, 1270006.932016
123.174383, 1275004.784612
123.099754, 1280009.327106
123.093724, 1285001.433944
123.013731, 1290004.422352
122.992136, 1295001.728031
122.981629, 1300005.336903
123.152389, 1305002.697130
123.116605, 1310007.629108
123.094068, 1315001.445740
123.451742, 1320001.414931
124.705610, 1325003.487006
125.055406, 1330001.407205
125.006797, 1335000.162282
125.140584, 1340003.801763
125.128605, 1345000.388130
125.078627, 1350001.743688
124.972913, 1355003.646256
124.945468, 1360001.788036
124.973409, 1365001.901000
124.935742, 1370001.676745
124.883354, 1375000.946382
124.884675, 1380001.547685
124.830660, 1385009.076743
124.742983, 1390004.015081
124.597879, 1395001.839615
124.515708, 1400001.174566
124.533677, 1405001.547573
124.454802, 1410003.020191
124.373499, 1415005.923411
124.441063, 1420002.219132
124.361192, 1425004.320390
124.398133, 1430005.081348
124.303030, 1435011.792160
124.246835, 1440004.016486
124.374170, 1445000.885418
124.484072, 1450001.690481
124.429097, 1455002.315203
124.360672, 1460018.134330
124.273468, 1465002.711541
124.180762, 1470000.737164
124.127555, 1475005.140314
124.087511, 1480001.612045
124.027879, 1485011.539438
123.929087, 1490000.616774
123.942973, 1495008.268114
123.948276, 1500007.940209
123.856841, 1505002.760272
123.843991, 1510001.500380
123.775192, 1515002.144543
123.667294, 1520000.507440
123.577042, 1525006.915373
123.485526, 1530000.956981
123.429620, 1535001.490890
123.378015, 1540001.278246
123.306578, 1545002.486581
123.315374, 1550002.209760
123.292843, 1555009.951112
123.208193, 1560007.926893
123.122556, 1565000.235698
123.073326, 1570003.655266
123.206953, 1575001.082073
123.218743, 1580000.617155
123.129081, 1585001.358475
123.057313, 1590015.204162
122.993716, 1595003.603740
123.001249, 1600000.760025
123.094001, 1605004.512885
123.016082, 1610009.105745
122.913455, 1615000.740881
122.929016, 1620000.014466
122.914477, 1625006.950811
122.851882, 1630000.331302
122.762680, 1635004.539775
122.818509, 1640010.522575
122.728135, 1645005.383855
122.636999, 1650002.149823
122.601407, 1655000.315398
122.524793, 1660003.156229
122.441959, 1665000.958374
122.366028, 1670002.467131
122.291436, 1675002.841453
122.212027, 1680014.964922
122.207835, 1685000.212795
122.130657, 1690000.443844
122.068163, 1695000.096207
122.402883, 1700002.253747
122.415113, 1705002.772925
122.315502, 1710004.134869
122.441768, 1715008.749141
122.388457, 1720004.076206
122.317526, 1725004.631552
122.216436, 1730000.087181
122.145190, 1735003.212426
122.093006, 1740004.926538
122.015976, 1745002.786237
121.963477, 1750000.742145
121.892947, 1755000.064790
121.850405, 1760009.735162
121.807805, 1765001.724749
121.815490, 1770008.715747
121.737137, 1775000.443916
121.721803, 1780003.929258
122.169109, 1785001.703211
122.104245, 1790000.637030
122.044935, 1795001.737991
121.939988, 1800005.483261
121.840745, 1805003.086884
121.764737, 1810002.354303
121.758611, 1815002.154158
121.790156, 1820003.657033
121.760010, 1825002.824139
121.715418, 1830001.043397
121.638488, 1835001.346580
121.615595, 1840003.917251
121.541470, 1845001.219412
121.494805, 1850002.066323
121.429477, 1855003.035293
121.349869, 1860003.463780
121.381259, 1865005.571389
121.628307, 1870001.828936
121.588930, 1875001.117433
121.540448, 1880002.009392
121.476725, 1885002.644964
121.505288, 1890004.152608
121.489655, 1895006.803382
121.438415, 1900000.397684
121.376084, 1905004.536113
121.338715, 1910003.437618
121.313508, 1915003.201738
121.235218, 1920000.521773
121.174369, 1925001.220095
121.170396, 1930001.225258
121.171779, 1935002.383284
121.373650, 1940005.243595
121.382876, 1945000.390493
121.480199, 1950000.314187
121.466605, 1955001.785566
121.400178, 1960002.029341
121.376966, 1965005.549909
121.535531, 1970001.250246
121.613703, 1975002.980359
121.557090, 1980028.284967
121.563347, 1985004.823297
121.509801, 1990003.673510
121.435622, 1995005.147937
121.394486, 2000002.815055
121.579139, 2005000.436109
121.581626, 2010000.734157
121.542994, 2015000.844693
121.490435, 2020002.021230
121.615328, 2025010.936478
121.556234, 2030001.956500
121.519704, 2035000.226542
121.440026, 2040000.478850
121.366519, 2045000.728759
121.341371, 2050005.456974
121.318568, 2055000.565718
121.440684, 2060001.067219
121.409235, 2065000.405458
121.350580, 2070005.042827
121.276170, 2075003.217311
121.223047, 2080003.656287
121.202900, 2085002.881595
121.243774, 2090002.386678
121.226741, 2095007.852972
121.215346, 2100017.850117
121.358250, 2105000.575649
121.397587, 2110003.807386
121.353178, 2115007.686164
121.339083, 2120004.490334
121.333835, 2125001.611368
121.311440, 2130013.067235
121.445876, 2135001.583893
121.428691, 2140000.134007
121.368535, 2145006.178440
121.332256, 2150000.204665
121.301406, 2155000.511673
121.337969, 2160000.702155
121.420784, 2165017.886117
121.373528, 2170001.626432
121.319300, 2175005.330935
121.373552, 2180005.575629
121.366499, 2185000.455043
121.318414, 2190002.068591
121.257741, 2195000.505510
121.187858, 2200000.301511
121.137220, 2205009.899536
121.075004, 2210000.114457
121.094133, 2215000.533993
121.029006, 2220007.446035
120.988518, 2225004.938557
121.036197, 2230011.921325
121.125134, 2235005.234675
121.080628, 2240002.887357
121.050997, 2245002.841816
120.970702, 2250000.390103
120.952154, 2255005.529061
120.907889, 2260003.378871
120.851440, 2265006.544910
120.812216, 2270003.481605
120.792686, 2275000.750762
120.746702, 2280001.928569
120.679355, 2285007.048071
120.678950, 2290000.144626
120.639109, 2295001.710992
120.655080, 2300003.053135
120.733854, 2305001.471578
120.661103, 2310005.581020
120.633081, 2315004.676808
120.574220, 2320004.084920
120.548057, 2325006.385226
120.683275, 2330002.171375
121.136810, 2335001.809588
121.111354, 2340000.633437
121.052605, 2345000.435624
121.039672, 2350008.324626
120.980676, 2355002.508465
121.002915, 2360000.641155
121.019816, 2365001.893573
120.965863, 2370005.053475
120.914859, 2375002.683550
121.250051, 2380001.427490
121.255318, 2385002.142673
121.240076, 2390003.374850
121.297759, 2395000.094846
121.253469, 2400001.551117
121.267846, 2405001.559453
121.243897, 2410002.319986
121.207569, 2415000.390457
121.252574, 2420002.759764
121.174123, 2425001.762808
121.126635, 2430004.555748
121.076910, 2435001.541347
121.023905, 2440003.429331
121.138628, 2445003.012435
121.629800, 2450001.067638
121.609242, 2455003.086253
121.568605, 2460000.011265
121.526537, 2465004.734418
121.543561, 2470000.626650
121.497500, 2475001.671172
121.501664, 2480003.597118
121.692136, 2485008.019156
121.692781, 2490005.258371
121.685305, 2495008.996950
121.653841, 2500000.853917
121.699144, 2505001.047820
121.668022, 2510004.287142
121.637710, 2515001.150003
121.582596, 2520005.394325
121.784303, 2525002.552391
121.873473, 2530000.776932
121.813385, 2535000.395067
121.830374, 2540000.807484
121.827989, 2545006.669657
121.765053, 2550002.563412
121.812340, 2555000.004594
121.756622, 2560001.513305
121.713372, 2565001.189970
121.673647, 2570000.309043
121.675784, 2575003.581356
121.632386, 2580001.725254
121.665805, 2585004.283490
121.645043, 2590002.680475
121.594533, 2595000.427197
121.562604, 2600001.831539
121.537619, 2605000.156951
121.499997, 2610002.546875
121.437375, 2615000.412658
121.411660, 2620003.477323
121.373465, 2625001.270943
121.369458, 2630004.530464
121.405777, 2635006.785840
121.367565, 2640001.032897
