response time (ms), current time 
188.112739 , 3599988.153462, 1973809880.000000
181.139373 , 3599990.612277, 1640398394.000000
185.934197 , 3599996.836309, 1742129839.000000
181.797562 , 3599995.938410, 1279602511.000000
180.770050 , 3599994.088959, 951220162.000000
186.830475 , 3599977.240070, 2145379648.000000
184.410060 , 3599989.732117, 1852541758.000000
178.234787 , 3599981.135025, 1517663530.000000
185.485762 , 3599975.138230, 2143924824.000000
179.707565 , 3599966.492132, 2100287331.000000
188.333758 , 3599972.590881, 2144733832.000000
184.203679 , 3599967.839028, 1923139137.000000
186.699008 , 3599950.181298, 2139419009.000000
188.970376 , 3599999.088017, 500900057.000000
184.209356 , 3599932.286635, 2117729575.000000
188.017852 , 3599987.435291, 2086262981.000000
182.770160 , 3599978.397963, 1930404504.000000
185.236455 , 3599997.190729, 550564786.000000
189.121682 , 3599999.821480, 823487239.000000
181.446474 , 3599976.383322, 1807986323.000000
184.571169 , 3599960.255065, 2144557737.000000
187.336150 , 3599996.005395, 1422371651.000000
183.173058 , 3599999.340037, 1713019692.000000
183.140583 , 3599982.742762, 1617880579.000000
182.209471 , 3599984.565206, 1527058549.000000
183.204719 , 3599999.543470, 1657973722.000000
187.542309 , 3599958.561920, 1997888892.000000
184.247044 , 3599990.608705, 1022969630.000000
186.556731 , 3599995.196909, 1898127455.000000
186.953941 , 3599988.387438, 1120803576.000000
190.938568 , 3599997.421126, 744563611.000000
186.394916 , 3599995.225477, 1100008269.000000
187.661992 , 3599978.647515, 1870940972.000000
184.789427 , 3599998.947787, 1531870294.000000
188.246529 , 3599995.671982, 1244033499.000000
191.009624 , 3599976.658865, 1711144161.000000
181.350120 , 3599996.268939, 1001574371.000000
182.784313 , 3599978.578400, 1890423246.000000
185.822547 , 3599997.628425, 2135515964.000000
184.918604 , 3599994.905275, 1076346555.000000
183.030087 , 3599991.937966, 1729325465.000000
180.461352 , 3599980.503450, 2004555471.000000
191.347901 , 3599984.918355, 1752343568.000000
184.124343 , 3599998.726573, 441723761.000000
184.777837 , 3599982.883379, 2087133123.000000
186.242646 , 3599996.710051, 1925295297.000000
190.236096 , 3599963.948833, 1926404904.000000
188.034785 , 3599967.657998, 2008891730.000000
186.473048 , 3599968.008726, 1971764154.000000
185.254968 , 3599980.564257, 2077424300.000000
185.177417 , 3599989.220076, 1944091347.000000
184.633272 , 3599998.125201, 1066007173.000000
186.700942 , 3599956.213440, 2130544730.000000
185.419078 , 3599992.646091, 1027618115.000000
193.537288 , 3599965.704373, 2103017727.000000
192.298742 , 3599995.845893, 694278220.000000
179.622436 , 3599995.331537, 655254067.000000
186.411825 , 3599990.659164, 1762545947.000000
184.881234 , 3599992.361747, 896365568.000000
186.148010 , 3599990.556539, 2116422464.000000
185.632461 , 3599980.807843, 1695978768.000000
187.316667 , 3599987.654191, 1822557033.000000
187.910021 , 3599986.437411, 1859756794.000000
182.258977 , 3599987.476251, 1243780190.000000
183.309102 , 3599982.587809, 1563691774.000000
186.997865 , 3599996.113941, 713675972.000000
194.074362 , 3599993.832431, 951445664.000000
187.539820 , 3599962.512385, 2020885093.000000
187.547396 , 3599970.146115, 1837712773.000000
184.740505 , 3599993.645719, 1878099174.000000
185.431519 , 3599990.628445, 1603940160.000000
184.361625 , 3599996.369647, 1102769426.000000
188.425732 , 3599996.427935, 1909030907.000000
186.728655 , 3599977.746311, 1955706005.000000
183.097110 , 3599982.436470, 1690773755.000000
188.053987 , 3599990.830744, 2004891656.000000
185.583065 , 3599962.896093, 2064689847.000000
181.466071 , 3599985.602145, 1360217393.000000
184.978445 , 3599911.365117, 2141281695.000000
184.565715 , 3599983.465022, 1420041178.000000
