arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 209929.000000 , 209929.000000 , 0.000000 , 17.148599 , 10.013149 , 0.000000 , 10.013160 , 0.058314 , 0.099869 , 0.058314 , 0.932293 , 0.583905 , 0.000000 
 210026.000000 , 210026.000000 , 0.000000 , 17.140690 , 10.064326 , 0.000000 , 10.064326 , 0.058341 , 0.099361 , 0.058341 , 0.931495 , 0.587160 , 0.000000 
 209716.000000 , 209716.000000 , 0.000000 , 17.166057 , 9.997862 , 0.000000 , 9.997862 , 0.058254 , 0.100021 , 0.058254 , 0.932108 , 0.582420 , 0.000000 
 209532.000000 , 209532.000000 , 0.000000 , 17.181127 , 9.996560 , 0.000000 , 9.996560 , 0.058203 , 0.100034 , 0.058203 , 0.931850 , 0.581834 , 0.000000 
 209469.000000 , 209469.000000 , 0.000000 , 17.186286 , 10.017319 , 0.000000 , 10.017320 , 0.058186 , 0.099827 , 0.058186 , 0.931673 , 0.582867 , 0.000000 
 209531.000000 , 209531.000000 , 0.000000 , 17.181120 , 9.989569 , 0.000000 , 9.989569 , 0.058203 , 0.100104 , 0.058203 , 0.931820 , 0.581427 , 0.000000 
 209708.000000 , 209708.000000 , 0.000000 , 17.166678 , 9.969876 , 0.000000 , 9.969876 , 0.058252 , 0.100302 , 0.058252 , 0.931501 , 0.580769 , 0.000000 
 209247.000000 , 209247.000000 , 0.000000 , 17.204458 , 9.986527 , 0.000000 , 9.986527 , 0.058124 , 0.100135 , 0.058124 , 0.931676 , 0.580462 , 0.000000 
 209750.000000 , 209750.000000 , 0.000000 , 17.163171 , 10.022335 , 0.000000 , 10.022366 , 0.058264 , 0.099777 , 0.058264 , 0.930692 , 0.583946 , 0.000000 
 208874.000000 , 208874.000000 , 0.000000 , 17.235111 , 10.025682 , 0.000000 , 10.025682 , 0.058021 , 0.099744 , 0.058021 , 0.932836 , 0.581701 , 0.000000 
 209629.000000 , 209629.000000 , 0.000000 , 17.173066 , 9.974705 , 0.000000 , 9.974705 , 0.058231 , 0.100254 , 0.058231 , 0.931523 , 0.580834 , 0.000000 
 209938.000000 , 209938.000000 , 0.000000 , 17.147767 , 9.966558 , 0.000000 , 9.966617 , 0.058317 , 0.100335 , 0.058317 , 0.932598 , 0.581220 , 0.000000 
 209573.000000 , 209573.000000 , 0.000000 , 17.177548 , 9.942338 , 0.000000 , 9.942446 , 0.058216 , 0.100579 , 0.058216 , 0.932480 , 0.578805 , 0.000000 
 210315.000000 , 210315.000000 , 0.000000 , 17.117177 , 10.004246 , 0.000000 , 10.004246 , 0.058421 , 0.099958 , 0.058421 , 0.931756 , 0.584457 , 0.000000 
 209859.000000 , 209859.000000 , 0.000000 , 17.154052 , 10.014821 , 0.000000 , 10.014821 , 0.058295 , 0.099852 , 0.058295 , 0.932773 , 0.583817 , 0.000000 
 209813.000000 , 209813.000000 , 0.000000 , 17.158076 , 10.015656 , 0.000000 , 10.015780 , 0.058282 , 0.099842 , 0.058282 , 0.932589 , 0.583736 , 0.000000 
 209547.000000 , 209547.000000 , 0.000000 , 17.179814 , 10.019827 , 0.000000 , 10.020011 , 0.058208 , 0.099800 , 0.058208 , 0.931933 , 0.583243 , 0.000000 
 210175.000000 , 210175.000000 , 0.000000 , 17.128570 , 10.002190 , 0.000000 , 10.002200 , 0.058382 , 0.099978 , 0.058382 , 0.932164 , 0.583948 , 0.000000 
 210430.000000 , 210430.000000 , 0.000000 , 17.107826 , 9.992706 , 0.000000 , 9.992706 , 0.058453 , 0.100073 , 0.058453 , 0.932108 , 0.584101 , 0.000000 
 209286.000000 , 209286.000000 , 0.000000 , 17.201229 , 10.029450 , 0.000000 , 10.029450 , 0.058135 , 0.099706 , 0.058135 , 0.932630 , 0.583066 , 0.000000 
 209985.000000 , 209985.000000 , 0.000000 , 17.143892 , 10.028667 , 0.000000 , 10.028667 , 0.058330 , 0.099714 , 0.058330 , 0.931441 , 0.584970 , 0.000000 
 209657.000000 , 209657.000000 , 0.000000 , 17.170884 , 9.996974 , 0.000000 , 9.997240 , 0.058238 , 0.100028 , 0.058238 , 0.932082 , 0.582220 , 0.000000 
 209807.000000 , 209807.000000 , 0.000000 , 17.158624 , 9.991462 , 0.000000 , 9.991496 , 0.058280 , 0.100085 , 0.058280 , 0.932157 , 0.582302 , 0.000000 
 209570.000000 , 209570.000000 , 0.000000 , 17.177949 , 10.018314 , 0.000000 , 10.018314 , 0.058214 , 0.099817 , 0.058214 , 0.932483 , 0.583208 , 0.000000 
 209484.000000 , 209484.000000 , 0.000000 , 17.185010 , 9.979852 , 0.000000 , 9.979860 , 0.058190 , 0.100202 , 0.058190 , 0.932254 , 0.580731 , 0.000000 
 209482.000000 , 209482.000000 , 0.000000 , 17.185245 , 9.995617 , 0.000000 , 9.995617 , 0.058189 , 0.100044 , 0.058189 , 0.932631 , 0.581639 , 0.000000 
 209157.000000 , 209157.000000 , 0.000000 , 17.211753 , 9.999807 , 0.000000 , 9.999807 , 0.058100 , 0.100002 , 0.058100 , 0.932155 , 0.580987 , 0.000000 
 209846.000000 , 209846.000000 , 0.000000 , 17.155393 , 9.976581 , 0.000000 , 9.976581 , 0.058291 , 0.100235 , 0.058291 , 0.931887 , 0.581542 , 0.000000 
 209626.000000 , 209626.000000 , 0.000000 , 17.173419 , 10.006954 , 0.000000 , 10.007031 , 0.058230 , 0.099930 , 0.058230 , 0.932741 , 0.582705 , 0.000000 
 209735.000000 , 209735.000000 , 0.000000 , 17.164462 , 9.988367 , 0.000000 , 9.988367 , 0.058260 , 0.100116 , 0.058260 , 0.933039 , 0.581921 , 0.000000 
 209703.000000 , 209703.000000 , 0.000000 , 17.167124 , 9.982444 , 0.000000 , 9.982444 , 0.058251 , 0.100176 , 0.058251 , 0.931939 , 0.581486 , 0.000000 
 210038.000000 , 210038.000000 , 0.000000 , 17.139733 , 10.010013 , 0.000000 , 10.010013 , 0.058344 , 0.099900 , 0.058344 , 0.931875 , 0.584024 , 0.000000 
 209926.000000 , 209926.000000 , 0.000000 , 17.148798 , 9.984722 , 0.000000 , 9.984830 , 0.058313 , 0.100152 , 0.058313 , 0.931551 , 0.582247 , 0.000000 
 209870.000000 , 209870.000000 , 0.000000 , 17.153471 , 10.012548 , 0.000000 , 10.012548 , 0.058297 , 0.099875 , 0.058297 , 0.933150 , 0.583704 , 0.000000 
 210554.000000 , 210554.000000 , 0.000000 , 17.097731 , 9.989788 , 0.000000 , 9.989788 , 0.058487 , 0.100102 , 0.058487 , 0.932480 , 0.584276 , 0.000000 
