arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225175.000000 , 225175.000000 , 1.000000 , 15.987513 , 19.180846 , 4.227654 , 14.953474 , 0.062549 , 0.066874 , 0.062549 , 1.000000 , 0.467661 , 0.000000 
 225472.000000 , 225472.000000 , 0.000000 , 15.966464 , 19.104214 , 4.135065 , 14.969411 , 0.062631 , 0.066803 , 0.062631 , 1.000000 , 0.468777 , 0.000000 
 224991.000000 , 224991.000000 , 0.000000 , 16.000626 , 19.265670 , 4.233983 , 15.031734 , 0.062498 , 0.066526 , 0.062498 , 1.000000 , 0.469723 , 0.000000 
 224856.000000 , 224856.000000 , 3.000000 , 16.010228 , 19.209734 , 4.215326 , 14.994460 , 0.062460 , 0.066691 , 0.062460 , 1.000000 , 0.468278 , 0.000000 
 224831.000000 , 224831.000000 , 0.000000 , 16.012001 , 19.100274 , 4.139406 , 14.960925 , 0.062453 , 0.066841 , 0.062453 , 1.000000 , 0.467178 , 0.000000 
 224862.000000 , 224862.000000 , 4.000000 , 16.009718 , 19.354580 , 4.325630 , 15.029072 , 0.062462 , 0.066538 , 0.062462 , 1.000000 , 0.469373 , 0.000000 
 225129.000000 , 225129.000000 , 5.000000 , 15.990786 , 19.338089 , 4.291294 , 15.046839 , 0.062536 , 0.066459 , 0.062536 , 1.000000 , 0.470485 , 0.000000 
 224592.000000 , 224592.000000 , 1.000000 , 16.028982 , 19.272394 , 4.262390 , 15.010070 , 0.062387 , 0.066622 , 0.062387 , 1.000000 , 0.468217 , 0.000000 
 225370.000000 , 225370.000000 , 1.000000 , 15.973622 , 19.146762 , 4.178088 , 14.968716 , 0.062603 , 0.066806 , 0.062603 , 1.000000 , 0.468545 , 0.000000 
 223913.000000 , 223913.000000 , 0.000000 , 16.077523 , 19.225800 , 4.155107 , 15.070716 , 0.062199 , 0.066354 , 0.062199 , 1.000000 , 0.468689 , 0.000000 
 225039.000000 , 225039.000000 , 0.000000 , 15.997105 , 19.223051 , 4.214162 , 15.008966 , 0.062511 , 0.066627 , 0.062511 , 1.000000 , 0.469115 , 0.000000 
 225111.000000 , 225111.000000 , 0.000000 , 15.991968 , 19.108738 , 4.144878 , 14.964034 , 0.062531 , 0.066827 , 0.062531 , 1.000000 , 0.467861 , 0.000000 
 224748.000000 , 224748.000000 , 0.000000 , 16.017718 , 19.268696 , 4.258211 , 15.010556 , 0.062431 , 0.066620 , 0.062431 , 1.000000 , 0.468561 , 0.000000 
 225719.000000 , 225719.000000 , 2.000000 , 15.949030 , 19.325963 , 4.281216 , 15.044963 , 0.062700 , 0.066467 , 0.062700 , 1.000000 , 0.471658 , 0.000000 
 224984.000000 , 224984.000000 , 0.000000 , 16.000837 , 19.084194 , 4.138229 , 14.946038 , 0.062497 , 0.066907 , 0.062497 , 1.000000 , 0.467039 , 0.000000 
 224979.000000 , 224979.000000 , 1.000000 , 16.001438 , 19.259655 , 4.224883 , 15.034846 , 0.062494 , 0.066512 , 0.062494 , 1.000000 , 0.469797 , 0.000000 
 224852.000000 , 224852.000000 , 0.000000 , 16.010435 , 19.284631 , 4.268057 , 15.016646 , 0.062459 , 0.066593 , 0.062459 , 1.000000 , 0.468964 , 0.000000 
 225470.000000 , 225470.000000 , 0.000000 , 15.966635 , 19.291022 , 4.289224 , 15.001986 , 0.062631 , 0.066658 , 0.062631 , 1.000000 , 0.469792 , 0.000000 
 225757.000000 , 225757.000000 , 1.000000 , 15.946349 , 19.100303 , 4.165816 , 14.934709 , 0.062710 , 0.066958 , 0.062710 , 1.000000 , 0.468280 , 0.000000 
 224404.000000 , 224404.000000 , 0.000000 , 16.042390 , 19.155367 , 4.173578 , 14.981827 , 0.062335 , 0.066748 , 0.062335 , 1.000000 , 0.466945 , 0.000000 
 225441.000000 , 225441.000000 , 0.000000 , 15.968525 , 19.306378 , 4.294894 , 15.011617 , 0.062623 , 0.066615 , 0.062623 , 1.000000 , 0.470038 , 0.000000 
 224934.000000 , 224934.000000 , 1.000000 , 16.004677 , 19.226175 , 4.229055 , 14.997153 , 0.062482 , 0.066679 , 0.062482 , 1.000000 , 0.468524 , 0.000000 
 225077.000000 , 225077.000000 , 0.000000 , 15.994523 , 19.111258 , 4.145982 , 14.965400 , 0.062521 , 0.066821 , 0.062521 , 1.000000 , 0.467829 , 0.000000 
 224744.000000 , 224744.000000 , 0.000000 , 16.018148 , 19.214340 , 4.225995 , 14.988396 , 0.062429 , 0.066718 , 0.062429 , 1.000000 , 0.467857 , 0.000000 
 224707.000000 , 224707.000000 , 0.000000 , 16.020794 , 19.405952 , 4.330247 , 15.075749 , 0.062419 , 0.066332 , 0.062419 , 1.000000 , 0.470506 , 0.000000 
 224614.000000 , 224614.000000 , 0.000000 , 16.027494 , 19.135645 , 4.161157 , 14.974628 , 0.062393 , 0.066780 , 0.062393 , 1.000000 , 0.467154 , 0.000000 
 224380.000000 , 224380.000000 , 0.000000 , 16.044026 , 19.158336 , 4.153970 , 15.004495 , 0.062328 , 0.066647 , 0.062328 , 1.000000 , 0.467604 , 0.000000 
 225184.000000 , 225184.000000 , 3.000000 , 15.986885 , 19.241175 , 4.234260 , 15.007026 , 0.062551 , 0.066635 , 0.062551 , 1.000000 , 0.469354 , 0.000000 
 224742.000000 , 224742.000000 , 0.000000 , 16.018346 , 19.102283 , 4.146619 , 14.955689 , 0.062428 , 0.066864 , 0.062428 , 1.000000 , 0.466830 , 0.000000 
 224787.000000 , 224787.000000 , 0.000000 , 16.015109 , 19.118549 , 4.121423 , 14.997194 , 0.062441 , 0.066679 , 0.062441 , 1.000000 , 0.468220 , 0.000000 
 225018.000000 , 225018.000000 , 0.000000 , 15.998709 , 19.447940 , 4.394000 , 15.053957 , 0.062505 , 0.066428 , 0.062505 , 1.000000 , 0.470474 , 0.000000 
 225393.000000 , 225393.000000 , 0.000000 , 15.972081 , 19.218912 , 4.208815 , 15.010248 , 0.062609 , 0.066621 , 0.062609 , 1.000000 , 0.469890 , 0.000000 
 225351.000000 , 225351.000000 , 1.000000 , 15.974984 , 19.322996 , 4.283423 , 15.039628 , 0.062598 , 0.066491 , 0.062598 , 1.000000 , 0.470724 , 0.000000 
 224905.000000 , 224905.000000 , 1.000000 , 16.006754 , 19.125835 , 4.119596 , 15.006369 , 0.062474 , 0.066638 , 0.062474 , 1.000000 , 0.468751 , 0.000000 
 225800.000000 , 225800.000000 , 0.000000 , 15.943293 , 19.385465 , 4.349231 , 15.036386 , 0.062722 , 0.066505 , 0.062722 , 1.000000 , 0.471558 , 0.000000 
 224512.000000 , 224512.000000 , 0.000000 , 16.034674 , 19.083016 , 4.100880 , 14.982196 , 0.062365 , 0.066746 , 0.062365 , 1.000000 , 0.467181 , 0.000000 
 224964.000000 , 224964.000000 , 7.000000 , 16.002544 , 19.205652 , 4.232260 , 14.973405 , 0.062490 , 0.066785 , 0.062490 , 1.000000 , 0.467845 , 0.000000 
 224664.000000 , 224664.000000 , 0.000000 , 16.023834 , 19.155357 , 4.115441 , 15.040029 , 0.062407 , 0.066489 , 0.062407 , 1.000000 , 0.469302 , 0.000000 
 225020.000000 , 225020.000000 , 0.000000 , 15.998567 , 19.195198 , 4.233996 , 14.961206 , 0.062506 , 0.066840 , 0.062506 , 1.000000 , 0.467580 , 0.000000 
 225855.000000 , 225855.000000 , 2.000000 , 15.939408 , 19.134391 , 4.177130 , 14.957309 , 0.062738 , 0.066857 , 0.062738 , 1.000000 , 0.469193 , 0.000000 
 225322.000000 , 225322.000000 , 0.000000 , 15.977099 , 19.170626 , 4.184662 , 14.986127 , 0.062590 , 0.066728 , 0.062590 , 1.000000 , 0.468988 , 0.000000 
 224694.000000 , 224694.000000 , 0.000000 , 16.021703 , 19.138013 , 4.140286 , 14.997853 , 0.062415 , 0.066676 , 0.062415 , 1.000000 , 0.468048 , 0.000000 
 226048.000000 , 226048.000000 , 1.000000 , 15.925754 , 19.301862 , 4.288472 , 15.013497 , 0.062791 , 0.066607 , 0.062791 , 1.000000 , 0.471359 , 0.000000 
 224935.000000 , 224935.000000 , 2.000000 , 16.004618 , 19.133982 , 4.157849 , 14.976451 , 0.062482 , 0.066771 , 0.062482 , 1.000000 , 0.467879 , 0.000000 
 225145.000000 , 225145.000000 , 2.000000 , 15.989620 , 19.251915 , 4.225920 , 15.026139 , 0.062541 , 0.066551 , 0.062541 , 1.000000 , 0.469872 , 0.000000 
 224427.000000 , 224427.000000 , 0.000000 , 16.040836 , 19.194768 , 4.230143 , 14.964651 , 0.062341 , 0.066824 , 0.062341 , 1.000000 , 0.466455 , 0.000000 
 225285.000000 , 225285.000000 , 0.000000 , 15.979599 , 19.253095 , 4.237508 , 15.015601 , 0.062580 , 0.066597 , 0.062580 , 1.000000 , 0.469837 , 0.000000 
 224807.000000 , 224807.000000 , 3.000000 , 16.013592 , 19.257374 , 4.227789 , 15.029956 , 0.062447 , 0.066534 , 0.062447 , 1.000000 , 0.469287 , 0.000000 
 224640.000000 , 224640.000000 , 2.000000 , 16.025499 , 19.134389 , 4.116663 , 15.017922 , 0.062401 , 0.066587 , 0.062401 , 1.000000 , 0.468563 , 0.000000 
 225133.000000 , 225133.000000 , 0.000000 , 15.990461 , 19.180375 , 4.197096 , 14.983434 , 0.062537 , 0.066740 , 0.062537 , 1.000000 , 0.468512 , 0.000000 
 224768.000000 , 224768.000000 , 0.000000 , 16.016467 , 19.311675 , 4.299323 , 15.012404 , 0.062436 , 0.066612 , 0.062436 , 1.000000 , 0.468655 , 0.000000 
 225435.000000 , 225435.000000 , 0.000000 , 15.969118 , 19.052968 , 4.089973 , 14.963043 , 0.062621 , 0.066831 , 0.062621 , 1.000000 , 0.468499 , 0.000000 
 224616.000000 , 224616.000000 , 0.000000 , 16.027158 , 19.191299 , 4.208548 , 14.982753 , 0.062394 , 0.066743 , 0.062394 , 1.000000 , 0.467418 , 0.000000 
 225334.000000 , 225334.000000 , 0.000000 , 15.976251 , 19.179729 , 4.228205 , 14.951538 , 0.062593 , 0.066883 , 0.062593 , 1.000000 , 0.467930 , 0.000000 
 226682.000000 , 226682.000000 , 1.000000 , 15.881127 , 19.250353 , 4.248109 , 15.002291 , 0.062968 , 0.066656 , 0.062968 , 1.000000 , 0.472331 , 0.000000 
 226175.000000 , 226175.000000 , 2.000000 , 15.916860 , 19.341389 , 4.312960 , 15.028541 , 0.062826 , 0.066540 , 0.062826 , 1.000000 , 0.472095 , 0.000000 
 224767.000000 , 224767.000000 , 0.000000 , 16.016565 , 19.208318 , 4.211344 , 14.997164 , 0.062435 , 0.066679 , 0.062435 , 1.000000 , 0.468177 , 0.000000 
 224529.000000 , 224529.000000 , 0.000000 , 16.033522 , 19.042094 , 4.107820 , 14.934368 , 0.062369 , 0.066960 , 0.062369 , 1.000000 , 0.465723 , 0.000000 
 224507.000000 , 224507.000000 , 0.000000 , 16.035101 , 19.255572 , 4.246648 , 15.008976 , 0.062363 , 0.066627 , 0.062363 , 1.000000 , 0.468004 , 0.000000 
 225554.000000 , 225554.000000 , 0.000000 , 15.960659 , 19.196053 , 4.216487 , 14.979734 , 0.062654 , 0.066757 , 0.062654 , 1.000000 , 0.469271 , 0.000000 
 225665.000000 , 225665.000000 , 0.000000 , 15.952765 , 19.309012 , 4.325363 , 14.983685 , 0.062685 , 0.066739 , 0.062685 , 1.000000 , 0.469627 , 0.000000 
 224758.000000 , 224758.000000 , 0.000000 , 16.017172 , 19.132267 , 4.181242 , 14.951094 , 0.062433 , 0.066885 , 0.062433 , 1.000000 , 0.466721 , 0.000000 
 225098.000000 , 225098.000000 , 2.000000 , 15.992974 , 19.142517 , 4.164754 , 14.977880 , 0.062527 , 0.066765 , 0.062527 , 1.000000 , 0.468264 , 0.000000 
 225446.000000 , 225446.000000 , 1.000000 , 15.968292 , 19.190186 , 4.204746 , 14.985754 , 0.062624 , 0.066730 , 0.062624 , 1.000000 , 0.469235 , 0.000000 
 225100.000000 , 225100.000000 , 1.000000 , 15.992815 , 19.184730 , 4.215500 , 14.969280 , 0.062528 , 0.066803 , 0.062528 , 1.000000 , 0.468000 , 0.000000 
 225438.000000 , 225438.000000 , 0.000000 , 15.968897 , 19.256772 , 4.218694 , 15.038143 , 0.062622 , 0.066498 , 0.062622 , 1.000000 , 0.470857 , 0.000000 
 225596.000000 , 225596.000000 , 1.000000 , 15.957702 , 19.197657 , 4.221311 , 14.976406 , 0.062666 , 0.066772 , 0.062666 , 1.000000 , 0.469253 , 0.000000 
 224231.000000 , 224231.000000 , 0.000000 , 16.054705 , 19.203221 , 4.197406 , 15.005893 , 0.062287 , 0.066640 , 0.062287 , 1.000000 , 0.467336 , 0.000000 
 224996.000000 , 224996.000000 , 0.000000 , 16.000152 , 19.092740 , 4.131575 , 14.961173 , 0.062499 , 0.066840 , 0.062499 , 1.000000 , 0.467532 , 0.000000 
 223601.000000 , 223601.000000 , 0.000000 , 16.100078 , 19.203230 , 4.216465 , 14.986773 , 0.062111 , 0.066726 , 0.062111 , 1.000000 , 0.465425 , 0.000000 
 224911.000000 , 224911.000000 , 0.000000 , 16.006290 , 19.420106 , 4.377089 , 15.043141 , 0.062475 , 0.066475 , 0.062475 , 1.000000 , 0.469913 , 0.000000 
 224993.000000 , 224993.000000 , 1.000000 , 16.000482 , 19.145876 , 4.145799 , 15.000192 , 0.062498 , 0.066666 , 0.062498 , 1.000000 , 0.468742 , 0.000000 
