arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 209931.000000 , 209931.000000 , 0.000000 , 17.148435 , 38.395372 , 3.360804 , 35.035059 , 0.058314 , 0.028543 , 0.028543 , 0.456329 , 0.510762 , 0.000000 
 210029.000000 , 210029.000000 , 0.000000 , 17.140445 , 38.101776 , 3.222035 , 34.880389 , 0.058342 , 0.028669 , 0.028669 , 0.457749 , 0.508744 , 0.000000 
 209719.000000 , 209719.000000 , 0.000000 , 17.165812 , 38.300377 , 3.231095 , 35.069440 , 0.058255 , 0.028515 , 0.028515 , 0.456256 , 0.510745 , 0.000000 
 209533.000000 , 209533.000000 , 0.000000 , 17.181045 , 38.271124 , 3.237352 , 35.033879 , 0.058204 , 0.028544 , 0.028544 , 0.456993 , 0.509775 , 0.000000 
 209471.000000 , 209471.000000 , 0.000000 , 17.186122 , 38.145332 , 3.181950 , 34.963488 , 0.058186 , 0.028601 , 0.028601 , 0.457963 , 0.508601 , 0.000000 
 209532.000000 , 209532.000000 , 0.000000 , 17.181038 , 38.087148 , 3.184127 , 34.903195 , 0.058204 , 0.028651 , 0.028651 , 0.458689 , 0.507874 , 0.000000 
 209711.000000 , 209711.000000 , 0.000000 , 17.166433 , 37.998993 , 3.078952 , 34.920498 , 0.058253 , 0.028636 , 0.028636 , 0.457920 , 0.508558 , 0.000000 
 209250.000000 , 209250.000000 , 0.000000 , 17.204211 , 38.032588 , 3.079870 , 34.953027 , 0.058125 , 0.028610 , 0.028610 , 0.458586 , 0.507914 , 0.000000 
 209752.000000 , 209752.000000 , 0.000000 , 17.163007 , 37.988094 , 3.131098 , 34.857507 , 0.058265 , 0.028688 , 0.028688 , 0.458255 , 0.507742 , 0.000000 
 208875.000000 , 208875.000000 , 0.000000 , 17.235028 , 37.998504 , 3.051882 , 34.946764 , 0.058021 , 0.028615 , 0.028615 , 0.460058 , 0.506915 , 0.000000 
 209631.000000 , 209631.000000 , 0.000000 , 17.172902 , 38.318464 , 3.256173 , 35.062651 , 0.058231 , 0.028520 , 0.028520 , 0.456243 , 0.510436 , 0.000000 
 209938.000000 , 209938.000000 , 0.000000 , 17.147767 , 38.351321 , 3.198654 , 35.152667 , 0.058317 , 0.028447 , 0.028447 , 0.454929 , 0.512496 , 0.000000 
 209574.000000 , 209574.000000 , 0.000000 , 17.177466 , 38.279866 , 3.261223 , 35.018968 , 0.058216 , 0.028556 , 0.028556 , 0.457401 , 0.509664 , 0.000000 
 210318.000000 , 210318.000000 , 0.000000 , 17.116933 , 38.177971 , 3.202298 , 34.976081 , 0.058422 , 0.028591 , 0.028591 , 0.455998 , 0.510840 , 0.000000 
 209861.000000 , 209861.000000 , 0.000000 , 17.153889 , 38.161015 , 3.199660 , 34.961656 , 0.058296 , 0.028603 , 0.028603 , 0.457668 , 0.509530 , 0.000000 
 209813.000000 , 209813.000000 , 0.000000 , 17.158076 , 37.992874 , 3.101425 , 34.891449 , 0.058282 , 0.028660 , 0.028660 , 0.458606 , 0.508382 , 0.000000 
 209547.000000 , 209547.000000 , 0.000000 , 17.179814 , 38.091673 , 3.153050 , 34.938623 , 0.058208 , 0.028622 , 0.028622 , 0.458245 , 0.508426 , 0.000000 
 210176.000000 , 210176.000000 , 0.000000 , 17.128488 , 38.264523 , 3.221382 , 35.043227 , 0.058382 , 0.028536 , 0.028536 , 0.455627 , 0.511476 , 0.000000 
 210433.000000 , 210433.000000 , 0.000000 , 17.107582 , 38.449996 , 3.321279 , 35.128908 , 0.058454 , 0.028467 , 0.028467 , 0.453938 , 0.513353 , 0.000000 
 209287.000000 , 209287.000000 , 0.000000 , 17.201147 , 38.049251 , 3.075564 , 34.973796 , 0.058136 , 0.028593 , 0.028593 , 0.458697 , 0.508306 , 0.000000 
 209985.000000 , 209985.000000 , 0.000000 , 17.143892 , 38.256775 , 3.170451 , 35.086323 , 0.058330 , 0.028501 , 0.028501 , 0.455121 , 0.511645 , 0.000000 
 209658.000000 , 209658.000000 , 0.000000 , 17.170802 , 38.196976 , 3.198851 , 34.998175 , 0.058238 , 0.028573 , 0.028573 , 0.457300 , 0.509559 , 0.000000 
 209809.000000 , 209809.000000 , 0.000000 , 17.158460 , 38.312660 , 3.325343 , 34.987397 , 0.058280 , 0.028582 , 0.028582 , 0.457151 , 0.509769 , 0.000000 
 209571.000000 , 209571.000000 , 0.000000 , 17.177867 , 38.191833 , 3.192271 , 34.999854 , 0.058214 , 0.028572 , 0.028572 , 0.457663 , 0.509374 , 0.000000 
 209485.000000 , 209485.000000 , 0.000000 , 17.184928 , 38.090104 , 3.119473 , 34.970972 , 0.058191 , 0.028595 , 0.028595 , 0.458117 , 0.508745 , 0.000000 
 209484.000000 , 209484.000000 , 0.000000 , 17.185081 , 38.172836 , 3.224886 , 34.948130 , 0.058190 , 0.028614 , 0.028614 , 0.458608 , 0.508408 , 0.000000 
 209158.000000 , 209158.000000 , 0.000000 , 17.211670 , 38.249991 , 3.184787 , 35.065280 , 0.058100 , 0.028518 , 0.028518 , 0.457547 , 0.509324 , 0.000000 
 209848.000000 , 209848.000000 , 0.000000 , 17.155230 , 38.226935 , 3.227316 , 34.999752 , 0.058291 , 0.028572 , 0.028572 , 0.456771 , 0.510045 , 0.000000 
 209628.000000 , 209628.000000 , 0.000000 , 17.173255 , 38.142988 , 3.175212 , 34.968108 , 0.058230 , 0.028597 , 0.028597 , 0.458084 , 0.509049 , 0.000000 
 209740.000000 , 209740.000000 , 1.000000 , 17.164053 , 38.110414 , 3.114850 , 34.996274 , 0.058261 , 0.028574 , 0.028574 , 0.457623 , 0.509732 , 0.000000 
 209706.000000 , 209706.000000 , 0.000000 , 17.166878 , 38.081342 , 3.091955 , 34.990405 , 0.058252 , 0.028579 , 0.028579 , 0.457231 , 0.509563 , 0.000000 
 210039.000000 , 210039.000000 , 0.000000 , 17.139651 , 38.202036 , 3.246347 , 34.955918 , 0.058344 , 0.028607 , 0.028607 , 0.456921 , 0.509869 , 0.000000 
 209927.000000 , 209927.000000 , 0.000000 , 17.148717 , 38.114009 , 3.232168 , 34.882072 , 0.058313 , 0.028668 , 0.028668 , 0.457971 , 0.508523 , 0.000000 
 209872.000000 , 209872.000000 , 0.000000 , 17.153307 , 38.286032 , 3.281548 , 35.004810 , 0.058298 , 0.028568 , 0.028568 , 0.457273 , 0.510176 , 0.000000 
 210555.000000 , 210555.000000 , 0.000000 , 17.097650 , 38.221279 , 3.197838 , 35.023606 , 0.058488 , 0.028552 , 0.028552 , 0.455216 , 0.512111 , 0.000000 
 209520.000000 , 209520.000000 , 0.000000 , 17.182019 , 38.300337 , 3.240796 , 35.059689 , 0.058200 , 0.028523 , 0.028523 , 0.457354 , 0.510122 , 0.000000 
 209660.000000 , 209660.000000 , 0.000000 , 17.170639 , 38.161656 , 3.169495 , 34.992313 , 0.058239 , 0.028578 , 0.028578 , 0.457316 , 0.509479 , 0.000000 
 209532.000000 , 209532.000000 , 4.000000 , 17.181044 , 38.279653 , 3.230254 , 35.050518 , 0.058204 , 0.028530 , 0.028530 , 0.457164 , 0.510017 , 0.000000 
 209692.000000 , 209692.000000 , 0.000000 , 17.168026 , 38.276996 , 3.288406 , 34.988800 , 0.058248 , 0.028581 , 0.028581 , 0.457248 , 0.509505 , 0.000000 
