arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 209940.000000 , 209940.000000 , 7.000000 , 17.147700 , 122.406363 , 92.425210 , 29.981321 , 0.058317 , 0.033354 , 0.033354 , 0.533249 , 0.874208 , 0.000000 
 210046.000000 , 210046.000000 , 15.000000 , 17.139058 , 115.440935 , 85.644174 , 29.797006 , 0.058346 , 0.033560 , 0.033560 , 0.535841 , 0.869272 , 0.000000 
 209724.000000 , 209724.000000 , 3.000000 , 17.165402 , 120.157400 , 90.131660 , 30.025927 , 0.058257 , 0.033305 , 0.033305 , 0.532894 , 0.874606 , 0.000000 
 209540.000000 , 209540.000000 , 5.000000 , 17.180471 , 115.840170 , 85.873935 , 29.966356 , 0.058206 , 0.033371 , 0.033371 , 0.534273 , 0.872105 , 0.000000 
 209471.000000 , 209471.000000 , 0.000000 , 17.186122 , 114.965736 , 85.005838 , 29.959898 , 0.058186 , 0.033378 , 0.033378 , 0.534448 , 0.871631 , 0.000000 
 209539.000000 , 209539.000000 , 5.000000 , 17.180464 , 121.291683 , 91.300393 , 29.991516 , 0.058206 , 0.033343 , 0.033343 , 0.533808 , 0.872838 , 0.000000 
 209714.000000 , 209714.000000 , 1.000000 , 17.166187 , 118.902325 , 88.921140 , 29.981454 , 0.058254 , 0.033354 , 0.033354 , 0.533356 , 0.873271 , 0.000000 
 209262.000000 , 209262.000000 , 10.000000 , 17.203224 , 112.168614 , 82.216310 , 29.953071 , 0.058129 , 0.033386 , 0.033386 , 0.535137 , 0.870566 , 0.000000 
 209754.000000 , 209754.000000 , 0.000000 , 17.162844 , 120.349743 , 90.279877 , 30.070088 , 0.058265 , 0.033256 , 0.033256 , 0.531213 , 0.876023 , 0.000000 
 208892.000000 , 208892.000000 , 15.000000 , 17.233625 , 113.611821 , 83.742157 , 29.869921 , 0.058026 , 0.033478 , 0.033478 , 0.538251 , 0.866617 , 0.000000 
 209639.000000 , 209639.000000 , 6.000000 , 17.172247 , 122.856274 , 92.826504 , 30.030046 , 0.058233 , 0.033300 , 0.033300 , 0.532703 , 0.874377 , 0.000000 
 209947.000000 , 209947.000000 , 7.000000 , 17.147032 , 118.295945 , 88.416211 , 29.880016 , 0.058319 , 0.033467 , 0.033467 , 0.535206 , 0.871288 , 0.000000 
 209577.000000 , 209577.000000 , 1.000000 , 17.177220 , 120.924731 , 90.923997 , 30.000978 , 0.058217 , 0.033332 , 0.033332 , 0.533907 , 0.873278 , 0.000000 
 210320.000000 , 210320.000000 , 0.000000 , 17.116770 , 123.566102 , 93.530062 , 30.036141 , 0.058422 , 0.033293 , 0.033293 , 0.530995 , 0.877389 , 0.000000 
 209874.000000 , 209874.000000 , 11.000000 , 17.152826 , 118.535749 , 88.515585 , 30.020559 , 0.058299 , 0.033311 , 0.033311 , 0.532996 , 0.875091 , 0.000000 
 209846.000000 , 209846.000000 , 31.000000 , 17.155378 , 122.594898 , 92.572911 , 30.022148 , 0.058291 , 0.033309 , 0.033309 , 0.532988 , 0.875007 , 0.000000 
 209551.000000 , 209551.000000 , 2.000000 , 17.179486 , 116.927337 , 86.892871 , 30.035067 , 0.058209 , 0.033294 , 0.033294 , 0.533058 , 0.874155 , 0.000000 
 210177.000000 , 210177.000000 , 0.000000 , 17.128407 , 119.399169 , 89.327736 , 30.071464 , 0.058383 , 0.033254 , 0.033254 , 0.530956 , 0.877824 , 0.000000 
 210438.000000 , 210438.000000 , 3.000000 , 17.107176 , 123.620337 , 93.579855 , 30.040988 , 0.058455 , 0.033288 , 0.033288 , 0.530820 , 0.878023 , 0.000000 
 209290.000000 , 209290.000000 , 1.000000 , 17.200900 , 115.523212 , 85.551187 , 29.972460 , 0.058136 , 0.033364 , 0.033364 , 0.535238 , 0.871247 , 0.000000 
 209996.000000 , 209996.000000 , 9.000000 , 17.142994 , 118.765682 , 88.829363 , 29.937420 , 0.058333 , 0.033403 , 0.033403 , 0.533397 , 0.873168 , 0.000000 
 209664.000000 , 209664.000000 , 4.000000 , 17.170311 , 121.781289 , 91.777410 , 30.004270 , 0.058240 , 0.033329 , 0.033329 , 0.533413 , 0.873725 , 0.000000 
 209811.000000 , 209811.000000 , 0.000000 , 17.158296 , 117.377467 , 87.406275 , 29.971671 , 0.058281 , 0.033365 , 0.033365 , 0.533655 , 0.873387 , 0.000000 
 209572.000000 , 209572.000000 , 0.000000 , 17.177785 , 117.234368 , 87.222561 , 30.011957 , 0.058215 , 0.033320 , 0.033320 , 0.533726 , 0.873569 , 0.000000 
 209492.000000 , 209492.000000 , 5.000000 , 17.184353 , 116.236527 , 86.255656 , 29.981099 , 0.058192 , 0.033354 , 0.033354 , 0.534363 , 0.872337 , 0.000000 
 209485.000000 , 209485.000000 , 0.000000 , 17.184999 , 117.377188 , 87.396042 , 29.981829 , 0.058190 , 0.033354 , 0.033354 , 0.534574 , 0.872326 , 0.000000 
 209170.000000 , 209170.000000 , 10.000000 , 17.210683 , 122.003569 , 91.963348 , 30.040863 , 0.058103 , 0.033288 , 0.033288 , 0.534073 , 0.872739 , 0.000000 
 209848.000000 , 209848.000000 , 0.000000 , 17.155230 , 118.546235 , 88.583727 , 29.962508 , 0.058291 , 0.033375 , 0.033375 , 0.533563 , 0.873276 , 0.000000 
 209635.000000 , 209635.000000 , 5.000000 , 17.172682 , 121.055149 , 91.068079 , 29.987340 , 0.058232 , 0.033347 , 0.033347 , 0.534170 , 0.873112 , 0.000000 
 209744.000000 , 209744.000000 , 2.000000 , 17.163725 , 121.452992 , 91.488889 , 29.964288 , 0.058262 , 0.033373 , 0.033373 , 0.534473 , 0.872896 , 0.000000 
 209728.000000 , 209728.000000 , 20.000000 , 17.165078 , 125.539101 , 95.460479 , 30.078663 , 0.058258 , 0.033246 , 0.033246 , 0.531896 , 0.876159 , 0.000000 
 210039.000000 , 210039.000000 , 0.000000 , 17.139651 , 120.907240 , 90.798576 , 30.108663 , 0.058344 , 0.033213 , 0.033213 , 0.530481 , 0.878334 , 0.000000 
 209933.000000 , 209933.000000 , 4.000000 , 17.148227 , 122.243446 , 92.253701 , 29.989810 , 0.058315 , 0.033345 , 0.033345 , 0.532680 , 0.874429 , 0.000000 
 209880.000000 , 209880.000000 , 6.000000 , 17.152654 , 118.870868 , 88.870075 , 30.000999 , 0.058300 , 0.033332 , 0.033332 , 0.533541 , 0.874529 , 0.000000 
 210559.000000 , 210559.000000 , 2.000000 , 17.097325 , 122.540140 , 92.595623 , 29.944656 , 0.058489 , 0.033395 , 0.033395 , 0.532425 , 0.875712 , 0.000000 
 209527.000000 , 209527.000000 , 5.000000 , 17.181445 , 125.591538 , 95.537441 , 30.054365 , 0.058202 , 0.033273 , 0.033273 , 0.533522 , 0.874617 , 0.000000 
 209666.000000 , 209666.000000 , 4.000000 , 17.170148 , 115.473341 , 85.536109 , 29.937694 , 0.058241 , 0.033403 , 0.033403 , 0.534528 , 0.871795 , 0.000000 
 209535.000000 , 209535.000000 , 1.000000 , 17.180798 , 116.754305 , 86.753357 , 30.001007 , 0.058205 , 0.033332 , 0.033332 , 0.534110 , 0.873097 , 0.000000 
 209703.000000 , 209703.000000 , 9.000000 , 17.167125 , 120.129743 , 90.082471 , 30.047539 , 0.058251 , 0.033281 , 0.033281 , 0.532442 , 0.875148 , 0.000000 
 210490.000000 , 210490.000000 , 0.000000 , 17.102926 , 119.277349 , 89.363426 , 29.913923 , 0.058470 , 0.033429 , 0.033429 , 0.532842 , 0.874526 , 0.000000 
 209881.000000 , 209881.000000 , 2.000000 , 17.152539 , 117.375524 , 87.412627 , 29.963092 , 0.058300 , 0.033374 , 0.033374 , 0.533226 , 0.873430 , 0.000000 
 209343.000000 , 209343.000000 , 0.000000 , 17.196565 , 114.447497 , 84.509567 , 29.938223 , 0.058151 , 0.033402 , 0.033402 , 0.535159 , 0.870471 , 0.000000 
 210521.000000 , 210521.000000 , 2.000000 , 17.100360 , 126.068659 , 96.007679 , 30.061283 , 0.058478 , 0.033265 , 0.033265 , 0.529776 , 0.878966 , 0.000000 
 209494.000000 , 209494.000000 , 21.000000 , 17.184257 , 118.520247 , 88.529495 , 29.990788 , 0.058193 , 0.033344 , 0.033344 , 0.533651 , 0.872624 , 0.000000 
 209892.000000 , 209892.000000 , 10.000000 , 17.151596 , 119.110301 , 89.269731 , 29.840700 , 0.058304 , 0.033511 , 0.033511 , 0.535833 , 0.869910 , 0.000000 
 209310.000000 , 209310.000000 , 0.000000 , 17.199354 , 120.475703 , 90.449389 , 30.026551 , 0.058142 , 0.033304 , 0.033304 , 0.534222 , 0.872898 , 0.000000 
 209728.000000 , 209728.000000 , 3.000000 , 17.164918 , 125.263658 , 95.070091 , 30.193746 , 0.058258 , 0.033119 , 0.033119 , 0.529235 , 0.879519 , 0.000000 
 209712.000000 , 209712.000000 , 4.000000 , 17.166245 , 122.423481 , 92.372832 , 30.050880 , 0.058254 , 0.033277 , 0.033277 , 0.532883 , 0.875290 , 0.000000 
 209624.000000 , 209624.000000 , 3.000000 , 17.173453 , 120.622614 , 90.687403 , 29.935673 , 0.058229 , 0.033405 , 0.033405 , 0.535331 , 0.871568 , 0.000000 
 209956.000000 , 209956.000000 , 14.000000 , 17.146357 , 119.754876 , 89.742550 , 30.012824 , 0.058321 , 0.033319 , 0.033319 , 0.532788 , 0.875195 , 0.000000 
 209558.000000 , 209558.000000 , 8.000000 , 17.178963 , 119.257149 , 89.223019 , 30.034231 , 0.058211 , 0.033295 , 0.033295 , 0.533274 , 0.874157 , 0.000000 
 210070.000000 , 210070.000000 , 11.000000 , 17.137136 , 118.969041 , 89.063626 , 29.905531 , 0.058353 , 0.033439 , 0.033439 , 0.533985 , 0.872536 , 0.000000 
 209622.000000 , 209622.000000 , 10.000000 , 17.173561 , 120.854506 , 90.803594 , 30.051027 , 0.058229 , 0.033277 , 0.033277 , 0.533331 , 0.874921 , 0.000000 
 210053.000000 , 210053.000000 , 0.000000 , 17.138497 , 119.740002 , 89.705106 , 30.035157 , 0.058348 , 0.033294 , 0.033294 , 0.531918 , 0.876248 , 0.000000 
 211237.000000 , 211237.000000 , 6.000000 , 17.042307 , 128.359177 , 98.260394 , 30.098936 , 0.058678 , 0.033224 , 0.033224 , 0.527631 , 0.883065 , 0.000000 
 210792.000000 , 210792.000000 , 0.000000 , 17.078427 , 126.861511 , 96.814853 , 30.046750 , 0.058553 , 0.033281 , 0.033281 , 0.529737 , 0.879670 , 0.000000 
 209304.000000 , 209304.000000 , 7.000000 , 17.199840 , 113.527598 , 83.547428 , 29.980319 , 0.058140 , 0.033355 , 0.033355 , 0.534236 , 0.871529 , 0.000000 
 209430.000000 , 209430.000000 , 0.000000 , 17.189470 , 120.782382 , 90.829937 , 29.952638 , 0.058175 , 0.033386 , 0.033386 , 0.535296 , 0.871250 , 0.000000 
 209599.000000 , 209599.000000 , 0.000000 , 17.175618 , 119.085576 , 89.134899 , 29.950829 , 0.058222 , 0.033388 , 0.033388 , 0.535381 , 0.871900 , 0.000000 
 210056.000000 , 210056.000000 , 0.000000 , 17.138242 , 120.875890 , 90.909503 , 29.966415 , 0.058349 , 0.033371 , 0.033371 , 0.532618 , 0.874256 , 0.000000 
 210177.000000 , 210177.000000 , 9.000000 , 17.128329 , 120.115303 , 90.149476 , 29.966089 , 0.058383 , 0.033371 , 0.033371 , 0.532361 , 0.874752 , 0.000000 
 209424.000000 , 209424.000000 , 11.000000 , 17.189948 , 122.034484 , 92.022581 , 30.011936 , 0.058174 , 0.033320 , 0.033320 , 0.533693 , 0.872950 , 0.000000 
 209928.000000 , 209928.000000 , 0.000000 , 17.148672 , 122.385025 , 92.341263 , 30.044057 , 0.058314 , 0.033284 , 0.033284 , 0.532317 , 0.875988 , 0.000000 
 209964.000000 , 209964.000000 , 11.000000 , 17.145737 , 116.485316 , 86.531945 , 29.954065 , 0.058324 , 0.033384 , 0.033384 , 0.533093 , 0.873513 , 0.000000 
 209827.000000 , 209827.000000 , 2.000000 , 17.156908 , 117.731245 , 87.748643 , 29.982914 , 0.058286 , 0.033352 , 0.033352 , 0.533398 , 0.873785 , 0.000000 
 210146.000000 , 210146.000000 , 0.000000 , 17.130929 , 121.607347 , 91.551932 , 30.055759 , 0.058374 , 0.033271 , 0.033271 , 0.531309 , 0.877237 , 0.000000 
 210631.000000 , 210631.000000 , 1.000000 , 17.091472 , 128.710399 , 98.649911 , 30.060569 , 0.058509 , 0.033266 , 0.033266 , 0.530852 , 0.879403 , 0.000000 
 209274.000000 , 209274.000000 , 13.000000 , 17.202149 , 121.742559 , 91.645345 , 30.097429 , 0.058132 , 0.033225 , 0.033225 , 0.533424 , 0.874816 , 0.000000 
 209809.000000 , 209809.000000 , 1.000000 , 17.158321 , 122.115734 , 92.147590 , 29.968326 , 0.058281 , 0.033369 , 0.033369 , 0.533902 , 0.873288 , 0.000000 
 208559.000000 , 208559.000000 , 4.000000 , 17.261272 , 118.829983 , 88.872446 , 29.957677 , 0.057933 , 0.033380 , 0.033380 , 0.537427 , 0.867771 , 0.000000 
 209748.000000 , 209748.000000 , 0.000000 , 17.163409 , 119.412766 , 89.393665 , 30.019135 , 0.058263 , 0.033312 , 0.033312 , 0.533203 , 0.874510 , 0.000000 
 209828.000000 , 209828.000000 , 3.000000 , 17.156892 , 118.857625 , 88.953352 , 29.904343 , 0.058286 , 0.033440 , 0.033440 , 0.535055 , 0.871496 , 0.000000 
 209543.000000 , 209543.000000 , 0.000000 , 17.180228 , 122.939573 , 92.907816 , 30.031998 , 0.058206 , 0.033298 , 0.033298 , 0.533431 , 0.874028 , 0.000000 
 210170.000000 , 210170.000000 , 0.000000 , 17.128885 , 121.040679 , 90.988018 , 30.053158 , 0.058381 , 0.033274 , 0.033274 , 0.531265 , 0.877265 , 0.000000 
 210002.000000 , 210002.000000 , 20.000000 , 17.142610 , 117.147050 , 87.221090 , 29.926176 , 0.058334 , 0.033416 , 0.033416 , 0.533648 , 0.872859 , 0.000000 
 209882.000000 , 209882.000000 , 0.000000 , 17.152452 , 122.393045 , 92.348271 , 30.045377 , 0.058301 , 0.033283 , 0.033283 , 0.532247 , 0.875833 , 0.000000 
 209503.000000 , 209503.000000 , 0.000000 , 17.183348 , 120.187590 , 90.167993 , 30.019598 , 0.058196 , 0.033312 , 0.033312 , 0.532970 , 0.873508 , 0.000000 
 209384.000000 , 209384.000000 , 2.000000 , 17.193222 , 115.591077 , 85.583577 , 30.007690 , 0.058162 , 0.033325 , 0.033325 , 0.533830 , 0.872660 , 0.000000 
 210149.000000 , 210149.000000 , 3.000000 , 17.130281 , 119.343848 , 89.313846 , 30.030174 , 0.058376 , 0.033300 , 0.033300 , 0.531980 , 0.876523 , 0.000000 
 209279.000000 , 209279.000000 , 2.000000 , 17.201838 , 118.680683 , 88.679299 , 30.001456 , 0.058133 , 0.033332 , 0.033332 , 0.534841 , 0.872042 , 0.000000 
 209731.000000 , 209731.000000 , 5.000000 , 17.164791 , 115.263484 , 85.312600 , 29.951314 , 0.058259 , 0.033388 , 0.033388 , 0.533961 , 0.872464 , 0.000000 
 209418.000000 , 209418.000000 , 19.000000 , 17.190399 , 115.137463 , 85.193170 , 29.944466 , 0.058172 , 0.033395 , 0.033395 , 0.534585 , 0.870965 , 0.000000 
 209965.000000 , 209965.000000 , 1.000000 , 17.145624 , 117.705489 , 87.709561 , 29.996067 , 0.058324 , 0.033338 , 0.033338 , 0.532782 , 0.874744 , 0.000000 
 210050.000000 , 210050.000000 , 0.000000 , 17.138610 , 122.907741 , 92.941647 , 29.966094 , 0.058348 , 0.033371 , 0.033371 , 0.532790 , 0.874228 , 0.000000 
 209904.000000 , 209904.000000 , 0.000000 , 17.150651 , 122.886452 , 92.900256 , 29.986541 , 0.058307 , 0.033348 , 0.033348 , 0.533187 , 0.874210 , 0.000000 
 209541.000000 , 209541.000000 , 3.000000 , 17.180302 , 122.654293 , 92.574635 , 30.079855 , 0.058206 , 0.033245 , 0.033245 , 0.532402 , 0.875417 , 0.000000 
 210060.000000 , 210060.000000 , 5.000000 , 17.137953 , 120.664740 , 90.584612 , 30.080641 , 0.058350 , 0.033244 , 0.033244 , 0.531233 , 0.877603 , 0.000000 
 209297.000000 , 209297.000000 , 8.000000 , 17.200374 , 117.656538 , 87.786643 , 29.869957 , 0.058138 , 0.033478 , 0.033478 , 0.536830 , 0.868294 , 0.000000 
 210233.000000 , 210233.000000 , 3.000000 , 17.123818 , 123.295909 , 93.180477 , 30.115581 , 0.058398 , 0.033205 , 0.033205 , 0.529884 , 0.879348 , 0.000000 
 209070.000000 , 209070.000000 , 9.000000 , 17.219028 , 116.522652 , 86.507374 , 30.015440 , 0.058075 , 0.033316 , 0.033316 , 0.534803 , 0.871578 , 0.000000 
