arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 89947.000000 , 74715.000000 , 0.000000 , 48.182937 , 29.161719 , 0.000000 , 35.106861 , 0.020754 , 0.028484 , 0.020754 , 0.331809 , 0.364308 , 0.000000 
 90350.000000 , 74926.000000 , 0.000000 , 48.047281 , 28.965071 , 0.000000 , 34.927867 , 0.020813 , 0.028630 , 0.020813 , 0.332307 , 0.363474 , 0.000000 
 89814.000000 , 74548.000000 , 0.000000 , 48.290992 , 29.108760 , 0.000000 , 35.069675 , 0.020708 , 0.028515 , 0.020708 , 0.331338 , 0.363108 , 0.000000 
 90036.000000 , 74725.000000 , 0.000000 , 48.176593 , 29.067067 , 0.000000 , 35.022849 , 0.020757 , 0.028553 , 0.020757 , 0.332324 , 0.363484 , 0.000000 
 90233.000000 , 74875.000000 , 0.000000 , 48.080055 , 29.084887 , 0.000000 , 35.050962 , 0.020799 , 0.028530 , 0.020799 , 0.333028 , 0.364506 , 0.000000 
 89832.000000 , 74516.000000 , 0.000000 , 48.311467 , 29.121612 , 0.000000 , 35.107272 , 0.020699 , 0.028484 , 0.020699 , 0.331385 , 0.363343 , 0.000000 
 90105.000000 , 74697.000000 , 0.000000 , 48.194569 , 29.016372 , 0.000000 , 35.001676 , 0.020749 , 0.028570 , 0.020749 , 0.331796 , 0.363129 , 0.000000 
 89967.000000 , 74640.000000 , 0.000000 , 48.231259 , 29.221378 , 0.000000 , 35.221861 , 0.020733 , 0.028391 , 0.020733 , 0.332336 , 0.365135 , 0.000000 
 90484.000000 , 74873.000000 , 0.000000 , 48.081086 , 29.032054 , 0.000000 , 35.085530 , 0.020798 , 0.028502 , 0.020798 , 0.332223 , 0.364858 , 0.000000 
 89451.000000 , 74431.000000 , 0.000000 , 48.366494 , 29.158699 , 0.000000 , 35.042856 , 0.020675 , 0.028536 , 0.020675 , 0.332410 , 0.362264 , 0.000000 
 90072.000000 , 74675.000000 , 0.000000 , 48.208538 , 29.157183 , 0.000000 , 35.169914 , 0.020743 , 0.028433 , 0.020743 , 0.331831 , 0.364769 , 0.000000 
 90281.000000 , 75119.000000 , 0.000000 , 47.923533 , 29.087840 , 0.000000 , 34.958922 , 0.020867 , 0.028605 , 0.020867 , 0.333698 , 0.364736 , 0.000000 
 89908.000000 , 74738.000000 , 0.000000 , 48.167601 , 29.174920 , 0.000000 , 35.096721 , 0.020761 , 0.028493 , 0.020761 , 0.332541 , 0.364319 , 0.000000 
 90481.000000 , 75086.000000 , 0.000000 , 47.945011 , 28.900025 , 0.000000 , 34.825442 , 0.020857 , 0.028715 , 0.020857 , 0.332653 , 0.363181 , 0.000000 
