batch, block, delay
0 , 2 , 94.220560 
1 , 2 , 123.518564 
2 , 2 , 75.220812 
3 , 2 , 76.894468 
4 , 2 , 92.657845 
5 , 2 , 73.991909 
6 , 2 , 89.639408 
7 , 2 , 92.861441 
8 , 2 , 101.634984 
9 , 2 , 99.237466 
10 , 2 , 89.503652 
11 , 2 , 90.201980 
12 , 2 , 80.039481 
13 , 2 , 72.997592 
14 , 2 , 84.514130 
15 , 2 , 76.143048 
16 , 2 , 79.989754 
17 , 2 , 95.940622 
18 , 2 , 79.726823 
19 , 2 , 80.232343 
20 , 2 , 95.977609 
21 , 2 , 97.665338 
22 , 2 , 107.787007 
23 , 2 , 84.315157 
24 , 2 , 91.936994 
25 , 2 , 92.837629 
26 , 2 , 83.232758 
27 , 2 , 92.236255 
28 , 2 , 110.286751 
29 , 2 , 101.839928 
30 , 2 , 80.942612 
31 , 2 , 88.830380 
32 , 2 , 86.263019 
33 , 2 , 92.689583 
34 , 2 , 70.293213 
35 , 2 , 81.997804 
36 , 2 , 99.587977 
37 , 2 , 79.038835 
38 , 2 , 77.642439 
39 , 2 , 89.522023 
40 , 2 , 94.499323 
41 , 2 , 75.825738 
42 , 2 , 79.836865 
43 , 2 , 98.642443 
44 , 2 , 90.727989 
45 , 2 , 96.225161 
46 , 2 , 75.861159 
47 , 2 , 93.436163 
48 , 2 , 82.713307 
49 , 2 , 93.300733 
50 , 2 , 95.780519 
51 , 2 , 88.621835 
52 , 2 , 83.462426 
53 , 2 , 87.262355 
54 , 2 , 79.922648 
55 , 2 , 92.484696 
56 , 2 , 94.301834 
57 , 2 , 85.132684 
58 , 2 , 102.009317 
59 , 2 , 87.043301 
60 , 2 , 98.020917 
61 , 2 , 97.423631 
62 , 2 , 98.306621 
63 , 2 , 86.692474 
64 , 2 , 92.627691 
65 , 2 , 85.641861 
66 , 2 , 79.016813 
67 , 2 , 82.272627 
68 , 2 , 105.940440 
69 , 2 , 100.409747 
70 , 2 , 91.657350 
71 , 2 , 95.039092 
72 , 2 , 87.716059 
73 , 2 , 85.009015 
74 , 2 , 104.704133 
75 , 2 , 97.931694 
76 , 2 , 89.997700 
77 , 2 , 76.426099 
78 , 2 , 93.640447 
79 , 2 , 113.351960 
80 , 2 , 106.755900 
81 , 2 , 106.138256 
82 , 2 , 76.205401 
83 , 2 , 108.846891 
84 , 2 , 65.274467 
85 , 2 , 84.048907 
86 , 2 , 80.714505 
87 , 2 , 76.829828 
88 , 2 , 69.066062 
89 , 2 , 91.067462 
90 , 2 , 77.388886 
91 , 2 , 83.511850 
92 , 2 , 85.139183 
93 , 2 , 79.594777 
94 , 2 , 80.968246 
95 , 2 , 90.454738 
96 , 2 , 118.228522 
97 , 2 , 84.026873 
98 , 2 , 91.372974 
99 , 2 , 89.987851 
100 , 2 , 87.848695 
101 , 2 , 92.254001 
102 , 2 , 86.971064 
103 , 2 , 79.366504 
104 , 2 , 81.360551 
105 , 2 , 90.849188 
106 , 2 , 90.156062 
107 , 2 , 88.295774 
108 , 2 , 85.714941 
109 , 2 , 97.288454 
110 , 2 , 103.578538 
111 , 2 , 83.099917 
112 , 2 , 81.258177 
113 , 2 , 90.651863 
114 , 2 , 91.239111 
115 , 2 , 93.249234 
116 , 2 , 82.930262 
117 , 2 , 96.600450 
118 , 2 , 92.183119 
119 , 2 , 98.550023 
120 , 2 , 78.367729 
121 , 2 , 97.094209 
122 , 2 , 79.469886 
123 , 2 , 99.398610 
124 , 2 , 96.770217 
125 , 2 , 86.157196 
126 , 2 , 70.568482 
127 , 2 , 84.075973 
