batch, block, wait
0 , 2 , 124.286687 
1 , 2 , 153.856061 
2 , 2 , 105.035688 
3 , 2 , 106.471968 
4 , 2 , 122.838407 
5 , 2 , 103.637523 
6 , 2 , 119.522365 
7 , 2 , 122.820380 
8 , 2 , 131.835418 
9 , 2 , 129.257013 
10 , 2 , 119.686523 
11 , 2 , 119.896040 
12 , 2 , 110.027272 
13 , 2 , 102.619791 
14 , 2 , 114.176513 
15 , 2 , 105.748249 
16 , 2 , 109.890285 
17 , 2 , 125.714777 
18 , 2 , 109.631289 
19 , 2 , 110.332639 
20 , 2 , 126.173729 
21 , 2 , 127.699693 
22 , 2 , 137.891503 
23 , 2 , 114.623575 
24 , 2 , 122.107591 
25 , 2 , 122.810253 
26 , 2 , 113.237085 
27 , 2 , 122.349065 
28 , 2 , 140.304238 
29 , 2 , 132.071167 
30 , 2 , 110.617086 
31 , 2 , 118.816267 
32 , 2 , 116.190884 
33 , 2 , 123.031222 
34 , 2 , 100.189009 
35 , 2 , 111.932816 
36 , 2 , 129.745904 
37 , 2 , 108.599520 
38 , 2 , 107.642571 
39 , 2 , 119.706321 
40 , 2 , 124.848464 
41 , 2 , 105.782478 
42 , 2 , 109.343678 
43 , 2 , 128.720613 
44 , 2 , 120.845444 
45 , 2 , 126.365620 
46 , 2 , 105.791683 
47 , 2 , 123.248407 
48 , 2 , 112.954409 
49 , 2 , 123.523929 
50 , 2 , 125.949121 
51 , 2 , 118.686673 
52 , 2 , 113.362539 
53 , 2 , 116.921698 
54 , 2 , 109.844504 
55 , 2 , 122.553409 
56 , 2 , 124.331009 
57 , 2 , 115.035281 
58 , 2 , 132.314347 
59 , 2 , 117.060072 
60 , 2 , 128.376990 
61 , 2 , 127.669278 
62 , 2 , 128.508495 
63 , 2 , 116.625156 
64 , 2 , 122.602750 
65 , 2 , 115.458046 
66 , 2 , 108.910178 
67 , 2 , 112.016824 
68 , 2 , 136.330030 
69 , 2 , 130.602261 
70 , 2 , 121.832107 
71 , 2 , 124.900411 
72 , 2 , 117.697928 
73 , 2 , 114.994669 
74 , 2 , 134.982321 
75 , 2 , 127.836163 
76 , 2 , 119.933869 
77 , 2 , 105.987454 
78 , 2 , 123.811997 
79 , 2 , 143.274088 
80 , 2 , 136.740595 
81 , 2 , 136.275621 
82 , 2 , 105.762619 
83 , 2 , 138.914731 
84 , 2 , 94.654862 
85 , 2 , 114.142630 
86 , 2 , 110.614758 
87 , 2 , 106.726114 
88 , 2 , 98.446079 
89 , 2 , 121.139477 
90 , 2 , 106.921653 
91 , 2 , 113.602271 
92 , 2 , 114.834891 
93 , 2 , 109.505176 
94 , 2 , 110.522562 
95 , 2 , 120.330812 
96 , 2 , 148.444176 
