batch, block, wait
0 , 1 , 29.515900 
1 , 1 , 28.641598 
2 , 1 , 28.997794 
3 , 1 , 29.367965 
4 , 1 , 29.849073 
5 , 1 , 29.111484 
6 , 1 , 28.550648 
7 , 1 , 29.268444 
8 , 1 , 29.166522 
9 , 1 , 28.815847 
10 , 1 , 28.443134 
11 , 1 , 29.320383 
12 , 1 , 29.179983 
13 , 1 , 28.925275 
14 , 1 , 29.054845 
15 , 1 , 29.231849 
16 , 1 , 28.831272 
17 , 1 , 28.808013 
18 , 1 , 29.230777 
19 , 1 , 29.542629 
20 , 1 , 29.138094 
21 , 1 , 29.182495 
22 , 1 , 28.960684 
23 , 1 , 28.853299 
24 , 1 , 29.036657 
25 , 1 , 28.987198 
26 , 1 , 29.004505 
27 , 1 , 29.345595 
28 , 1 , 29.487677 
29 , 1 , 28.901737 
30 , 1 , 29.414686 
31 , 1 , 28.976260 
32 , 1 , 29.041578 
33 , 1 , 29.557696 
34 , 1 , 28.889410 
35 , 1 , 29.223478 
36 , 1 , 28.386505 
37 , 1 , 29.038418 
38 , 1 , 29.196334 
39 , 1 , 29.329993 
40 , 1 , 29.118399 
41 , 1 , 29.446870 
42 , 1 , 29.550634 
43 , 1 , 28.940651 
44 , 1 , 29.040184 
45 , 1 , 29.334240 
46 , 1 , 28.934221 
47 , 1 , 29.237640 
48 , 1 , 28.859976 
49 , 1 , 29.356619 
50 , 1 , 28.910038 
51 , 1 , 28.826247 
52 , 1 , 28.925462 
53 , 1 , 29.095644 
54 , 1 , 29.725687 
55 , 1 , 28.874628 
56 , 1 , 28.896511 
57 , 1 , 29.003907 
58 , 1 , 28.916148 
59 , 1 , 29.216862 
60 , 1 , 29.495864 
61 , 1 , 29.010489 
62 , 1 , 29.391132 
63 , 1 , 29.417933 
64 , 1 , 28.983556 
65 , 1 , 29.155892 
66 , 1 , 28.588359 
67 , 1 , 29.091687 
68 , 1 , 29.189890 
69 , 1 , 28.741450 
70 , 1 , 29.062204 
71 , 1 , 28.918272 
72 , 1 , 28.946281 
73 , 1 , 28.662917 
74 , 1 , 29.146190 
75 , 1 , 29.094569 
76 , 1 , 29.192475 
77 , 1 , 29.052680 
78 , 1 , 29.052547 
79 , 1 , 29.198255 
80 , 1 , 28.986725 
81 , 1 , 29.003262 
82 , 1 , 29.414556 
83 , 1 , 29.168404 
84 , 1 , 28.740564 
85 , 1 , 29.107705 
86 , 1 , 29.508858 
87 , 1 , 29.658886 
88 , 1 , 29.471547 
89 , 1 , 29.395548 
90 , 1 , 29.742641 
91 , 1 , 29.112098 
92 , 1 , 29.352050 
93 , 1 , 28.982979 
94 , 1 , 29.101898 
95 , 1 , 29.155105 
96 , 1 , 29.196098 
97 , 1 , 28.979711 
98 , 1 , 28.822142 
99 , 1 , 29.179017 
100 , 1 , 29.248407 
101 , 1 , 28.553691 
102 , 1 , 29.362415 
103 , 1 , 28.793568 
104 , 1 , 29.257101 
105 , 1 , 29.059783 
106 , 1 , 29.965548 
107 , 1 , 28.698888 
108 , 1 , 28.948490 
109 , 1 , 28.979274 
110 , 1 , 28.997323 
111 , 1 , 29.165609 
112 , 1 , 28.711611 
113 , 1 , 29.114704 
114 , 1 , 28.816244 
115 , 1 , 28.928983 
116 , 1 , 29.350813 
117 , 1 , 28.509814 
118 , 1 , 29.489211 
119 , 1 , 28.720449 
120 , 1 , 28.987250 
121 , 1 , 29.013433 
122 , 1 , 29.066222 
123 , 1 , 29.043824 
124 , 1 , 28.603645 
125 , 1 , 28.951863 
126 , 1 , 29.173157 
127 , 1 , 29.165798 
